date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-03-26,89583,UPCOMING,Abington,4002,,,Cardinal Spellman,4075,,,South Shore,Catholic Central,4:00 P.M.,,0
2026-03-26,89584,UPCOMING,Longmeadow,4214,,,Agawam,4004,,,Independent,Independent,4:00 P.M.,,0
2026-03-26,89589,UPCOMING,Lunenburg,4219,,,Advanced Math and Science,4595,,,Mid-Wach,Independent,3:45 P.M.,,0
2026-03-26,89595,UPCOMING,Belchertown,4032,,,East Longmeadow,4127,,,Suburban,Independent,4:00 P.M.,,0
2026-03-26,89601,UPCOMING,Upper Cape,4457,,,Diman,4115,,,Mayflower,Mayflower,3:30 P.M.,,0
2026-03-26,89605,UPCOMING,Salem Academy,4604,,,KIPP,4703,,,Charter School Athletic,Commonwealth,4:00 P.M.,,0
2026-03-26,89610,UPCOMING,Pacific Rim Charter,4478,,,Maimonides,4473,,,Independent,Independent,6:00 P.M.,,0
2026-03-26,89614,UPCOMING,Springfield Central,4360,,,Minnechaug,4254,,,Suburban,Independent,4:00 P.M.,,0
2026-03-26,89620,UPCOMING,Boston Collegiate,4592,,,Mystic Valley,4264,,,Charter School Athletic,Commonwealth,4:30 P.M.,,0
2026-03-26,89622,UPCOMING,Pope Francis,4796,,,Pittsfield,4314,,,Independent,Independent,4:30 P.M.,,0
2026-03-26,89628,UPCOMING,Quaboag,4510,,,Sutton,4512,,,Independent,Independent,3:30 P.M.,,0
2026-03-26,89633,UPCOMING,Westfield,4419,,,Taconic,4385,,,Independent,Independent,4:00 P.M.,,0
2026-03-26,89907,UPCOMING,Wellesley,4413,,,Cambridge,4067,,,Bay State,Dual County,4:00 P.M.,,0
2026-03-26,90729,UPCOMING,Barnstable,4024,,,St. John Paul II,4689,,,Pioneer,Cape & Islands,3:30 P.M.,,0
2026-03-27,89699,UPCOMING,Canton,4071,,,Attleboro,4018,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-27,89931,UPCOMING,Portsmouth (R.I.),4319,,,Central Catholic,4081,,,Independent,Merrimack Valley,4:30 P.M.,,0
2026-03-27,90449,UPCOMING,Malden,4227,,,Salem Academy,4604,,,Greater Boston,Charter School Athletic,3:30 P.M.,,0
2026-03-27,90484,UPCOMING,New Bedford,4273,,,Old Rochester,4301,,,Big Three,South Coast,4:00 P.M.,,0
2026-03-27,90507,UPCOMING,Newton South,4280,,,Newton North,4279,,,Dual County,Bay State,4:30 P.M.,,0
2026-03-27,90564,UPCOMING,Quincy,4326,,,Hull,4184,,,Patriot,South Shore,4:00 P.M.,,0
2026-03-27,90603,UPCOMING,Foxborough,4142,,,Taunton,4388,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-27,92113,UPCOMING,Stoughton,4381,,,Sharon,4345,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-28,90751,UPCOMING,English High,4048,,,Bristol-Plymouth,4057,,,Boston City,Mayflower,1:00 P.M.,,0
2026-03-29,90439,UPCOMING,North Andover,4283,,,Malden Catholic,4228,,,Merrimack Valley,Catholic Conference,1:00 P.M.,,0
2026-03-29,92212,UPCOMING,Danvers,4103,,,Amesbury,4007,,,Northeastern,Cape Ann,9:00 A.M.,,0
2026-03-30,89643,UPCOMING,Grafton,4153,,,Acton-Boxborough,4003,,,Independent,Dual County,4:00 P.M.,,0
2026-03-30,89702,UPCOMING,Attleboro,4018,,,Taunton,4388,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-30,89828,UPCOMING,Latin Academy,4202,,,Charlestown,4084,,,Boston City,Boston City,3:30 P.M.,,0
2026-03-30,89858,UPCOMING,Bridgewater-Raynham,4053,,,Framingham,4143,,,Pioneer,Bay State,4:15 P.M.,,0
2026-03-30,89975,UPCOMING,Cape Cod Tech,4073,,,Diman,4115,,,Mayflower,Mayflower,3:30 P.M.,,0
2026-03-30,89984,UPCOMING,Middleborough,4247,,,Durfee,4122,,,South Shore,Big Three,4:00 P.M.,,0
2026-03-30,90000,UPCOMING,King Philip,4197,,,Franklin,4144,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-30,90015,UPCOMING,Hopkinton,4180,,,Ashland,4015,,,Tri-Valley,Tri-Valley,4:00 P.M.,,0
2026-03-30,90402,UPCOMING,Lincoln-Sudbury,4211,,,Newton North,4279,,,Dual County,Bay State,4:00 P.M.,,0
2026-03-30,90558,UPCOMING,Minnechaug,4254,,,Pope Francis,4796,,,Independent,Independent,4:30 P.M.,,0
2026-03-30,90599,UPCOMING,Springfield Central,4360,,,Taconic,4385,,,Suburban,Independent,4:00 P.M.,,0
2026-03-30,90730,UPCOMING,Barnstable,4024,,,Dennis-Yarmouth,4111,,,Pioneer,Cape & Islands,4:00 P.M.,,0
2026-03-30,90760,UPCOMING,Canton,4071,,,Foxborough,4142,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-30,90783,UPCOMING,Holliston,4174,,,Norwood,4297,,,Tri-Valley,Tri-Valley,4:30 P.M.,,0
2026-03-30,90835,UPCOMING,Mansfield,4230,,,Oliver Ames,4302,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-30,90893,UPCOMING,Masconomet,4236,,,Whittier,4428,,,Northeastern,Commonwealth,4:15 P.M.,,0
2026-03-30,92066,UPCOMING,Sharon,4345,,,Milford,4249,,,Hockomock,Hockomock,4:30 P.M.,,0
2026-03-30,92084,UPCOMING,Stoughton,4381,,,North Attleborough,4284,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-03-30,92146,UPCOMING,Westwood,4424,,,Dedham,4108,,,Tri-Valley,Tri-Valley,4:15 P.M.,,0
2026-03-30,92190,UPCOMING,Westport,4461,,,Cardinal Spellman,4075,,,Mayflower,Catholic Central,4:00 P.M.,,0
2026-03-30,92237,UPCOMING,Dover-Sherborn,4118,,,Millis,4251,,,Tri-Valley,Tri-Valley,4:00 P.M.,,0
2026-03-30,92248,UPCOMING,Tyngsborough,4397,,,Dracut,4119,,,Mid-Wach,Merrimack Valley,3:45 P.M.,,0
2026-03-31,89756,UPCOMING,Bishop Feehan,4042,,,Sandwich,4340,,,Catholic Central,Cape & Islands,4:00 P.M.,,0
2026-03-31,89772,UPCOMING,BC High,4029,,,North Andover,4283,,,Catholic Conference,Merrimack Valley,4:00 P.M.,,0
2026-03-31,89889,UPCOMING,Brookline,4059,,,Cambridge,4067,,,Bay State,Dual County,4:00 P.M.,,0
2026-03-31,90471,UPCOMING,Newton South,4280,,,Needham,4272,,,Dual County,Bay State,4:30 P.M.,,0
2026-03-31,90625,UPCOMING,Weymouth,4425,,,Archbishop Williams,4012,,,Bay State,Catholic Central,4:00 P.M.,,0
2026-03-31,90768,UPCOMING,Dartmouth,4105,,,Greater New Bedford,4156,,,Pioneer,South Coast,4:00 P.M.,,0
2026-03-31,92116,UPCOMING,Rockland,4331,,,Silver Lake,4349,,,South Shore,Patriot,4:00 P.M.,,0
2026-03-31,92164,UPCOMING,Arlington Catholic,4014,,,Ipswich,4190,,,Catholic Central,Cape Ann,4:00 P.M.,,0
2026-04-01,89714,UPCOMING,Attleboro,4018,,,Mansfield,4230,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-04-01,89840,UPCOMING,Boston Latin,4049,,,English High,4048,,,Dual County,Boston City,4:00 P.M.,,0
2026-04-01,89945,UPCOMING,St. John’s Prep,4369,,,Chelmsford,4085,,,Catholic Conference,Merrimack Valley,4:00 P.M.,,0
2026-04-01,89976,UPCOMING,Diman,4115,,,Joseph Case,4078,,,Mayflower,South Coast,3:45 P.M.,,0
2026-04-01,89987,UPCOMING,Durfee,4122,,,Somerset Berkley,4350,,,Big Three,South Coast,4:15 P.M.,,0
2026-04-01,89989,UPCOMING,Mystic Valley,4264,,,Everett,4132,,,Commonwealth,Greater Boston,4:30 P.M.,,0
2026-04-01,89994,UPCOMING,Framingham,4143,,,Wayland,4411,,,Bay State,Dual County,,,0
2026-04-01,90002,UPCOMING,Franklin,4144,,,Foxborough,4142,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-04-01,90020,UPCOMING,Hopkinton,4180,,,Westwood,4424,,,Tri-Valley,Tri-Valley,5:00 P.M.,,0
2026-04-01,90406,UPCOMING,Algonquin,4005,,,Lincoln-Sudbury,4211,,,Mid-Wach,Dual County,4:00 P.M.,,0
2026-04-01,90440,UPCOMING,Malden Catholic,4228,,,Methuen,4246,,,Catholic Conference,Merrimack Valley,4:00 P.M.,,0
2026-04-01,90489,UPCOMING,New Bedford,4273,,,Falmouth,4134,,,Big Three,Cape & Islands,4:00 P.M.,,0
2026-04-01,90527,UPCOMING,Danvers,4103,,,Peabody,4306,,,Northeastern,Northeastern,4:00 P.M.,,0
