date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2025-12-22,65044,FINAL,Braintree,4051,59.0,0.0,Milton,4252,65.0,1.0,Bay State,Bay State,6:30 P.M.,,0
2025-12-22,65069,FINAL,Brookline,4059,58.0,0.0,Newton North,4279,70.0,1.0,Bay State,Bay State,4:30 P.M.,,0
2025-12-22,65156,FINAL,Weymouth,4425,62.0,0.0,Waltham,4405,67.0,1.0,Bay State,Dual County,6:30 P.M.,1.0,0
2025-12-22,65473,FINAL,Revere,4329,53.0,1.0,Medford,4242,50.0,0.0,Greater Boston,Greater Boston,7:00 P.M.,,0
2025-12-22,65492,FINAL,Taunton,4388,65.0,0.0,Attleboro,4018,83.0,1.0,Hockomock,Hockomock,6:30 P.M.,,0
2025-12-22,65501,FINAL,Foxborough,4142,61.0,1.0,Canton,4071,54.0,0.0,Hockomock,Hockomock,6:30 P.M.,1.0,0
2025-12-22,65514,FINAL,Franklin,4144,56.0,1.0,King Philip,4197,54.0,0.0,Hockomock,Hockomock,6:30 P.M.,,0
2025-12-22,65519,FINAL,Oliver Ames,4302,59.0,1.0,Mansfield,4230,58.0,0.0,Hockomock,Hockomock,6:30 P.M.,1.0,0
2025-12-22,65526,FINAL,Milford,4249,43.0,0.0,Sharon,4345,50.0,1.0,Hockomock,Hockomock,6:30 P.M.,,0
2025-12-22,65532,FINAL,Stoughton,4381,33.0,0.0,North Attleborough,4284,48.0,1.0,Hockomock,Hockomock,6:30 P.M.,,0
2025-12-22,65545,FINAL,Arlington,4013,56.0,1.0,Reading,4328,31.0,0.0,Middlesex,Middlesex,7:00 P.M.,,0
2025-12-22,65550,FINAL,Woburn,4438,56.0,0.0,Belmont,4034,73.0,1.0,Middlesex,Middlesex,7:00 P.M.,,0
2025-12-22,65560,FINAL,Burlington,4065,68.0,1.0,Wakefield,4402,42.0,0.0,Middlesex,Middlesex,7:00 P.M.,,0
2025-12-22,65568,FINAL,Winchester,4434,77.0,1.0,Lexington,4209,74.0,0.0,Middlesex,Middlesex,7:00 P.M.,,0
2025-12-22,65576,FINAL,Wilmington,4432,35.0,0.0,Melrose,4244,48.0,1.0,Middlesex,Middlesex,7:00 P.M.,,0
2025-12-22,65582,FINAL,Stoneham,4380,48.0,1.0,Watertown,4409,45.0,0.0,Middlesex,Middlesex,7:30 P.M.,,0
2025-12-22,65626,FINAL,Cambridge,4067,59.0,1.0,Lawrence,4203,52.0,0.0,Dual County,Merrimack Valley,7:00 P.M.,,0
2025-12-22,65634,FINAL,Concord-Carlisle,4097,46.0,0.0,Tewksbury,4389,76.0,1.0,Dual County,Merrimack Valley,7:00 P.M.,,0
2025-12-22,65800,FINAL,Chelmsford,4085,83.0,1.0,Dracut,4119,41.0,0.0,Merrimack Valley,Merrimack Valley,5:15 P.M.,,0
2025-12-22,65907,FINAL,Hamilton-Wenham,4163,45.0,0.0,Manchester Essex,4229,63.0,1.0,Cape Ann,Cape Ann,6:30 P.M.,,0
2025-12-22,65914,FINAL,Amesbury,4007,58.0,0.0,Ipswich,4190,64.0,1.0,Cape Ann,Cape Ann,6:30 P.M.,,0
