date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2025-12-03,65411,FINAL,Dexter Southfield,4113,4,1,Cushing,4101,1,0,Independent,Independent,5:30 P.M.,,0
2025-12-11,65408,UPCOMING,Martha’s Vineyard,4235,,,Monomoy/Mashpee,4237,,,Cape & Islands,Cape & Islands,4:20 P.M.,,0
2025-12-11,65409,UPCOMING,Norwood,4297,,,Holliston/Ashland,4174,,,Tri-Valley,Tri-Valley,4:30 P.M.,,0
2025-12-11,65412,UPCOMING,Auburn,4019,,,Mansfield,4230,,,Independent,Hockomock,6:00 P.M.,,0
2025-12-11,65413,UPCOMING,St. Mary’s,4374,,,Shrewsbury,4348,,,Catholic Central,Merrimack Valley/Dual County,6:00 P.M.,,0
2025-12-11,65416,UPCOMING,Norwell,4296,,,Dover-Sherborn/Weston,4118,,,South Shore,Tri-Valley,6:00 P.M.,,0
2025-12-11,65418,UPCOMING,Wellesley,4413,,,North Attleborough,4284,,,Bay State,Hockomock,6:10 P.M.,,0
2025-12-11,65421,UPCOMING,Pope Francis,4796,,,Natick,4270,,,Independent,Bay State,6:40 P.M.,,0
2025-12-11,65426,UPCOMING,Belmont,4034,,,Catholic Memorial,4080,,,Middlesex,Catholic Conference,7:00 P.M.,,0
2025-12-11,65430,UPCOMING,Shawsheen,4346,,,Lexington,4209,,,Commonwealth,Independent,7:10 P.M.,,0
2025-12-11,65443,UPCOMING,Sandwich,4340,,,Hanover,4164,,,Cape & Islands,Patriot,8:00 P.M.,,0
2025-12-12,65462,UPCOMING,Northeast,4293,,,Minuteman,4255,,,Commonwealth,Commonwealth,6:00 P.M.,,0
2025-12-12,65465,UPCOMING,Lunenburg/Ayer Shirley,4219,,,Assabet,4016,,,Coughlin,Independent,6:30 P.M.,,0
2025-12-12,65467,UPCOMING,Hudson,4182,,,Littleton/Bromfield,4212,,,Quinn,Coughlin,7:00 P.M.,,0
2025-12-12,65476,UPCOMING,Winthrop,4437,,,Marblehead,4231,,,Northeastern,Northeastern,7:00 P.M.,,0
2025-12-12,65477,UPCOMING,Minnechaug,4254,,,Taconic,4385,,,Berry Division,Independent,7:10 P.M.,,0
2025-12-13,65038,UPCOMING,Milton,4252,,,Wellesley,4413,,,Bay State,Bay State,6:00 P.M.,,0
2025-12-13,65482,UPCOMING,Essex Tech,4745,,,Bedford,4031,,,Cape Ann,Merrimack Valley/Dual County,12:00 P.M.,,0
2025-12-13,65484,UPCOMING,Lynnfield,4223,,,Scituate,4343,,,Cape Ann,Patriot,12:00 P.M.,,0
2025-12-13,65486,UPCOMING,Newburyport,4276,,,Waltham,4405,,,Cape Ann,Merrimack Valley/Dual County,12:00 P.M.,,0
2025-12-13,65491,UPCOMING,Newton South,4280,,,Oliver Ames,4302,,,Merrimack Valley/Dual County,Hockomock,12:20 P.M.,,0
2025-12-13,65495,UPCOMING,Franklin,4144,,,Falmouth,4134,,,Hockomock,Cape & Islands,12:30 P.M.,,0
2025-12-13,65497,UPCOMING,Ludlow,4218,,,Agawam,4004,,,Fay Division,Fay Division,12:30 P.M.,,0
2025-12-13,65504,UPCOMING,Arlington,4013,,,Wilmington,4432,,,Middlesex,Middlesex,12:40 P.M.,,0
2025-12-13,65507,UPCOMING,Marblehead,4231,,,Winthrop,4437,,,Northeastern,Northeastern,1:00 P.M.,,0
2025-12-13,65553,UPCOMING,Beverly,4038,,,Peabody,4306,,,Northeastern,Northeastern,1:30 P.M.,,0
2025-12-13,65596,UPCOMING,Westford,4421,,,St. Mary’s,4374,,,Merrimack Valley/Dual County,Catholic Central,1:40 P.M.,,0
2025-12-13,65601,UPCOMING,Chicopee,4088,,,Northbridge,4292,,,Fay Division,Russell,2:00 P.M.,,0
2025-12-13,65617,UPCOMING,St. Bernard’s,4365,,,Greenfield,4157,,,Coughlin,Wright Division,2:00 P.M.,,0
2025-12-13,65623,UPCOMING,Winchester,4434,,,Stoneham,4380,,,Middlesex,Middlesex,2:00 P.M.,,0
2025-12-13,65627,UPCOMING,Lexington,4209,,,Burlington,4065,,,Independent,Middlesex,2:20 P.M.,,0
2025-12-13,65630,UPCOMING,Longmeadow,4214,,,West Springfield,4417,,,Berry Division,Berry Division,2:30 P.M.,,0
2025-12-13,65637,UPCOMING,Braintree,4051,,,Walpole,4404,,,Bay State,Bay State,2:30 P.M.,,0
2025-12-13,65652,UPCOMING,Cambridge,4067,,,Newton North,4279,,,Merrimack Valley/Dual County,Bay State,3:00 P.M.,,0
2025-12-13,65661,UPCOMING,Blackstone Valley,4046,,,Fitchburg/Monty Tech,4139,,,Russell,Coughlin,3:00 P.M.,,0
2025-12-13,65674,UPCOMING,Belmont,4034,,,Watertown,4409,,,Middlesex,Middlesex,3:00 P.M.,,0
2025-12-13,65676,UPCOMING,Brookline,4059,,,Algonquin,4005,,,Bay State,Quinn,3:00 P.M.,,0
2025-12-13,65679,UPCOMING,North Attleborough,4284,,,Dedham,4108,,,Hockomock,Tri-Valley,3:00 P.M.,,0
2025-12-13,65680,UPCOMING,Monomoy/Mashpee,4237,,,Bourne,4050,,,Cape & Islands,South Coast,3:30 P.M.,,0
2025-12-13,65682,UPCOMING,Whitman-Hanson,4427,,,Wachusett,4400,,,Patriot,Roy,3:40 P.M.,,0
2025-12-13,65684,UPCOMING,Everett/Revere,4132,,,Somerville,4351,,,Greater Boston,Greater Boston,4:00 P.M.,,0
2025-12-13,65686,UPCOMING,King Philip,4197,,,Silver Lake,4349,,,Hockomock,Patriot,4:00 P.M.,,0
2025-12-13,65688,UPCOMING,Hull/Cohasset,4094,,,South Shore Voc-Tech,4356,,,South Shore,Mayflower,4:00 P.M.,,0
2025-12-13,65691,UPCOMING,Medford,4242,,,Malden Catholic,4228,,,Greater Boston,Catholic Conference,4:00 P.M.,,0
