date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2025-12-22,72795,FINAL,Hingham,4171,58.0,1.0,Silver Lake,4349,42.0,0.0,Patriot,Patriot,7:30 P.M.,,0
2025-12-23,72348,FINAL,Archbishop Williams,4012,57.0,1.0,Bishop Fenwick,4043,25.0,0.0,Catholic Central,Catholic Central,10:00 A.M.,,0
2025-12-23,72350,FINAL,St. Mary’s,4374,82.0,1.0,Arlington Catholic,4014,16.0,0.0,Catholic Central,Catholic Central,10:00 P.M.,,0
2025-12-23,72353,FINAL,Cristo Rey,4453,10.0,0.0,Cardinal Spellman,4075,92.0,1.0,Catholic Central,Tri-County,10:00 A.M.,,0
2025-12-23,72836,FINAL,Seekonk,4344,53.0,1.0,Fairhaven,4133,42.0,0.0,South Coast,South Coast,,,0
2025-12-30,75287,FINAL,Amesbury,4007,67.0,1.0,Ipswich,4190,33.0,0.0,Cape Ann,Cape Ann,,,0
2025-12-30,77691,FINAL,Lynnfield,4223,60.0,1.0,Manchester Essex,4229,40.0,0.0,Cape Ann,Cape Ann,8:00 A.M.,,0
2025-12-30,77724,FINAL,Pentucket,4309,52.0,1.0,Triton,4395,48.0,0.0,Cape Ann,Cape Ann,8:00 P.M.,,0
2026-01-05,77708,UPCOMING,Carver,4077,,,Hull,4184,,,South Shore,South Shore,4:00 P.M.,,0
2026-01-05,77728,UPCOMING,Norwell,4296,29.0,,Middleborough,4247,71.0,,South Shore,South Shore,4:00 P.M.,,0
2026-01-05,77732,UPCOMING,Rockland,4331,,,Randolph,4327,,,South Shore,South Shore,4:00 P.M.,,0
2026-01-06,77612,FINAL,Arlington Catholic,4014,57.0,1.0,Cristo Rey,4453,7.0,0.0,Catholic Central,Catholic Central,7:30 P.M.,,0
2026-01-06,77639,UPCOMING,Burlington,4065,,,Stoneham,4380,,,Middlesex,Middlesex,4:00 P.M.,,0
2026-01-06,77657,UPCOMING,Melrose,4244,,,Wilmington,4432,,,Middlesex,Middlesex,4:00 P.M.,,0
2026-01-06,77669,UPCOMING,Pentucket,4309,,,Essex Tech,4745,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-06,77677,UPCOMING,St. John Paul II,4689,,,Nauset,4271,,,Catholic Central,Cape & Islands,3:00 P.M.,,0
2026-01-06,77680,UPCOMING,Nantucket,4265,,,Nauset,4271,,,Cape & Islands,Cape & Islands,3:00 P.M.,,0
2026-01-06,77682,UPCOMING,Lynnfield,4223,,,Hamilton-Wenham,4163,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-06,77683,UPCOMING,Winchester,4434,,,Woburn,4438,,,Middlesex,Middlesex,4:00 P.M.,,0
2026-01-06,77684,UPCOMING,Dennis-Yarmouth,4111,,,Falmouth,4134,,,Cape & Islands,Cape & Islands,3:00 P.M.,,0
2026-01-06,77700,UPCOMING,Manchester Essex,4229,,,Ipswich,4190,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-06,77702,UPCOMING,Dennis-Yarmouth,4111,,,Monomoy,4706,,,Cape & Islands,Independent,3:00 P.M.,,0
2026-01-06,77719,UPCOMING,North Reading,4288,,,Triton,4395,,,Cape Ann,Cape Ann,5:00 P.M.,,0
2026-01-06,77733,UPCOMING,Sandwich,4340,,,Martha’s Vineyard,4235,,,Cape & Islands,Cape & Islands,3:00 P.M.,,0
2026-01-06,77988,FINAL,Hingham,4171,76.0,1.0,Whitman-Hanson,4427,24.0,0.0,Patriot,Patriot,,,0
2026-01-06,78005,FINAL,North Quincy/Quincy,4287,31.0,0.0,Hanover,4164,65.0,1.0,Patriot,Patriot,,,0
2026-01-06,78008,FINAL,Scituate,4343,25.0,0.0,Hanover,4164,75.0,1.0,Patriot,Patriot,,,0
2026-01-06,78080,FINAL,Bishop Fenwick,4043,16.0,0.0,St. Mary’s,4374,79.0,1.0,Catholic Central,Catholic Central,,,0
2026-01-06,78082,FINAL,Cardinal Spellman,4075,59.0,1.0,Archbishop Williams,4012,41.0,0.0,Tri-County,Catholic Central,,,0
2026-01-07,77607,UPCOMING,Weston,4423,,,Waltham,4405,,,Dual County,Dual County,3:30 P.M.,,0
2026-01-07,77644,UPCOMING,Norton,4295,,,Dover-Sherborn,4118,,,Tri-Valley,Tri-Valley,6:30 P.M.,,0
2026-01-07,77651,UPCOMING,Medway,4243,,,Millis,4251,,,Tri-Valley,Tri-Valley,6:30 P.M.,,0
2026-01-07,78226,FINAL,North Andover,4283,40.5,0.0,Lowell,4216,59.5,1.0,Merrimack Valley,Merrimack Valley,,,0
2026-01-07,78228,FINAL,North Andover,4283,45.0,2.0,Andover,4009,45.0,2.0,Merrimack Valley,Merrimack Valley,,,0
2026-01-08,77486,FINAL,Wellesley,4413,26.5,0.0,Newton North,4279,73.5,1.0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77500,FINAL,Brookline,4059,82.0,1.0,Framingham,4143,17.0,0.0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77510,FINAL,Braintree,4051,35.33,0.0,Walpole,4404,64.66,1.0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77520,UPCOMING,Dedham,4108,,,Westwood,4424,,,Tri-Valley,Tri-Valley,7:30 P.M.,,0
2026-01-08,77524,FINAL,Needham,4272,38.0,0.0,Weymouth,4425,62.0,1.0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77541,UPCOMING,Westford,4421,,,Cambridge,4067,,,Dual County,Dual County,3:30 P.M.,,0
2026-01-08,77545,FINAL,Natick,4270,53.33,1.0,Milton,4252,46.66,0.0,Bay State,Bay State,4:00 P.M.,,0
2026-01-08,77561,UPCOMING,Concord-Carlisle,4097,,,Newton South,4280,,,Dual County,Dual County,4:00 P.M.,,0
