date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2025-12-22,71912,FINAL,Xaverian,4446,104,1,BC High,4029,82,0,Catholic Conference,Catholic Conference,,,0
2025-12-22,72340,FINAL,Durfee,4122,80,1,Taunton,4388,60,0,Big Three,Hockomock,3:30 P.M.,,0
2025-12-23,72785,FINAL,Chelmsford,4085,96,1,Natick,4270,85,0,Merrimack Valley,Bay State,,,0
2025-12-23,72874,FINAL,Wellesley,4413,86,0,Belmont,4034,97,1,Bay State,Middlesex,,,0
2026-01-06,77993,FINAL,St. John’s Prep,4369,95,1,Chelmsford,4085,89,0,Catholic Conference,Merrimack Valley,,,0
2026-01-06,77997,FINAL,Barnstable,4024,57,0,Nauset,4271,67,1,Pioneer,Cape & Islands,,,0
2026-01-06,78000,FINAL,Dedham,4108,35,0,Ashland,4015,38,1,Independent,Tri-Valley,,,0
2026-01-06,78011,FINAL,Bishop Stang,4045,77,0,Apponequet/Old Colony,4011,90,1,Catholic Central,South Coast,,,0
2026-01-06,78245,FINAL,Sandwich,4340,87,1,Norwell,4296,37,0,Cape & Islands,South Shore,,,0
2026-01-08,78239,FINAL,Sandwich,4340,79,0,Nantucket,4265,83,1,Cape & Islands,Cape & Islands,,,0
2026-01-08,78328,FINAL,Marshfield/Hanover,4234,80,0,Quincy/North Quincy,4326,96,1,Patriot,Patriot,,,0
2026-01-08,78342,FINAL,Brockton,4058,24,0,Durfee,4122,74,1,Big Three,Big Three,,,0
