date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-01-06,77968,FINAL,Revere,4329,59,0,Medford,4242,86,1,Independent,Independent,,,0
2026-01-06,77975,FINAL,Marblehead,4231,92,1,Danvers,4103,81,0,Independent,Independent,,,0
2026-01-06,77978,FINAL,East Boston,4125,62,0,Latin Academy,4202,89,1,Boston City,Boston City,,,0
2026-01-06,77979,FINAL,Arlington Catholic,4014,62,0,O’Bryant,4298,88,1,Catholic Central,Boston City,,,0
2026-01-07,78220,FINAL,Swampscott,4383,82,0,Peabody,4306,93,1,Independent,Independent,,,0
2026-01-08,78324,FINAL,Somerville,4351,76,0,Medford,4242,91,1,Independent,Independent,4:00 P.M.,,0
2026-01-08,78345,FINAL,East Boston,4125,44,0,Lynn Tech,4222,48,1,Boston City,Commonwealth,,,0
2026-01-08,78346,FINAL,O’Bryant,4298,77,0,Malden,4227,93,1,Boston City,Independent,,,0
2026-01-08,78347,FINAL,Latin Academy,4202,77,1,St. Mary’s,4374,57,0,Boston City,Catholic Central,,,0
2026-01-13,79821,FINAL,East Boston,4125,65,0,Medford,4242,91,1,Boston City,Independent,,,0
2026-01-13,79822,FINAL,O’Bryant,4298,67,0,Latin Academy,4202,109,1,Boston City,Boston City,,,0
2026-01-14,80270,FINAL,Danvers,4103,88,1,Swampscott,4383,79,0,Independent,Independent,,,0
2026-01-15,80605,FINAL,Archbishop Williams,4012,71,0,Bishop Feehan,4042,93,1,Catholic Central,Catholic Central,,,0
2026-01-15,80612,FINAL,Medford,4242,79,0,Boston Latin,4049,89,1,Independent,Independent,,,0
2026-01-15,80637,FINAL,Marblehead,4231,97,1,Masconomet,4236,81,0,Independent,Independent,7:00 P.M.,,0
2026-01-15,80655,FINAL,East Boston,4125,41,0,Arlington Catholic,4014,53,1,Boston City,Catholic Central,,,0
2026-01-15,80656,FINAL,Medford,4242,79,0,Latin Academy,4202,89,1,Independent,Boston City,,,0
2026-01-15,80657,FINAL,O’Bryant,4298,57,1,Brockton,4058,34,0,Boston City,Independent,,,0
2026-01-15,80660,FINAL,Norwell,4296,50,1,O’Bryant,4298,44,0,Independent,Boston City,,,0
2026-01-16,80703,FINAL,East Boston,4125,49,1,St. Mary’s,4374,44,0,Boston City,Catholic Central,,,0
2026-01-20,81613,FINAL,Lynn Classical,4220,73,0,Medford,4242,87,1,Independent,Independent,,,0
2026-01-20,81615,FINAL,East Boston,4125,42,0,Norwell,4296,49,1,Boston City,Independent,,,0
2026-01-20,81617,FINAL,Brockton,4058,70,0,Latin Academy,4202,91,1,Independent,Boston City,,,0
2026-01-20,81620,FINAL,St. Mary’s,4374,48,0,O’Bryant,4298,82,1,Catholic Central,Boston City,,,0
