date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-09-07,139469,UPCOMING,Newton South,4280,,,Newton North,4279,,,Dual County,Bay State,4:30 P.M.,,0
2026-09-07,143768,FINAL,Danvers,4103,2,0,Marblehead,4231,6,1,Northeastern,Northeastern,10:00 A.M.,,0
2026-09-07,143875,FINAL,Masconomet,4236,0,0,Ipswich,4190,1,1,Northeastern,Cape Ann,10:00 A.M.,,0
2026-09-07,144531,FINAL,Groton-Dunstable,4160,8,1,Tyngsborough,4397,2,0,Mid-Wach,Mid-Wach,11:00 A.M.,,0
2026-09-07,144691,FINAL,Swampscott,4383,1,0,Bishop Fenwick,4043,3,1,Northeastern,Catholic Central,10:00 A.M.,,0
2026-09-07,145031,POSTPONED,Greenfield,4157,,,Belchertown,4032,,,Suburban,County,1:00 P.M.,,0
2026-09-07,145295,UPCOMING,Bridgewater-Raynham,4053,,,East Bridgewater,4126,,,Pioneer,South Shore,4:00 P.M.,,0
2026-09-08,139135,UPCOMING,Lexington,4209,,,Burlington,4065,,,Middlesex,Middlesex,4:15 P.M.,,0
2026-09-08,139419,POSTPONED,Revere,4329,,,Methuen,4246,,,Greater Boston,Merrimack Valley,4:30 P.M.,,0
2026-09-08,139475,UPCOMING,Newton North,4279,,,Needham,4272,,,Bay State,Bay State,4:30 P.M.,,0
2026-09-08,139584,UPCOMING,Sharon,4345,,,Mansfield,4230,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-09-08,139715,FINAL,Franklin,4144,3,1,King Philip,4197,2,0,Hockomock,Hockomock,3:45 P.M.,,0
2026-09-08,139750,UPCOMING,Attleboro,4018,,,Foxborough,4142,,,Hockomock,Hockomock,5:15 P.M.,,0
2026-09-08,139877,FINAL,Reading,4328,4,1,Melrose,4244,0,0,Middlesex,Middlesex,4:00 P.M.,,0
2026-09-08,139981,UPCOMING,Milford,4249,,,North Attleborough,4284,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-09-08,140081,UPCOMING,Taunton,4388,,,Oliver Ames,4302,,,Hockomock,Hockomock,3:45 P.M.,,0
2026-09-08,140223,UPCOMING,Arlington,4013,,,Wilmington,4432,,,Middlesex,Middlesex,4:30 P.M.,,0
2026-09-08,140334,FINAL,Stoughton,4381,0,0,Canton,4071,10,1,Hockomock,Hockomock,3:45 P.M.,,0
2026-09-08,140342,UPCOMING,Westfield,4419,,,Agawam,4004,,,Valley League,Suburban,4:00 P.M.,,0
2026-09-08,140633,FINAL,North Andover,4283,1,2,Masconomet,4236,1,2,Merrimack Valley,Northeastern,4:00 P.M.,,0
2026-09-08,140648,FINAL,Winchester,4434,4,1,Stoneham,4380,1,0,Middlesex,Middlesex,4:15 P.M.,,0
2026-09-08,140672,FINAL,Holliston,4174,1,2,Hopkinton,4180,1,2,Tri-Valley,Tri-Valley,3:45 P.M.,,0
2026-09-08,140869,UPCOMING,Woburn,4438,,,Wakefield,4402,,,Middlesex,Middlesex,4:00 P.M.,,0
2026-09-08,140885,FINAL,Sandwich,4340,5,1,Bishop Feehan,4042,1,0,Cape & Islands,Catholic Central,4:00 P.M.,,0
2026-09-08,140904,FINAL,Malden Catholic,4228,2,2,Marblehead,4231,2,2,Catholic Conference,Northeastern,4:00 P.M.,,0
2026-09-08,143629,UPCOMING,North Brookfield,4508,,,Monty Tech,4259,,,Independent,CMAC,4:00 P.M.,,0
2026-09-08,143662,UPCOMING,Quaboag,4510,,,Blackstone Valley,4046,,,CMAC,CMAC,3:30 P.M.,,0
2026-09-08,143770,FINAL,Danvers,4103,4,1,Hamilton-Wenham,4163,3,0,Northeastern,Cape Ann,4:00 P.M.,,0
2026-09-08,143801,UPCOMING,Minnechaug,4254,,,East Longmeadow,4127,,,Suburban,Valley League,5:00 P.M.,,0
2026-09-08,143986,FINAL,Nauset,4271,4,1,St. John Paul II,4689,1,0,Cape & Islands,Cape & Islands,4:00 P.M.,,0
2026-09-08,144102,FINAL,Dedham,4108,1,0,Dover-Sherborn,4118,6,1,Tri-Valley,Tri-Valley,4:15 P.M.,,0
2026-09-08,144128,FINAL,Medfield,4241,2,1,Ashland,4015,1,0,Tri-Valley,Tri-Valley,4:30 P.M.,,0
2026-09-08,144249,UPCOMING,Frontier,4146,,,Longmeadow,4214,,,Suburban,Suburban,4:00 P.M.,,0
2026-09-08,144294,FINAL,Northampton,4291,0,0,Mohawk Trail,4258,1,1,Valley League,Valley League,4:30 P.M.,,0
2026-09-08,144319,FINAL,Norwood,4297,4,2,Westwood,4424,4,2,Tri-Valley,Tri-Valley,4:30 P.M.,,0
2026-09-08,144352,UPCOMING,Bishop Fenwick,4043,,,Gloucester,4150,,,Catholic Central,Northeastern,4:00 P.M.,,0
2026-09-08,144444,UPCOMING,Norwell,4296,,,Duxbury,4123,,,South Shore,Patriot,4:00 P.M.,,0
2026-09-08,144479,UPCOMING,Falmouth,4134,,,Cohasset,4094,,,Cape & Islands,South Shore,4:30 P.M.,,0
2026-09-08,144551,FINAL,Apponequet,4011,6,1,Middleborough,4247,0,0,South Coast,South Shore,5:30 P.M.,,0
2026-09-08,144670,UPCOMING,Old Rochester,4301,,,Bishop Stang,4045,,,South Coast,Catholic Central,3:30 P.M.,,0
2026-09-08,144737,FINAL,Notre Dame Academy-Worcester,4451,1,0,Oakmont,4299,2,1,CMAC,Mid-Wach,4:00 P.M.,,0
2026-09-08,144748,UPCOMING,Dighton-Rehoboth,4114,,,Westport,4461,,,South Coast,Mayflower,3:30 P.M.,,0
2026-09-08,144769,UPCOMING,Wareham/Mashpee,4407,,,Martha’s Vineyard,4235,,,Mayflower,Cape & Islands,3:30 P.M.,,0
2026-09-08,144956,UPCOMING,Medway,4243,,,Bellingham,4033,,,Tri-Valley,Tri-Valley,3:30 P.M.,,0
2026-09-08,145213,FINAL,Sutton,4512,3,1,Joseph Case,4078,0,0,CMAC,South Coast,4:00 P.M.,,0
2026-09-08,145304,UPCOMING,Seekonk,4344,,,West Bridgewater,4415,,,South Coast,South Coast,3:45 P.M.,,0
2026-09-09,139143,UPCOMING,Brockton,4058,,,Durfee,4122,,,Big Three,Big Three,6:30 P.M.,,0
2026-09-09,139203,FINAL,Milton,4252,2,1,Brookline,4059,0,0,Bay State,Bay State,4:30 P.M.,,0
2026-09-09,139207,FINAL,Leominster,4208,1,0,Notre Dame Academy-Worcester,4451,2,1,Mid-Wach,CMAC,6:30 P.M.,,0
2026-09-09,139345,POSTPONED,Everett,4132,,,Malden,4227,,,Greater Boston,Greater Boston,4:15 P.M.,,0
2026-09-09,139368,FINAL,Andover,4009,6,1,Lowell,4216,0,0,Merrimack Valley,Merrimack Valley,7:00 P.M.,,0
2026-09-09,139423,FINAL,Peabody,4306,3,1,Revere,4329,1,0,Northeastern,Greater Boston,4:00 P.M.,,0
2026-09-09,139478,FINAL,Wellesley,4413,2,1,Newton North,4279,1,0,Bay State,Bay State,4:30 P.M.,,0
2026-09-09,139514,FINAL,Duxbury,4123,2,1,Marshfield,4234,1,0,Patriot,Patriot,4:00 P.M.,,0
2026-09-09,139569,FINAL,Natick,4270,8,1,Framingham,4143,0,0,Bay State,Bay State,6:30 P.M.,,0
2026-09-09,139636,FINAL,South High,4962,0,0,St. Paul,4954,4,1,Independent,CMAC,3:30 P.M.,,0
2026-09-09,139640,FINAL,Quabbin,4325,3,1,Shrewsbury,4348,1,0,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-09-09,139764,FINAL,Barnstable,4024,5,1,Sturgis East,4456,1,0,Pioneer,Cape & Islands,4:00 P.M.,,0
2026-09-09,139821,FINAL,Doherty,4116,4,1,Auburn,4019,1,0,CMAC,CMAC,3:45 P.M.,,0
2026-09-09,139840,FINAL,Weston,4423,4,1,Newton South,4280,1,0,Dual County,Dual County,4:15 P.M.,,0
2026-09-09,139915,FINAL,Hingham,4171,6,1,Hanover,4164,0,0,Patriot,Patriot,4:00 P.M.,,0
2026-09-09,140009,FINAL,Triton,4395,1,0,Essex Tech,4745,2,1,Cape Ann,Cape Ann,4:00 P.M.,,0
2026-09-09,140141,FINAL,Methuen,4246,6,1,Dracut,4119,0,0,Merrimack Valley,Merrimack Valley,6:00 P.M.,,0
2026-09-09,140170,UPCOMING,Needham,4272,,,Weymouth,4425,,,Bay State,Bay State,4:00 P.M.,,0
2026-09-09,140400,FINAL,Silver Lake,4349,3,1,Whitman-Hanson,4427,1,0,Patriot,Patriot,4:00 P.M.,,0
2026-09-09,140403,FINAL,Walpole,4404,6,1,Braintree,4051,0,0,Bay State,Bay State,4:00 P.M.,,0
2026-09-09,140442,FINAL,Chelmsford,4085,7,1,Haverhill,4167,2,0,Merrimack Valley,Merrimack Valley,5:30 P.M.,,0
2026-09-09,140486,FINAL,Watertown,4409,1,0,Belmont,4034,2,1,Middlesex,Middlesex,4:15 P.M.,,0
2026-09-09,140537,FINAL,Westford,4421,0,0,Waltham,4405,5,1,Dual County,Dual County,4:00 P.M.,,0
2026-09-09,140606,UPCOMING,Dartmouth,4105,,,Bridgewater-Raynham,4053,,,Pioneer,Pioneer,4:00 P.M.,,0
2026-09-09,140681,FINAL,Plymouth South,4316,0,0,Scituate,4343,11,1,Patriot,Patriot,4:00 P.M.,,0
2026-09-09,140735,FINAL,Bedford,4031,1,0,Concord-Carlisle,4097,7,1,Dual County,Dual County,4:00 P.M.,,0
2026-09-09,140745,FINAL,Tewksbury,4389,0,0,Central Catholic,4081,3,1,Merrimack Valley,Merrimack Valley,4:00 P.M.,,0
2026-09-09,140788,FINAL,Pembroke,4308,0,2,Plymouth North,4315,0,2,Patriot,Patriot,4:00 P.M.,,0
2026-09-09,140825,FINAL,Marlborough,4233,4,1,Algonquin,4005,1,0,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-09-09,143618,FINAL,Greater Lowell,4155,1,0,Bay Path/David Prouty,4027,3,1,Independent,CMAC,4:30 P.M.,,0
2026-09-09,143741,FINAL,Blackstone-Millville,4486,8,1,Worcester Tech/Worcester North,4445,0,0,CMAC,CMAC,3:30 P.M.,,0
2026-09-09,144268,FINAL,Shepherd Hill,4347,3,1,Tyngsborough,4397,2,0,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-09-09,144336,FINAL,Grafton,4153,16,1,Oxford,4303,0,0,Mid-Wach,CMAC,4:00 P.M.,,0
2026-09-09,144527,FINAL,Amherst-Pelham,4008,0,0,Belchertown,4032,6,1,County,County,6:00 P.M.,,0
2026-09-09,144532,FINAL,Groton-Dunstable,4160,2,1,Lunenburg,4219,0,0,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-09-09,144634,FINAL,Newburyport,4276,2,1,Lynnfield,4223,1,0,Cape Ann,Cape Ann,4:00 P.M.,,0
2026-09-09,144662,FINAL,Notre Dame (Hingham),4449,5,1,Ursuline,4448,3,0,Catholic Conference,Catholic Conference,6:00 P.M.,,0
2026-09-09,144717,POSTPONED,Holyoke,4176,,,Southwick,4519,,,County,Valley League,4:30 P.M.,,0
2026-09-09,145053,FINAL,Carver,4077,4,1,Fairhaven,4133,0,0,South Shore,South Coast,4:00 P.M.,,0
2026-09-09,145096,FINAL,North Reading,4288,3,1,Pentucket,4309,2,0,Cape Ann,Cape Ann,4:00 P.M.,,0
2026-09-09,145170,FINAL,Northbridge,4292,0,0,Uxbridge,4398,9,1,CMAC,CMAC,3:30 P.M.,,0
2026-09-09,145256,FINAL,Nipmuc,4281,0,0,Hopedale,4507,4,1,CMAC,CMAC,4:00 P.M.,,0
2026-09-09,145312,FINAL,Bromfield,4505,1,0,Gardner,4147,2,1,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-09-09,145328,FINAL,Smith Academy,4538,0,0,South Hadley,4353,3,1,Valley League,Suburban,4:00 P.M.,,0
2026-09-09,145340,FINAL,Littleton,4212,1,2,Clinton,4093,1,2,Mid-Wach,Mid-Wach,4:30 P.M.,,0
2026-09-09,145444,FINAL,Rockport,4490,1,0,Manchester Essex,4229,5,1,Cape Ann,Cape Ann,6:00 P.M.,,0
2026-09-09,145463,FINAL,Hamilton-Wenham,4163,4,1,Amesbury,4007,1,0,Cape Ann,Cape Ann,4:00 P.M.,,0
2026-09-09,145581,FINAL,Narragansett,4266,9,1,Maynard,4239,0,0,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-09-09,145602,UPCOMING,Tahanto,4513,,,Fitchburg,4139,,,Mid-Wach,Mid-Wach,4:00 P.M.,,0
2026-09-10,139136,FINAL,Lexington,4209,3,1,Reading,4328,2,0,Middlesex,Middlesex,4:15 P.M.,,0
2026-09-10,139261,FINAL,New Bedford,4273,0,0,Westport,4461,2,1,Big Three,Mayflower,4:00 P.M.,,0
2026-09-10,139311,FINAL,Wareham/Mashpee,4407,5,1,Southeastern,4358,2,0,Mayflower,Mayflower,3:30 P.M.,,0
2026-09-10,139351,FINAL,Everett,4132,6,1,Arlington Catholic,4014,0,0,Greater Boston,Catholic Central,4:15 P.M.,,0
2026-09-10,139588,FINAL,Attleboro,4018,13,1,Sharon,4345,0,0,Hockomock,Hockomock,5:45 P.M.,,0
2026-09-10,139721,FINAL,King Philip,4197,4,1,Mansfield,4230,1,0,Hockomock,Hockomock,3:45 P.M.,,0
2026-09-10,139982,FINAL,Milford,4249,0,0,Franklin,4144,18,1,Hockomock,Hockomock,3:45 P.M.,,0
2026-09-10,140049,FINAL,Lincoln-Sudbury,4211,5,1,Acton-Boxborough,4003,0,0,Dual County,Dual County,4:00 P.M.,,0
2026-09-10,140082,FINAL,Taunton,4388,2,2,Stoughton,4381,2,2,Hockomock,Hockomock,3:45 P.M.,,0
2026-09-10,140194,FINAL,Canton,4071,5,1,Oliver Ames,4302,0,0,Hockomock,Hockomock,6:30 P.M.,,0
2026-09-10,140227,FINAL,Arlington,4013,1,0,Belmont,4034,5,1,Middlesex,Middlesex,4:30 P.M.,,0
2026-09-10,140235,FINAL,Foxborough,4142,4,1,North Attleborough,4284,1,0,Hockomock,Hockomock,5:00 P.M.,,0
2026-09-10,140291,FINAL,West Springfield,4417,3,1,Hampshire,4518,1,0,Suburban,County,7:00 P.M.,,0
2026-09-10,140349,FINAL,Frontier,4146,3,1,Agawam,4004,0,0,Suburban,Suburban,4:00 P.M.,,0
2026-09-10,140649,FINAL,Woburn,4438,0,0,Winchester,4434,3,1,Middlesex,Middlesex,4:00 P.M.,,0
2026-09-10,140673,FINAL,Westwood,4424,0,0,Hopkinton,4180,1,1,Tri-Valley,Tri-Valley,6:00 P.M.,,0
2026-09-10,140687,UPCOMING,Plymouth South,4316,,,East Bridgewater,4126,,,Patriot,South Shore,4:00 P.M.,,0
2026-09-10,140760,FINAL,Beverly,4038,2,1,Marblehead,4231,0,0,Northeastern,Northeastern,6:00 P.M.,,0
2026-09-10,143631,UPCOMING,Monty Tech,4259,,,Quaboag,4510,,,CMAC,CMAC,4:00 P.M.,,0
2026-09-10,143687,UPCOMING,Northbridge,4292,,,Bay Path/David Prouty,4027,,,CMAC,CMAC,4:00 P.M.,,0
2026-09-10,143711,FINAL,Tantasqua,4387,4,1,Shepherd Hill,4347,0,0,CMAC,Mid-Wach,4:00 P.M.,,0
2026-09-10,143804,UPCOMING,East Longmeadow,4127,,,Greenfield,4157,,,Valley League,Suburban,7:00 P.M.,,0
2026-09-10,143903,FINAL,Whitman-Hanson,4427,2,1,Martha’s Vineyard,4235,0,0,Patriot,Cape & Islands,3:30 P.M.,,0
2026-09-10,143932,UPCOMING,Longmeadow,4214,,,Minnechaug,4254,,,Suburban,Suburban,5:00 P.M.,,0
2026-09-10,143954,FINAL,Burlington,4065,0,0,Melrose,4244,4,1,Middlesex,Middlesex,4:15 P.M.,,0
2026-09-10,144104,FINAL,Bellingham,4033,0,0,Dedham,4108,4,1,Tri-Valley,Tri-Valley,4:30 P.M.,,0
2026-09-10,144160,FINAL,Apponequet,4011,0,0,Somerset Berkley,4350,8,1,South Coast,South Coast,4:00 P.M.,,0
2026-09-10,144354,FINAL,Saugus,4341,1,0,Gloucester,4150,5,1,Northeastern,Northeastern,4:30 P.M.,,0
