date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2025-12-03,65333,FINAL,Middlesex,4248,6,1,Pingree,4312,0,0,ISL,EIL,,,0
2025-12-10,65046,UPCOMING,Waltham,4405,,,Milton,4252,,,Merrimack Valley/Dual County,Bay State,5:00 P.M.,,0
2025-12-11,65052,UPCOMING,Hanover,4164,,,Latin Academy/Fontbonne,4202,,,Patriot,Independent,4:00 P.M.,,0
2025-12-11,65054,UPCOMING,Framingham,4143,,,Wayland/Weston,4411,,,Bay State,Merrimack Valley/Dual County,4:50 P.M.,,0
2025-12-11,65056,UPCOMING,Braintree,4051,,,Boston Latin,4049,,,Bay State,Merrimack Valley/Dual County,6:00 P.M.,,0
2025-12-11,65059,UPCOMING,Duxbury,4123,,,Quincy/North Quincy,4287,,,Patriot,Patriot,7:20 P.M.,,0
2025-12-12,65075,UPCOMING,Pembroke,4308,,,Norwell,4296,,,Patriot,Independent,6:00 P.M.,,0
2025-12-12,65078,UPCOMING,Sandwich,4340,,,Dennis-Yarmouth,4111,,,Cape & Islands,Cape & Islands,7:45 P.M.,,0
2025-12-13,65086,UPCOMING,Plymouth,4315,,,Falmouth,4134,,,Patriot,Cape & Islands,10:00 A.M.,,0
2025-12-13,65091,UPCOMING,Dedham,4108,,,Norwood,4297,,,Tri-Valley,Tri-Valley,11:30 A.M.,,0
2025-12-13,65094,UPCOMING,Winchester,4434,,,Stoneham/Wilmington,4380,,,Middlesex,Middlesex,12:00 P.M.,,0
2025-12-13,65099,UPCOMING,Belmont,4034,,,Duxbury,4123,,,Middlesex,Patriot,1:00 P.M.,,0
2025-12-13,65102,UPCOMING,Notre Dame (Hingham),4449,,,Bishop Stang,4045,,,Independent,Catholic Central,1:40 P.M.,,0
2025-12-13,65108,UPCOMING,Medford,4242,,,Winthrop,4437,,,Northeast,Northeast,2:00 P.M.,,0
2025-12-13,65121,UPCOMING,Boston Latin,4049,,,Malden Catholic,4228,,,Merrimack Valley/Dual County,Independent,2:00 P.M.,,0
2025-12-13,65123,UPCOMING,Needham,4272,,,Weymouth,4425,,,Bay State,Bay State,2:00 P.M.,,0
2025-12-13,65130,UPCOMING,Algonquin,4005,,,Longmeadow,4214,,,Central/West,Central/West,2:40 P.M.,,0
2025-12-13,65133,UPCOMING,Gloucester,4150,,,Beverly/Danvers,4038,,,Northeast,Northeast,3:00 P.M.,,0
2025-12-13,65136,UPCOMING,Westford,4421,,,Methuen/Tewksbury,4246,,,Merrimack Valley/Dual County,Merrimack Valley/Dual County,3:00 P.M.,,0
2025-12-13,65142,UPCOMING,Marshfield,4234,,,Martha’s Vineyard,4235,,,Patriot,Cape & Islands,3:40 P.M.,,0
2025-12-13,65143,UPCOMING,Wakefield,4402,,,Woburn,4438,,,Middlesex,Middlesex,4:00 P.M.,,0
2025-12-13,65145,UPCOMING,Auburn,4019,,,Marblehead,4231,,,Independent,Northeast,4:00 P.M.,,0
2025-12-13,65151,UPCOMING,Franklin,4144,,,Stoughton,4381,,,Hockomock,Independent,4:30 P.M.,,0
2025-12-13,65155,UPCOMING,Medway/Ashland,4243,,,Westwood,4424,,,Tri-Valley,Tri-Valley,5:00 P.M.,,0
2025-12-13,65159,UPCOMING,Medfield,4241,,,Hopkinton/Dover-Sherborn,4118,,,Tri-Valley,Tri-Valley,5:00 P.M.,,0
2025-12-13,65160,UPCOMING,Nauset/Monomoy,4271,,,Pope Francis,4796,,,Cape & Islands,Central/West,5:10 P.M.,,0
