date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-04-01,93366,UPCOMING,Weymouth,4425,,,Brookline,4059,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,5:30 P.M.,,0
2026-04-01,93390,UPCOMING,Needham,4272,,,Lincoln-Sudbury,4211,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,4:15 P.M.,,0
2026-04-02,93324,FINAL,Cambridge,4067,48.0,1.0,Algonquin,4005,15.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0
2026-04-10,93326,UPCOMING,Algonquin,4005,,,Brookline,4059,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0
2026-04-10,93348,FINAL,Needham,4272,10.0,0.0,Belmont,4034,49.0,1.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,4:30 P.M.,,0
2026-04-10,93384,FINAL,Cambridge,4067,0.0,0.0,Weymouth,4425,29.0,1.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0
2026-04-16,102749,FINAL,Lincoln-Sudbury,4211,14.0,0.0,Belmont,4034,19.0,1.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,,,0
2026-04-17,93329,FINAL,Algonquin,4005,0.0,0.0,Weymouth,4425,30.0,1.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0
2026-04-17,93349,UPCOMING,Lincoln-Sudbury,4211,,,Belmont,4034,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,4:30 P.M.,,0
2026-04-17,93371,FINAL,Brookline,4059,48.0,1.0,Cambridge,4067,5.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,4:30 P.M.,,0
2026-04-30,93332,UPCOMING,Belmont,4034,,,Algonquin,4005,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0
2026-05-01,93374,UPCOMING,Brookline,4059,,,Lincoln-Sudbury,4211,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,4:30 P.M.,,0
2026-05-01,93396,UPCOMING,Weymouth,4425,,,Needham,4272,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,5:00 P.M.,,0
2026-05-07,93334,UPCOMING,Algonquin,4005,,,Needham,4272,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0
2026-05-07,93387,UPCOMING,Lincoln-Sudbury,4211,,,Cambridge,4067,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:30 P.M.,,0
2026-05-08,93355,UPCOMING,Belmont,4034,,,Brookline,4059,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0
2026-05-12,93388,UPCOMING,Needham,4272,,,Cambridge,4067,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:30 P.M.,,0
