date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2024-08-24,41755,FINAL,Chelmsford,4085,1.0,2.0,Belmont,4034,1.0,2.0,Merrimack Valley,Middlesex,,,0
2024-08-24,41795,FINAL,Algonquin,4005,0.0,0.0,Natick,4270,5.0,1.0,Mid-Wach,Bay State,,,0
2024-08-24,42043,FINAL,Westwood,4424,,,Newton South,4280,,,Tri-Valley,Dual County,,,0
2024-08-28,41255,FINAL,Keefe Tech,4191,1.0,2.0,Minuteman,4255,1.0,2.0,Colonial,Commonwealth,,,0
2024-08-28,42505,FINAL,Cambridge,4067,6.0,1.0,Watertown,4409,1.0,0.0,Dual County,Middlesex,,,0
2024-08-30,41586,FINAL,Hopkinton,4180,4.0,1.0,Franklin,4144,1.0,0.0,Tri-Valley,Hockomock,,,0
2024-08-30,41973,FINAL,Acton-Boxborough,4003,2.0,0.0,BB&N,4028,5.0,1.0,Dual County,ISL,,,0
2024-08-30,42941,FINAL,Milton,4252,2.0,1.0,Belmont,4034,1.0,0.0,Bay State,Middlesex,,,0
2024-08-31,41943,FINAL,Algonquin,4005,1.0,2.0,Mansfield,4230,1.0,2.0,Mid-Wach,Hockomock,,,0
2024-09-03,341,FINAL,Brookline,4059,0.0,0.0,Natick,4270,2.0,1.0,Bay State,Bay State,4:00 P.M.,,0
2024-09-03,372,FINAL,Newton North,4279,2.0,0.0,Framingham,4143,3.0,1.0,Bay State,Bay State,4:30 P.M.,,0
2024-09-03,466,FINAL,Milton,4252,1.0,0.0,Wellesley,4413,2.0,1.0,Bay State,Bay State,4:00 P.M.,,0
2024-09-03,501,FINAL,Braintree,4051,1.0,0.0,Walpole,4404,2.0,1.0,Bay State,Bay State,4:00 P.M.,,0
2024-09-03,620,FINAL,Central Catholic,4081,0.0,0.0,Weymouth,4425,2.0,1.0,Merrimack Valley,Bay State,7:00 P.M.,,0
2024-09-03,2868,FINAL,Nauset,4271,6.0,1.0,Sturgis West,4735,1.0,0.0,Cape &#38; Islands,Cape &#38; Islands,4:00 P.M.,,0
2024-09-03,2878,FINAL,Rising Tide Charter,4746,4.0,1.0,Dennis-Yarmouth,4111,0.0,0.0,Cape &#38; Islands,Cape &#38; Islands,4:00 P.M.,,0
2024-09-03,2901,FINAL,Falmouth,4134,2.0,1.0,Monomoy,4706,0.0,0.0,Cape &#38; Islands,Cape &#38; Islands,4:00 P.M.,,0
2024-09-03,3515,FINAL,Georgetown,4148,5.0,1.0,Rockport,4490,0.0,0.0,Cape Ann,Cape Ann,4:00 P.M.,,0
2024-09-03,3605,FINAL,Hamilton-Wenham,4163,2.0,1.0,Manchester Essex,4229,1.0,0.0,Cape Ann,Cape Ann,4:00 P.M.,,0
2024-09-03,3635,FINAL,Amesbury,4007,0.0,0.0,Ipswich,4190,3.0,1.0,Cape Ann,Cape Ann,4:00 P.M.,,0
