date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win
2026-03-26,93675,FINAL,Apponequet,4011,96.0,1,Bourne,4050,16.0,0,South Coast,South Coast,,,0
2026-03-31,94960,FINAL,Ashland,4015,43.0,0,Hopkinton,4180,93.0,1,Tri-Valley,Tri-Valley,,,0
2026-04-01,95437,FINAL,Masconomet,4236,99.0,1,Beverly,4038,37.0,0,Northeastern,Northeastern,,,0
2026-04-01,95440,FINAL,Masconomet,4236,120.0,1,Salem,4336,16.0,0,Northeastern,Northeastern,,,0
2026-04-01,95461,FINAL,Central Catholic,4081,102.0,1,Andover,4009,43.0,0,Merrimack Valley,Merrimack Valley,,,0
2026-04-01,95542,FINAL,Assabet,4016,15.0,0,Keefe Tech,4191,102.0,1,Independent,Independent,,,0
2026-04-04,97703,FINAL,Archbishop Williams,4012,98,1,Bishop Stang,4045,24,0,Catholic Central,Catholic Central,,,0
2026-04-04,97706,FINAL,Archbishop Williams,4012,114,1,Cristo Rey,4453,7,0,Catholic Central,Independent,,,0
2026-04-04,97709,FINAL,Archbishop Williams,4012,55,0,Cardinal Spellman,4075,80,1,Catholic Central,Catholic Central,,,0
2026-04-04,97712,FINAL,Bishop Stang,4045,16,0,Cardinal Spellman,4075,115,1,Catholic Central,Catholic Central,,,0
2026-04-04,97714,FINAL,Cristo Rey,4453,3,0,Cardinal Spellman,4075,127,1,Independent,Catholic Central,,,0
2026-04-04,97716,FINAL,Bishop Stang,4045,55,1,Cristo Rey,4453,11,0,Catholic Central,Independent,,,0
2026-04-06,98070,FINAL,Greater New Bedford,4156,82.33,1,West Bridgewater,4415,53.67,0,South Coast,South Coast,,,0
2026-04-07,98563,FINAL,Norton,4295,82,1,Millis,4251,45,0,Tri-Valley,Tri-Valley,,,0
2026-04-07,99110,FINAL,Whitman-Hanson,4427,64,0,Silver Lake,4349,72,1,Patriot,Patriot,,,0
2026-04-07,99113,FINAL,Hopkinton,4180,91,1,Holliston,4174,45,0,Tri-Valley,Tri-Valley,,,0
2026-04-08,99201,FINAL,Ipswich,4190,97.66,1,Essex Tech,4745,46.33,0,Cape Ann,Cape Ann,,,0
2026-04-08,99219,FINAL,Nashoba,4267,115,1,North Middlesex,4286,30,0,Mid-Wach,Mid-Wach,,,0
2026-04-08,99384,FINAL,Brookline,4059,81.5,1,Framingham,4143,54.5,0,Bay State,Bay State,,,0
2026-04-08,99387,FINAL,Brookline,4059,41,0,Natick,4270,95,1,Bay State,Bay State,,,0
2026-04-08,99390,FINAL,Framingham,4143,39,0,Natick,4270,96,1,Bay State,Bay State,,,0
2026-04-08,101510,FINAL,Weymouth,4425,69,1,Walpole,4404,62,0,Bay State,Bay State,,,0
2026-04-08,101511,FINAL,Weymouth,4425,72.5,1,Wellesley,4413,58.5,0,Bay State,Bay State,,,0
2026-04-08,101512,FINAL,Newton North,4279,94,1,Weymouth,4425,36,0,Bay State,Bay State,,,0
2026-04-08,101513,FINAL,Wellesley,4413,84,1,Walpole,4404,47,0,Bay State,Bay State,,,0
2026-04-08,101514,FINAL,Newton North,4279,84,1,Wellesley,4413,47,0,Bay State,Bay State,,,0
2026-04-10,99947,FINAL,Ashland,4015,57,0,Westwood,4424,79,1,Tri-Valley,Tri-Valley,,,0
