sport,league,conference,team,team_url
baseball,Bay State Conference,Carey,Brookline,https://www.bostonglobe.com/sports/high-schools/schedule/?school=brookline&sport=baseball
baseball,Bay State Conference,Carey,Framingham,https://www.bostonglobe.com/sports/high-schools/schedule/?school=framingham&sport=baseball
baseball,Bay State Conference,Carey,Natick,https://www.bostonglobe.com/sports/high-schools/schedule/?school=natick&sport=baseball
baseball,Bay State Conference,Carey,Newton North,https://www.bostonglobe.com/sports/high-schools/schedule/?school=newton-north&sport=baseball
baseball,Bay State Conference,Carey,Wellesley,https://www.bostonglobe.com/sports/high-schools/schedule/?school=wellesley&sport=baseball
baseball,Bay State Conference,Herget,Braintree,https://www.bostonglobe.com/sports/high-schools/schedule/?school=braintree&sport=baseball
baseball,Bay State Conference,Herget,Milton,https://www.bostonglobe.com/sports/high-schools/schedule/?school=milton&sport=baseball
baseball,Bay State Conference,Herget,Needham,https://www.bostonglobe.com/sports/high-schools/schedule/?school=needham&sport=baseball
baseball,Bay State Conference,Herget,Walpole,https://www.bostonglobe.com/sports/high-schools/schedule/?school=walpole&sport=baseball
baseball,Bay State Conference,Herget,Weymouth,https://www.bostonglobe.com/sports/high-schools/schedule/?school=weymouth&sport=baseball
baseball,Bi-County,,Gateway,https://www.bostonglobe.com/sports/high-schools/schedule/?school=gateway&sport=baseball
baseball,Bi-County,,Hampshire,https://www.bostonglobe.com/sports/high-schools/schedule/?school=hampshire&sport=baseball
baseball,Bi-County,,Monson,https://www.bostonglobe.com/sports/high-schools/schedule/?school=monson&sport=baseball
baseball,Bi-County,,Palmer,https://www.bostonglobe.com/sports/high-schools/schedule/?school=palmer&sport=baseball
baseball,Bi-County,,Southwick,https://www.bostonglobe.com/sports/high-schools/schedule/?school=southwick&sport=baseball
baseball,Bi-County,,Springfield Sci-Tech,https://www.bostonglobe.com/sports/high-schools/schedule/?school=springfield-sci-tech&sport=baseball
baseball,Bi-County,,Ware,https://www.bostonglobe.com/sports/high-schools/schedule/?school=ware&sport=baseball
baseball,Big Three,,Brockton,https://www.bostonglobe.com/sports/high-schools/schedule/?school=brockton&sport=baseball
baseball,Big Three,,Durfee,https://www.bostonglobe.com/sports/high-schools/schedule/?school=durfee&sport=baseball
baseball,Big Three,,New Bedford,https://www.bostonglobe.com/sports/high-schools/schedule/?school=new-bedford&sport=baseball
baseball,Boston City League,North,Boston International,https://www.bostonglobe.com/sports/high-schools/schedule/?school=boston-international&sport=baseball
baseball,Boston City League,North,East Boston,https://www.bostonglobe.com/sports/high-schools/schedule/?school=east-boston&sport=baseball
