team,elo
Madison Park,1702.697701570841
Pittsfield,1692.3424267186601
Hamilton-Wenham,1663.102725528183
BC High,1662.4787051664412
Gloucester,1659.8875956001295
Oxford,1654.1196444868397
Cambridge,1652.1562272097915
St. John Paul II,1652.132951527598
Shawsheen,1645.3821582750093
Gateway,1642.3848707987752
Hopkins,1641.1173028065002
Springfield Central,1641.0154361135365
Apponequet,1636.341425970215
Malden,1633.0833535326874
Mt. Everett,1632.2678738399613
Ayer Shirley,1631.7306432234934
North Reading,1631.0771064630862
Hudson,1630.0920332053117
St. Mark’s,1627.2632022847786
Westfield Tech,1623.278085602171
Greater Lowell,1620.0406177113664
Shepherd Hill,1616.3334358454324
Dennis-Yarmouth,1611.312202314874
Middleborough,1610.5175204568886
Bishop Feehan,1610.2041357611963
West Boylston,1609.3027775188896
St. Bernard’s,1608.273454998982
Medfield,1608.128096458471
East Longmeadow,1604.6697748750178
St. Mary’s,1600.9922883496104
Walpole,1600.0911746809195
Norfolk Aggie,1599.954144718415
Catholic Memorial,1596.5752005153067
Natick,1596.4590170224883
Nobles,1595.1952332923527
Franklin,1594.5192096524909
Abington,1593.7404959780831
St. John’s (Shrewsbury),1592.7448257624267
Rockland,1592.7191245889228
Arlington,1592.4712668617117
Westwood,1592.4074333604099
Falmouth,1592.041598188732
Taunton,1590.0735311254089
Winchester,1589.7448394741061
Grafton,1589.3110058209588
West Springfield,1588.8407661036572
Holyoke,1587.9111758427696
Ludlow,1586.4668138994775
Nantucket,1585.7350110226537
Wahconah,1584.2951794402184
Georgetown,1582.9631525188818
Barnstable,1582.4703428393261
Medway,1581.0357217913897
Hopkinton,1580.7219590300783
Hingham,1580.4671234939035
Bridgewater-Raynham,1580.4600606033005
Dighton-Rehoboth,1579.926543628066
Plymouth North,1579.8221064884144
Fairhaven,1579.7714436568867
Xaverian,1579.7014890937535
Nashoba,1579.6647932704898
Nipmuc,1579.1389843248107
Clinton,1578.6711506363843
Reading,1577.4621200867532
Blackstone Valley,1576.3231305078389
Lunenburg,1574.170064577372
Roxbury Prep,1572.4843409925497
Worcester South,1572.252634604226
King Philip,1571.6340517486044
Worcester Tech,1571.481485804697
Longmeadow,1571.420506327102
East Bridgewater,1571.2533143053595
Danvers,1569.3761829505997
Bishop Fenwick,1568.5239965909138
Worcester Academy,1566.8150692641034
Pingree,1565.9670081792528
Somerville,1565.1807054587293
St. Mary (Westfield),1565.1250587296702
Milton,1563.3488179728288
English High,1563.0124400825007
Greenfield,1562.8170509897213
Thayer,1561.4689007663956
Doherty,1560.3867661110287
Auburn,1560.3659527026728
Pentucket,1559.7557257739809
Chelmsford,1559.426949749101
Drury,1559.2600403122115
Latin Academy,1559.1565386145817
Lincoln-Sudbury,1558.0060914487885
Newton South,1557.9527418628143
Wakefield,1557.8053126234704
Masconomet,1555.48796791675
Blue Hills,1554.7973926402324
Marblehead,1553.294725706222
Mystic Valley,1551.5878220307086
Marianapolis,1551.0636248352178
Tri-County,1551.0388447451223
Hull,1550.628852624814
BB&N,1547.7948869058778
Hopedale,1544.335615794844
McCann Tech,1542.9669377678526
Swampscott,1542.943559891383
Lawrence Academy,1542.6784941624417
Leominster,1541.9342465293169
Maynard,1541.468253868708
Joseph Case,1540.7413302650805
Narragansett,1540.6439377232307
Amesbury,1539.7009226702994
Southbridge,1538.9361012038655
Batson Academy,1538.7965819427673
Roxbury Latin,1537.0452186585962
Braintree,1535.4083262270485
Brighton,1534.8936802251308
Weston,1534.6888126086192
Franklin County Tech,1533.9358296349408
Smith Voc.,1533.5903042939367
Hanover,1533.1145121090753
