team,elo
Hanover,1867.106415955045
Masconomet,1860.9486383128321
Central Catholic,1852.633002463881
New Bedford,1842.5535724225956
Andover,1829.5098357501288
Blue Hills,1820.9147167266187
Bridgewater-Raynham,1820.8276127117417
Newburyport,1818.77837802432
Needham,1813.6108721710332
Upper Cape,1806.0492708844904
Burlington,1803.6229328568288
Oliver Ames,1803.342246970974
Holbrook,1799.1467607690863
St. Mary’s,1798.9909494078927
Beverly,1793.4003106747948
Lynn Classical,1788.9071154219469
Salem,1786.101297795306
Attleboro,1779.49679613511
Mansfield,1764.6713857306368
Holland (Burke),1751.773424474836
Lexington,1748.7008040663175
Pioneer Charter I,1746.3083276674945
Rockland,1745.730855333254
Marshfield,1744.934176417188
Norwell,1744.5858294834277
Plymouth South,1744.34019726813
Cambridge,1735.9728954194707
Latin Academy,1734.072387866993
Wareham,1725.2932769077045
Medfield,1722.3946043286307
BC High,1721.986029892747
Abington,1719.6910216596416
Shepherd Hill,1714.8203067362556
Sutton,1713.6143218414227
Leicester,1713.1604346285196
Doherty,1711.5859544148025
Quincy,1710.4634059464763
Martha’s Vineyard,1709.2484336416103
Somerset Berkley,1707.3197875744431
Lincoln-Sudbury,1705.72000487559
Georgetown,1703.4539092866878
Avon,1701.956997550016
Swampscott,1698.4227934016455
Winchester,1697.9503340089227
Frontier,1697.5712835782865
Xaverian,1695.5248667284777
Acton-Boxborough,1694.450838581803
Arlington,1691.8991771824967
St. Mark’s,1689.754430070139
Archbishop Williams,1689.0793474958998
Old Rochester,1687.4252029096851
Prospect Hill,1683.3440232276641
Narragansett,1681.3323997399107
Weston,1679.329462072871
Northbridge,1678.5345498688876
Lawrence Academy,1677.5595508599554
Falmouth,1673.3123120491693
Phillips Andover,1671.8995883114621
Milton,1666.372746413334
Brockton,1663.1577934470783
Amherst-Pelham,1659.174101259838
New Mission,1658.7754783557825
Chelsea,1656.1180909634265
Pittsfield,1655.7668760997421
Holliston,1653.8778682518587
Somerville,1653.0901973516866
Clinton,1652.405363704883
Greater Lawrence,1652.119658899655
North Reading,1651.2790376190444
Bishop Feehan,1651.133975565862
Newton North,1650.2958622099309
Drury,1648.9556097131185
St. John’s (Shrewsbury),1648.8043382368294
Catholic Memorial,1648.5075213648897
Lynnfield,1645.3735041996258
Charlestown,1644.930860183765
Malden Catholic,1641.7885856772352
Westwood,1641.4429804964684
Old Colony,1641.0034514291006
Tewksbury,1640.631872667191
Hopedale,1640.1760804071316
Cathedral,1639.9092084903666
Algonquin,1638.0571164317007
Lynn Tech,1637.518186955934
Hollis Brookline (N.H.),1637.0916553445663
Monomoy,1634.9544110485713
Chicopee Comprehensive,1634.4313586375445
West Bridgewater,1634.0775967193872
Renaissance,1632.4134789158777
Lowell Catholic,1631.4475563362087
East Longmeadow,1631.1053047564042
Millbury,1626.5557918866537
St. George’s,1624.2214964955422
Tahanto,1623.9601833476304
David Prouty,1623.9094509052504
South Shore Voc-Tech,1623.342406926364
New Heights Charter,1622.5384005677968
Dover-Sherborn,1621.556688245723
Hull,1620.4378668273962
Barnstable,1620.2485629453442
Gardner,1619.5937102653068
Greenfield,1617.215553506226
Nantucket,1616.0856323199057
Easthampton,1614.8051165818138
KIPP,1611.1693433092264
Auburn,1609.693787280589
Austin Prep,1609.609655085499
Stoneham,1608.8290407437064
Tilton,1608.4396865685521
Chelmsford,1605.818760987622
Bancroft,1603.6514247454986
Wahconah,1603.0656353335921
Bethany Christian,1600.0877015529973
Pope Francis,1597.7397714875844
Newman School,1594.5630704374148
Fairhaven,1593.9312271322465
Baystate Academy,1592.6595650317156
Saugus,1592.6293825673254
Milton Academy,1590.0077205200562
Ipswich,1589.2014396338566
Deerfield,1589.0170229341431
Chapel Hill,1588.6749518834047
Rivers,1587.8507135486932
Nashoba,1586.561339026089
Marblehead,1585.929121812688
Argosy Collegiate,1584.7976482166268
Belchertown,1584.1138236099534
Brewster Academy,1584.0589902733982
South Shore Charter,1582.7043514777213
Assabet,1582.4491636975847
Everett,1578.9808482401206
Gann Academy,1578.5158813955459
Ware,1577.9694335394147
Whitman-Hanson,1575.6321364657992
Maynard,1573.050633946032
St. Dominic (N.Y.),1572.3622855739502
Oakmont,1572.3005431539411
McCann Tech,1570.9954691811797
Whitinsville Christian,1570.1087061191288
Pacific Rim Charter,1569.1690770959822
Middleborough,1568.367078899916
Smith Voc.,1565.7821433126337
Franklin County Tech,1565.1539669352142
Lowell,1565.014852816915
Grasso Tech (Conn).,1562.7868204183853
Southeastern,1559.096769627399
St. Francis Prep (N.Y.),1558.6202207953302
Pioneer Valley Chinese Immersion,1557.9713533468266
Brookline,1557.4025810333094
Foxborough,1556.7383975446019
Methuen,1554.9619631184767
Commerce,1554.3340168502436
Lunenburg,1554.0705579596936
Bishop Stang,1553.8578627620811
Monson,1552.7686176877821
Bristol-Plymouth,1552.2906880507703
Mt. Everett,1550.4582428495419
Scituate,1549.2671646944552
Batson Academy,1548.5503530307624
Southbridge,1548.219441111264
Gateway (Fla.),1548.0774871114415
Norwood,1547.8593330605286
Blackstone Valley,1547.7784006512172
Bromfield,1547.657929960458
Springfield Sci-Tech,1547.367130108916
Woburn,1547.3341498023249
Mystic Valley,1547.1846294839527
