date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2024-11-20,13374,FINAL,Kimball Union,4196,69.0,0.0,Worcester Academy,4441,70.0,1.0,Independent,Independent,,,0,2024,1500.0,1500.0,1488.1167585412315,1511.8832414587685,0.5714631174083814,0.4285368825916186,2.5,-1.0
2024-12-02,18236,UPCOMING,Marie Philip,4560,,,Commonwealth,4095,,,MBIL,MBIL,3:30 P.M.,,0,2024,1502.7555,1481.4665849191997,,,0.60117707001525,0.39882292998475,3.564445754040014,
2024-12-03,18094,UPCOMING,Austin Prep,4020,,,St. Mark’s,4372,,,Independent,ISL,5:00 P.M.,,0,2024,1686.940169134183,1591.3821960514206,,,0.6980225467009816,0.3019774532990184,7.277898654138118,
2024-12-04,18262,FINAL,Newman School,4277,80.0,1.0,Commonwealth,4095,41.0,0.0,MBIL,MBIL,3:30 P.M.,,0,2024,1500.0,1500.0,1547.4246270456676,1452.5753729543324,0.5714631174083814,0.4285368825916186,2.5,39.0
2024-12-04,18213,UPCOMING,Gann Academy,4541,,,Wheeler (R.I.),4426,,,MBIL,EIL,4:00 P.M.,,0,2024,1502.7555,1502.7555,,,0.5714631174083814,0.4285368825916186,2.5,
2024-12-04,18197,UPCOMING,Chapel Hill,4082,,,BU Academy,4063,,,MBIL,MBIL,4:00 P.M.,,0,2024,1544.9979578828563,1476.1305234918975,,,0.6646879198147352,0.3353120801852648,5.94337171954794,
2024-12-04,18152,UPCOMING,Rivers,4330,,,Brewster Academy,4052,,,ISL,Independent,4:00 P.M.,,0,2024,1557.6438339719618,1550.7932935798763,,,0.5810920609785404,0.4189079390214596,2.8425270196042787,
2024-12-04,18115,UPCOMING,Holderness,4173,,,Groton,4544,,,Independent,ISL,4:00 P.M.,,0,2024,1512.0179129377098,1442.311370680479,,,0.6657636275507138,0.33423637244928617,5.985327112861535,
2024-12-04,18225,FINAL,Landmark,4200,53.0,1.0,Covenant Christian,4629,50.0,0.0,MBIL,MBIL,5:15 P.M.,1.0,0,2024,1500.0,1500.0,1517.8223479160597,1482.1776520839403,0.5714631174083814,0.4285368825916186,2.5,3.0
2024-12-04,19340,FINAL,Proctor,4321,56.0,0.0,Brooks,4060,61.0,1.0,Independent,ISL,3:00 P.M.,,0,2024,1500.0,1500.0,1469.2822664420685,1530.7177335579315,0.5714631174083814,0.4285368825916186,2.5,-5.0
2024-12-06,18123,FINAL,Middlesex,4248,67.0,1.0,Pingree,4312,64.0,0.0,ISL,EIL,5:30 P.M.,,0,2024,1500.0,1500.0,1517.8223479160597,1482.1776520839403,0.5714631174083814,0.4285368825916186,2.5,3.0
2024-12-06,16310,FINAL,Brimmer & May,4056,73.0,1.0,Nobles,4282,63.0,0.0,MBIL,ISL,,,0,2024,1500.0,1500.0,1530.8275969495858,1469.1724030504142,0.5714631174083814,0.4285368825916186,2.5,10.0
2024-12-06,16306,FINAL,Lexington Christian,4210,67.0,1.0,Berwick,4037,46.0,0.0,EIL,EIL,,,0,2024,1500.0,1500.0,1539.7387709076156,1460.2612290923844,0.5714631174083814,0.4285368825916186,2.5,21.0
2024-12-06,15677,UPCOMING,Walpole,4404,,,Medfield,4241,,,Bay State,Tri-Valley,4:15 P.M.,,0,2024,1527.1490772074844,1655.3631044967408,,,0.38930462472227767,0.6106953752777223,-3.910701364462818,
