team,elo
Braintree,1684.2360449893015
Hanover,1683.2973338021718
Watertown,1681.3654811684314
Beaver Country Day,1673.7868674944607
Norwood,1669.026730547536
Georgetown,1666.4235219664533
Assabet,1661.6613468074831
Millis,1661.4496415556227
St. Mary’s,1658.7811533057418
Malden Catholic,1656.0064331855738
Sturgis East,1643.972170373818
Rockland,1636.47118997888
Arlington Catholic,1633.3276132554045
Framingham,1627.2659741514142
Methuen,1627.0068631026768
Tewksbury,1624.8747592682353
Haverhill,1622.062676394315
Salem,1620.8404933954346
Westford,1619.5004276136992
Barnstable,1614.5638640757238
Lawrence,1613.982130147086
Durfee,1613.1081274654089
Whitman-Hanson,1611.390796405367
Dracut,1610.938054293169
Milford,1608.490112188272
Acton-Boxborough,1607.8575093453155
Ipswich,1605.5741515010832
St. John’s (Shrewsbury),1605.4778686748023
Dighton-Rehoboth,1604.831258482875
Fairhaven,1604.200970555061
Milton,1602.8904285494602
Woburn,1587.530352607785
North Reading,1587.3581864517664
Holbrook/Avon,1577.7873216591506
St. Mark’s,1577.4353825652815
Lawrence Academy,1576.6444863428326
Revere,1575.9115150154116
North Middlesex,1573.2079954909786
Taunton,1572.2387812960383
Cardinal Spellman,1571.994897487781
Wakefield,1571.804370943928
Burlington,1569.0152911705406
Stoughton,1568.5199515562622
North Attleborough,1565.55173970656
King Philip,1565.0374558596473
Lynn Classical,1564.4807801284137
Cohasset,1564.2285520601533
Dedham,1564.0072169566113
Bristol Aggie,1562.7529764922672
Chelmsford,1560.7361185020204
Nashoba Valley Tech,1557.659054292187
Joseph Case,1556.1536932335996
Sutton,1555.9635166970388
Pentucket,1554.0197310107978
Marlborough,1553.5948282036545
Springfield Central,1553.234648341596
Lunenburg,1553.1861839186502
Bishop Feehan,1553.1772714108886
Apponequet,1552.179111009274
Needham,1551.6041665364066
Lynnfield,1550.1574978684766
Norfolk Aggie,1549.3857999378743
Everett,1545.2386498907515
Cape Cod Academy,1544.3391362401921
Whittier,1543.8094361449548
Sturgis West,1542.6471866916056
Fitchburg,1542.0142496510966
University Park/Claremont,1541.9484347310472
Thayer,1539.5645215885045
Winthrop,1538.1292909754598
Medford,1536.5330901444709
Southbridge,1536.0926417842388
Greater New Bedford,1535.7624398219696
Westwood,1535.7391663852684
Walpole,1535.2037540454774
David Prouty,1534.8516267477507
Westfield Tech,1534.1316321996617
Bedford,1533.5952031735521
Wayland,1532.2637886488776
Upper Cape,1530.853096202269
St. John Paul II,1529.8939961055
South Lancaster,1529.4274354542058
Sizer,1529.4027503617556
Agawam,1527.6790386463492
Wilmington,1527.3788587189356
Waltham,1526.473891357837
Quabbin,1525.7630379140653
Groton,1525.1076867388558
Mystic Valley,1524.9461031486828
Tahanto,1524.559609014659
Putnam,1523.8482762202182
Chelsea,1523.592392671539
Bartlett,1523.4363683558777
Blackstone-Millville,1523.1657164686571
Shepherd Hill,1522.756629948798
Gateway,1521.9976862542767
Quincy/North Quincy,1521.7530891632425
Wellesley,1521.4022193710682
Abington,1521.3362289091856
Frontier,1521.2427412145137
Oakmont,1520.784179966841
Leominster,1520.66695965564
Plymouth North,1520.634891337552
Swampscott,1520.4523093560879
Sandwich,1519.7160322894988
Westborough,1519.4361423661178
Minuteman,1519.4361423661178
Scituate,1518.9930084334994
Maynard,1518.7586612725236
Canton,1517.7813870634739
Brooks,1516.594008270669
Dennis-Yarmouth,1515.851680329775
Chicopee Comprehensive,1514.7561779692787
Foxborough,1513.9236170996064
Falmouth Academy,1512.4107395891115
Marblehead,1511.9345525837725
Tyngsborough,1511.6035226343165
Bellingham,1509.9433051669434
South Shore Voc-Tech,1509.3616469332073
Belmont,1508.9949292974336
Brockton,1508.9914251904333
Doherty,1508.8831503606439
Worcester Tech,1508.089887090841
Blackstone Valley,1505.7299260615637
Bristol-Plymouth,1505.182053133807
Triton,1504.3355480012224
Hampshire,1504.194182101601
New Bedford,1503.8244300198014
Rising Tide Charter,1503.2155420177971
Greater Lowell,1502.7555
Amherst-Pelham,1502.7555
Notre Dame (Tyngsborough),1502.7555
Riverview School,1502.7555
Greater Lawrence,1502.7555
St. Sebastian’s,1502.7555
Longmeadow,1502.7555
Watkinson,1502.7555
Wachusett,1502.7555
Westfield,1502.7555
Bridgewater-Raynham,1502.7555
Saugus,1502.7555
Tabor,1502.7555
Minnechaug,1502.7555
Weymouth,1502.3982634778406
East Bridgewater,1501.9121302522035
Ashland,1500.9326326713806
Carver,1500.634876071389
Malden,1499.985334342985
Auburn,1499.8525017723807
St. Paul,1498.7552740102403
Milton Academy,1498.4149896406623
Norton,1496.9353008851658
Old Rochester,1495.9790467559005
Lexington Christian,1495.6481898327202
Diman,1494.3364170919342
Berwick,1493.046617662007
Stoneham,1491.1414463208998
Chicopee,1490.7548220307212
Mashpee,1490.7499636642856
Amesbury,1488.3077413910794
Bancroft,1487.719783063041
Bromfield,1487.3611338462
Middlesex,1486.8669745602372
Landmark,1486.7545960409616
Ayer Shirley,1486.7523387274764
Algonquin,1486.0748576338822
Danvers,1485.692258093797
North Quincy/Quincy,1485.4105637922225
Tantasqua,1484.9776298717418
East Longmeadow,1484.3175663217437
Martha’s Vineyard,1482.899692074232
Holliston,1482.7571269519028
Shrewsbury,1482.7543700512022
McCann Tech,1482.0746316441225
Nobles,1481.9977352183973
Xaverian,1481.2617414812605
Bay Path,1481.0190559031532
Medfield,1480.2963250532666
Uxbridge,1479.90412742736
Marshfield,1479.901453114113
Pope Francis,1479.3798197798576
Boston Latin,1477.103336703201
Smith Voc.,1476.2678068059672
Clinton,1476.0835645457942
Melrose,1475.9139947734475
Springfield International,1475.177118811689
Monty Tech,1474.710581978083
Duxbury,1474.506635145014
Tri-County,1474.1313147173685
Winchester,1472.1172252714618
Hingham,1469.8791441307453
Beverly,1469.4941738230764
Medway,1469.088361379442
Groton-Dunstable,1466.815360377519
Catholic Memorial,1465.4077977435998
Bourne,1465.308776829205
Old Colony,1464.9071062449946
Gardner,1461.9407541485587
Franklin,1460.9544959506056
Lincoln-Sudbury,1460.6740958313499
Monomoy,1460.3706332991467
Keefe Tech,1459.8088224729115
Lynn English,1459.591032556038
West Bridgewater,1458.9615684113362
Douglas,1457.1685757641471
Mansfield,1457.1037884553116
Hudson,1453.1049249423024
Northampton,1452.2763516584039
Littleton,1449.996186307763
Cambridge,1449.953077967293
Roxbury Latin,1449.061143772391
Cape Cod Tech,1448.167759050311
Peabody,1446.8517450543573
Masconomet,1446.3572123858833
Natick,1444.523318061531
Weston,1444.3412801165323
Silver Lake,1442.5120441993406
Portsmouth Abbey,1442.1082247459228
BB&N,1441.9728837732048
Wheeler (R.I.),1440.2242211608868
Attleboro,1439.6964748971373
Middleborough,1436.9873818014362
Belmont Hill,1436.6506875289635
Arlington,1435.8980303572905
Northeast,1435.6822867281926
Parker Charter,1430.7190542732549
Essex Tech,1429.9632621266026
BC High,1427.90554726584
Plymouth South,1427.3844638210926
Manchester Essex/Rockport,1424.544547750346
Shawsheen,1422.00798901985
Andover,1419.7529469149633
Falmouth,1419.2587251978118
Central Catholic,1415.4202138411542
Southeastern,1412.211607817211
Bishop Stang,1411.4970466174916
Newton South,1404.225885088181
Dartmouth,1403.4650018673722
Lexington,1399.5037486858544
Sharon,1395.5251166799721
Bishop Fenwick,1393.8409966967117
Somerset Berkley,1392.660975749111
Advanced Math and Science,1387.6043023511006
Archbishop Williams,1384.6180044939317
Nauset,1383.5252927424308
Billerica,1381.9904594623572
St. John’s Prep,1380.4736116489237
Newburyport,1379.8969057654258
Pembroke,1379.694540987771
Nashoba,1376.0337189936874
Seekonk,1373.2750511546171
Norwell,1369.9825071907735
Oliver Ames,1368.2430792471137
Nantucket,1365.6534790450496
Concord-Carlisle,1352.8799493667989
Dover-Sherborn,1350.175020633825
Reading,1340.295290927312
North Andover,1335.6829241895966
Hamilton-Wenham,1329.4304699164936
Lowell,1317.8633538844258
Somerville,1316.7112052503899
Hopkinton,1307.5352354558324
Newton North,1279.7500448356584
Brookline,1278.2807859818422
