date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2024-09-03,40797,FINAL,Westfield Tech,4420,29.0,0.0,Smith Voc.,4539,26.0,1.0,Pioneer,Pioneer,,,0,2024,1500.0,1500.0,1517.8223479160597,1482.1776520839403,0.5714631174083814,0.4285368825916186,5.0,3.0
2024-09-03,5150,UPCOMING,Chicopee Comprehensive,4089,,,Westfield,4419,,,Valley,Valley,3:45 P.M.,,0,2024,1519.56145965564,1501.65,,,0.5965065064440404,0.40349349355595965,6.791145965563987,
2024-09-04,5185,FINAL,Framingham,4143,40.0,0.0,Walpole,4404,19.0,1.0,Bay State,Bay State,4:00 P.M.,,0,2024,1500.0,1500.0,1539.7387709076156,1460.2612290923844,0.5714631174083814,0.4285368825916186,5.0,21.0
2024-09-04,5164,UPCOMING,Durfee,4122,,,Diman,4115,,,Big Three,Mayflower,4:00 P.M.,,0,2024,1607.6156131438786,1489.084204614827,,,0.7251483530696455,0.27485164693035447,16.853140852905153,
2024-09-04,43857,FINAL,Nauset,4271,18.0,1.0,Sturgis East,4456,44.0,0.0,Cape &#38; Islands,Cape &#38; Islands,,,0,2024,1500.0,1500.0,1443.4965237025108,1556.5034762974892,0.5714631174083814,0.4285368825916186,5.0,-26.0
2024-09-04,43839,FINAL,Bellingham,4033,34.0,0.0,Douglas,4506,21.0,1.0,Tri-Valley,Dual Valley,,,0,2024,1500.0,1500.0,1533.9280020304166,1466.0719979695834,0.5714631174083814,0.4285368825916186,5.0,13.0
2024-09-04,43752,FINAL,West Bridgewater,4415,0.0,2.0,South Shore Voc-Tech,4356,0.0,2.0,South Coast,Mayflower,,,0,2024,1500.0,1500.0,1500.0,1500.0,0.5714631174083814,0.4285368825916186,5.0,0.0
2024-09-04,41079,FINAL,Hampshire,4518,50.0,0.0,McCann Tech,4240,15.0,1.0,Pioneer,Pioneer,,,0,2024,1500.0,1500.0,1546.0701010378202,1453.9298989621798,0.5714631174083814,0.4285368825916186,5.0,35.0
2024-09-04,8685,FINAL,Salem,4336,45.0,0.0,Marblehead,4231,15.0,1.0,Northeastern,Northeastern,4:00 P.M.,,0,2024,1500.0,1500.0,1544.1477051440872,1455.8522948559128,0.5714631174083814,0.4285368825916186,5.0,30.0
2024-09-04,8681,FINAL,Swampscott,4383,34.0,0.0,Beverly,4038,23.0,1.0,Northeastern,Northeastern,,,0,2024,1500.0,1482.1776520839403,1530.0885143517237,1452.0891377322166,0.5963830357666131,0.4036169642333869,6.78223479160597,11.0
2024-09-04,5078,FINAL,Braintree,4051,45.0,0.0,Natick,4270,15.0,1.0,Bay State,Bay State,4:00 P.M.,,0,2024,1500.0,1500.0,1544.1477051440872,1455.8522948559128,0.5714631174083814,0.4285368825916186,5.0,30.0
2024-09-04,7494,FINAL,Parker Charter,4483,15.0,1.0,Bay Path,4027,50.0,0.0,Colonial,Colonial,3:30 P.M.,,0,2024,1500.0,1500.0,1438.564532884137,1561.435467115863,0.5714631174083814,0.4285368825916186,5.0,-35.0
2024-09-04,8680,FINAL,Danvers,4103,31.0,0.0,Beverly,4038,28.0,1.0,Northeastern,Northeastern,,,0,2024,1500.0,1500.0,1517.8223479160597,1482.1776520839403,0.5714631174083814,0.4285368825916186,5.0,3.0
2024-09-04,7197,FINAL,Newton North,4279,15.0,1.0,Milton,4252,50.0,0.0,Bay State,Bay State,4:00 P.M.,,0,2024,1500.0,1500.0,1438.564532884137,1561.435467115863,0.5714631174083814,0.4285368825916186,5.0,-35.0
2024-09-04,7139,FINAL,Wellesley,4413,36.0,0.0,Natick,4270,19.0,1.0,Bay State,Bay State,4:00 P.M.,,0,2024,1500.0,1455.8522948559128,1531.8864895470106,1423.9658053089022,0.632267724040453,0.36773227595954705,9.414770514408724,17.0
