team,elo
Millis,1854.1976576951406
Quincy,1793.6159325251117
Malden Catholic,1739.4490459063184
Shawsheen,1715.4225899527833
Newburyport,1713.2568371019574
Wellesley,1706.1560862933275
Concord-Carlisle,1701.5772364986512
Rising Tide Charter,1697.2692762183626
Springfield Central,1685.2425266734374
Masconomet,1670.9478066823378
Martha’s Vineyard,1669.2015333996228
Norwell,1664.783189336294
Ashland,1664.4172482960992
Central Catholic,1662.3639713175085
Bishop Feehan,1653.189904959274
Bartlett,1646.7008454965182
Worcester Tech,1642.5482510430247
Sturgis East,1640.4521011561449
Doherty,1640.449478167676
Wakefield,1637.9757751863197
Chelmsford,1634.9300882881948
Plymouth South,1632.938787104031
Dedham,1632.8008951666304
Newton South,1630.7130875859298
Springfield International,1627.8428593822464
Westford,1624.882264796588
Belmont,1624.4652467105768
Dennis-Yarmouth,1623.8597782990428
Plymouth North,1623.5010294730332
Lincoln-Sudbury,1623.3984678887978
Marblehead,1621.816363990523
Millbury,1617.6953702559683
Chicopee,1617.0203562995785
Beverly,1616.8141123834446
Sandwich,1616.2276699074164
Uxbridge,1612.0393656805998
Attleboro,1610.9736946060186
Arlington,1609.4321750372708
Stoughton,1606.4685798517066
Taunton,1605.4986904536684
Turners Falls,1603.2914054533378
Braintree,1602.029868103876
West Springfield,1599.489020967134
Brookline,1596.2571231390987
Keefe Tech,1593.383616696288
Westport,1593.3019293211703
Rockport,1591.7000911005725
Monson,1590.7375138064015
Southwick,1589.618676709836
Reading,1586.1871362917645
Silver Lake,1580.290648827026
Fairhaven,1575.9250126882384
Lunenburg,1574.993814174408
David Prouty,1574.6541353528817
Upper Cape,1573.3022112015706
East Bridgewater,1571.6656262431782
Joseph Case,1570.8384085395721
St. Mary’s,1567.9513418052877
Blue Hills,1567.5413419712295
Abington,1567.514520579289
Seekonk,1567.1251732993362
Groton-Dunstable,1565.2704759633846
Holliston,1565.2099286074192
Ipswich,1564.5106301984092
North Middlesex,1563.8124852682815
Gloucester,1563.4862986460164
Hamilton-Wenham,1563.268812103833
Amherst-Pelham,1563.1134674215314
Hopkins,1563.0323343514194
Douglas,1563.020200206655
Cape Cod Tech,1561.8674353219856
Bellingham,1561.865073085363
Monument Mtn.,1560.2994776351875
Fitchburg,1559.6644564694186
Quabbin,1559.062672046603
Rockland,1556.1974798222911
Hudson,1555.61678874546
Manchester Essex,1555.400804297845
Needham,1555.3460917532286
Old Colony,1554.7900346011295
Assabet,1554.315620657568
Northampton,1553.931546000881
Easthampton,1553.5497839450522
Barnstable,1553.2589402415651
Dartmouth,1552.784254026057
North Quincy,1552.7783529540322
Weston,1552.3932602046496
