team,elo
Cardinal Spellman,1662.2537673779614
Attleboro,1660.87154146154
St. Mary’s,1643.9753213982383
Stoughton,1642.70417406721
Mansfield,1635.074453481144
Franklin,1634.6877250922646
Hanover,1620.8268142612965
Walpole,1615.814732287412
Brookline,1597.9059190292267
Hingham,1595.6186058853755
Weymouth,1585.4124414464377
Old Rochester,1583.8234587986487
Amesbury,1570.194353864688
Joseph Case,1567.7706048208051
Snowden/Quincy Upper,1565.563210773451
Newton North,1564.8165987364414
Holliston,1561.6274109904673
Archbishop Williams,1558.8209063377292
Lowell,1557.6614130521855
Bishop Feehan,1549.5928949849035
Oliver Ames,1547.2770793986328
Lynnfield,1541.896204633267
Norton,1531.2491309486356
Marshfield,1531.1444918873694
Marblehead,1530.347532201445
Southeastern,1526.188747824227
Diman,1525.986232090973
Nauset,1524.848925573204
Pentucket,1523.446605171578
Seekonk,1520.2171278102778
Somerset Berkley,1517.6800213610782
Natick,1511.2916373594712
Belmont,1502.7555
Woburn,1502.7555
Hopkinton,1502.7555
Watertown,1502.7555
Wilmington,1502.7555
North Reading,1502.7555
Bourne,1502.7555
Greater New Bedford,1502.7555
Wakefield,1502.7555
Lexington,1502.7555
Westwood,1502.7555
Arlington,1502.7555
Melrose,1502.7555
Dennis-Yarmouth,1502.7555
Middleborough,1502.7555
Newburyport,1502.7555
Nantucket,1502.7555
Norwell,1502.7555
Carver,1502.7555
St. John Paul II,1502.7555
Falmouth,1502.7555
Concord-Carlisle,1502.7555
Hull,1502.7555
Randolph,1502.7555
Cambridge,1502.7555
Dedham,1502.7555
Weston,1502.7555
Waltham,1502.7555
Millis,1502.7555
Hamilton-Wenham,1502.7555
Bellingham,1502.7555
Medway,1502.7555
Wayland,1502.7555
Monomoy,1502.7555
Rockland,1502.7555
Boston Latin,1502.7555
Andover,1502.7555
Dover-Sherborn,1502.7555
Burlington,1502.7555
Bedford,1502.7555
Reading,1502.7555
Lincoln-Sudbury,1502.7555
Sandwich,1502.7555
Winchester,1502.7555
Newton South,1502.7555
Stoneham,1502.7555
Essex Tech,1502.7555
Westford,1502.7555
Ashland,1502.7555
Tri-County,1484.3015526318934
Triton,1482.0643948284219
Martha’s Vineyard,1480.662074426796
Wareham,1479.5247679090269
North Andover,1476.238578835184
Peabody,1475.163467798555
Billerica,1474.3665081126308
Medfield,1474.2618690513643
Milford,1472.5714375820392
Dighton-Rehoboth,1468.3960215607508
Manchester Essex,1463.614795366733
King Philip,1463.3003075834022
West Bridgewater,1461.9173192375195
Fairhaven,1461.116948131398
Milton,1458.155182505335
Arlington Catholic,1451.0747385289028
Bishop Stang,1450.938804558976
Silver Lake,1447.6237187400266
Scituate,1445.6366943394212
Norwood,1443.8835890095327
North Quincy/Quincy,1441.8029913992823
Needham,1441.718444750094
Apponequet,1441.1224982795225
Boston International,1439.947789226549
Whitman-Hanson,1436.635183487229
Wellesley,1436.0880884766084
Ipswich,1435.3166461353119
Taunton,1429.4121252688167
Braintree,1413.2297598822042
Canton,1409.7204230516195
North Attleborough,1408.5620670093433
Framingham,1403.1221955267702
Foxborough,1373.1948029920504
Bishop Fenwick,1371.3564211984517
Sharon,1355.6898630119379
Cristo Rey,1329.051845158717
