team,elo
Mansfield,1804.6499086012984
Shawsheen,1759.8594348871945
Dracut,1739.9592432168806
Bishop Stang,1722.77626565191
Winchester,1721.6791777306225
Medfield,1712.1519670317346
Cohasset,1710.786462997899
Nantucket,1704.575082286054
Bourne/Mashpee,1699.4661989548024
St. John’s Prep,1697.505196552354
Wakefield,1695.5141224524082
Tewksbury,1688.7688176341248
Winthrop,1687.4505756781102
Marshfield,1684.7644656163295
Acton-Boxborough,1680.0686903656447
King Philip,1677.8053259297762
Billerica,1675.4998198479054
Newburyport,1675.2816429933803
Falmouth,1673.810445479518
Walpole,1672.7826901875537
Weston,1670.238602716747
Reading,1669.8219209163258
Natick,1669.0420936205667
Tri-County,1668.4496996760968
Southeastern,1663.3866732946383
Lincoln-Sudbury,1658.3955139459206
Oakmont,1654.5488340675765
Westwood,1651.1493022459128
Scituate,1650.0729925210785
Newton North,1647.7047064239762
Tabor,1647.1631881977223
Marblehead,1644.3771241789361
BC High,1642.0572923856732
Canton,1633.7168382082402
Nobles,1628.681961076223
Norwell,1626.2329956178783
St. John’s (Shrewsbury),1625.3601378026822
Milford,1623.333076558275
Hudson,1621.4066789059193
Manchester Essex,1620.0684279406057
Upper Cape,1619.5039662911336
Hingham,1615.115181260454
Lunenburg,1610.5099799116633
St. John Paul II,1609.21975042849
St. Sebastian’s,1608.906179156815
Milton,1608.3765486250686
Pope Francis,1599.2671668100654
Ipswich,1598.7822801592192
Dover-Sherborn,1597.5546495857382
Dennis-Yarmouth,1597.147148202418
Cape Cod Tech,1596.6844131669793
Bishop Feehan,1595.043594787397
Longmeadow,1589.9425502837973
Milton Academy,1588.560114611708
Minnechaug,1588.2527833293213
Abington,1587.9918459102844
Hopkinton,1586.303305772678
Melrose,1584.2184752155463
Medford,1579.785758659642
Concord-Carlisle,1579.1702646307153
Newton South,1577.1725412933297
Pembroke,1573.0371933080442
Wachusett,1569.473538293915
Foxborough,1568.5421426562875
Mt. Greylock,1567.0940758450151
St. Paul’s,1565.0810532992432
Northfield Mt. Hermon,1564.7694378685505
Monson,1564.5306882836812
Hamilton-Wenham,1563.5843229663599
Norwood,1563.1270214439282
St. Mary’s,1563.0407391576277
Hanover,1562.5961855248117
Andover,1561.4425597697077
Belmont Hill,1558.208790010112
Northeast,1556.6534769059595
Berwick,1555.0884866514875
Archbishop Williams,1554.3345399832995
Westborough,1554.266778828251
Leominster,1553.594852746656
Chaminade (N.Y.),1548.7309629915
East Longmeadow,1546.7534606773675
Holderness,1546.2717627649756
Bridgewater-Raynham,1545.1032562475705
Belmont,1542.2700367206803
Littleton,1541.8372332720546
Sharon,1541.1925035219608
South Shore Voc-Tech,1539.185623097092
Monty Tech,1537.8231754043286
Lowell,1537.757368673737
St. George’s,1536.7075037265756
Pentucket,1535.9379935662673
Minuteman,1535.0176497051111
St. Bernard’s,1534.0828872761579
Silver Lake,1533.488660005971
Middlesex,1533.4489713042394
Burlington,1533.3930622108157
Landmark,1533.3604763992728
Bedford (N.H.),1531.8902288831162
Portsmouth Abbey,1531.2982500763546
Saugus,1530.936187797518
Chicopee Comprehensive,1530.7177335579315
Advanced Math and Science,1526.0070686098102
Wilmington,1525.8977554464823
Niskayuna (N.Y.),1525.7527139643807
Exeter (N.H.),1525.1131137486107
Greenwich (Conn.),1522.1939358124982
Nipmuc,1522.0276409316054
Pinkerton (N.H.),1520.169905455949
Agawam,1519.5587324159785
Providence Country Day,1518.246757577531
Cushing,1518.2458306398173
Duxbury,1517.7512480741245
Governor’s Academy,1516.7465389315662
Holliston,1515.608800539953
Xaverian,1514.5280407175096
Staples (Conn.),1513.9503571361936
Shrewsbury,1513.6756672401748
South Hadley,1513.5841146757916
North Middlesex,1512.3667190777564
Merrimack (N.H.),1511.315041186599
Barrington (R.I.),1510.5142742142937
Bergen Catholic (N.J.),1509.874220830464
East Bridgewater,1509.414355846654
North Attleborough,1508.5631344398014
Danvers,1508.4084868081268
Grafton,1507.4726946837377
Beverly,1506.2621593615172
Haverhill,1505.664385483021
Plymouth North,1504.2571859526768
Tantasqua,1503.9744645951034
Greater Lowell,1502.4967169859226
Westford,1502.3806162165354
Pingree,1501.464991091155
Latin Academy,1500.0
Deerfield,1500.0
St. Anthony’s (N.Y.),1500.0
Glastonbury (Conn.),1500.0
Shaker (N.Y.),1500.0
Bourne,1500.0
Summit (N.J.),1500.0
Conard (Conn.),1500.0
Everett,1500.0
Mashpee,1500.0
Thayer,1495.9710686144545
Masconomet,1495.4285809037283
Fairhaven,1493.8773243159592
Ward Melville (N.Y.),1491.8625639716747
North Reading,1491.0824393585967
Blackstone Valley,1490.7420499287591
Sandwich,1490.6650134942902
Londonderry (N.H.),1490.5629382136403
Lenox,1490.4391106566216
Pittsfield,1488.8428164616876
Taft,1488.1167585412315
Wahconah,1487.4391637021497
Apponequet,1486.188896933432
Avon Old Farms,1485.8761234391197
Rivers,1485.8302009787842
Old Rochester,1485.1200609433793
Greater New Bedford,1482.7974147986688
Roxbury Latin,1482.4184429210325
Cape Elizabeth (Maine),1482.2202713131276
La Salle (R.I.),1481.9679560847537
Falmouth Academy,1480.1490438113099
Gloucester,1479.7856660308587
Falmouth (Maine),1478.9985227253899
Arlington Catholic,1476.1826260983705
Bishop Guertin (N.H.),1475.8594238498488
Hoosac Valley,1474.9239062470651
Smith Voc.,1474.1599772689117
Lawrence Academy,1473.804724103973
Wellesley,1472.594668452355
Bishop Hendricken (R.I.),1471.9408868013263
Austin Prep,1471.8644142087244
Belchertown,1470.565331889358
Chelmsford,1469.4355469244495
Hyde,1468.6055529025468
Gould,1467.1248330275416
Bancroft,1466.6395236007272
Kents Hill,1463.7261490227647
Central Catholic,1463.3366932031947
Brewster Academy,1462.9637084724104
Waltham,1461.7394119749554
West Springfield,1461.6386173905182
Vermont Academy,1461.3801594757606
Rockland,1460.9784464210122
Amherst-Pelham,1460.5100735239264
Nauset,1459.19883085258
Lexington,1457.1682947990112
Dexter Southfield,1456.018181922685
Moses Brown (R.I.),1455.9183194374862
Martha’s Vineyard,1455.8127433482216
Assabet,1455.0019267430146
Stoneham,1454.5807107931505
Somerville,1453.1916389894718
Springfield Central,1451.3561173421597
