team,elo
BC High,1662.932496455849
Hingham/Norwell,1646.5445259249932
Milton,1633.027646663417
Algonquin/Westboro,1629.6733733231254
Blue Hills,1603.8400624458993
Malden Catholic,1564.8703655691565
Xaverian,1560.8441120401585
Hanover,1559.4141356628747
Brookline,1525.04514793109
Braintree,1500.0
St. John’s Prep,1466.1945483860663
Belmont,1460.2815699736539
Chelmsford,1438.4966688353556
Marshfield/SST,1423.1027777305462
Burncoat,1412.2071593576172
Cambridge,1407.1869533586955
Weymouth,1363.0725912634061
Catholic Memorial,1337.2707453070987
Lincoln-Sudbury,1305.9951197709968
