date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2026-04-01,93128,FINAL,Milton,4252,45.0,1.0,Blue Hills,4047,22.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0,2026,1500.0,1500.0,1540.8573984349698,1459.1426015650302,0.5714631174083814,0.4285368825916186,2.0,23.0
2026-04-01,93181,UPCOMING,Algonquin/Westboro,4005,,,Hanover,4164,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:30 P.M.,,0,2026,1536.0616300407844,1537.6762803352208,,,0.5691854200268481,0.43081457997315187,1.9354139882225445,
2026-04-02,93096,FINAL,Weymouth,4425,12.0,0.0,BC High,4029,65.0,1.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,5:30 P.M.,,0,2026,1500.0,1500.0,1431.6132822437423,1568.3867177562577,0.5714631174083814,0.4285368825916186,2.0,-53.0
2026-04-02,93228,FINAL,Brookline,4059,15.0,1.0,Lincoln-Sudbury,4211,12.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,4:30 P.M.,,0,2026,1500.0,1500.0,1517.8223479160597,1482.1776520839403,0.5714631174083814,0.4285368825916186,2.0,3.0
2026-04-02,93289,FINAL,Hingham/Norwell,4171,28.0,1.0,Chelmsford,4085,20.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,5:00 P.M.,,0,2026,1500.0,1500.0,1528.2477531217605,1471.7522468782395,0.5714631174083814,0.4285368825916186,2.0,8.0
2026-04-02,93108,POSTPONED,Xaverian,4446,,,Belmont,4034,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:30 P.M.,,0,2026,1523.0370591713397,1428.6077523325184,,,0.6966512772960373,0.30334872270396274,5.777172273552851,
2026-04-04,93317,FINAL,Malden Catholic,4228,55.0,1.0,Marshfield/SST,4234,12.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,12:00 P.M.,,0,2026,1500.0,1500.0,1548.6499448656455,1451.3500551343545,0.5714631174083814,0.4285368825916186,2.0,43.0
2026-04-08,93149,UPCOMING,St. John’s Prep,4369,,,Weymouth,4425,,,Commonwealth Rugby Conference,Commonwealth Rugby Conference,5:00 P.M.,,0,2026,1517.1052435834442,1388.9655868573036,,,0.7360336675306935,0.26396633246930645,7.125586269045625,
2026-04-09,93100,FINAL,BC High,4029,27.0,1.0,Xaverian,4446,21.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,5:30 P.M.,,0,2026,1568.3867177562577,1500.0,1587.9973539713567,1480.389363784901,0.6640708852081476,0.3359291147918524,4.735468710250307,6.0
2026-04-09,93185,FINAL,Algonquin/Westboro,4005,53.0,1.0,Catholic Memorial,4080,12.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0,2026,1500.0,1500.0,1548.0518785912968,1451.9481214087032,0.5714631174083814,0.4285368825916186,2.0,41.0
2026-04-09,93269,FINAL,Chelmsford,4085,51.0,1.0,Cambridge,4067,5.0,0.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,5:30 P.M.,,0,2026,1471.7522468782395,1500.0,1525.8934272292897,1445.8588196489497,0.5312631622486087,0.4687368377513913,0.870089875129579,46.0
2026-04-09,93308,FINAL,Marshfield/SST,4234,20.0,0.0,Hingham/Norwell,4171,27.0,1.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0,2026,1451.3500551343545,1528.2477531217605,1422.568405972388,1557.029402283727,0.46136825016194594,0.5386317498380541,-1.0759079194962395,-7.0
2026-04-10,93113,FINAL,Belmont,4034,0.0,0.0,Milton,4252,33.0,1.0,Commonwealth Rugby Conference,Commonwealth Rugby Conference,6:00 P.M.,,0,2026,1500.0,1540.8573984349698,1445.7129959159627,1595.1444025190071,0.5131542252045296,0.4868457747954704,0.36570406260120764,-33.0
