date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2024-08-27,42579,FINAL,Framingham,4143,3.0,1.0,Grafton,4153,1.0,0.0,Bay State,SWCL,,,0,2024,1500.0,1500.0,1509.4159177072536,1490.5840822927464,0.5714631174083814,0.4285368825916186,1.25,2.0
2024-08-28,41938,FINAL,Mansfield,4230,6.0,1.0,Nauset,4271,0.0,0.0,Hockomock,Cape &#38; Islands,,,0,2024,1500.0,1500.0,1516.677885381591,1483.322114618409,0.5714631174083814,0.4285368825916186,1.25,6.0
2024-08-29,43843,FINAL,Tri-County,4392,0.0,2.0,Bellingham,4033,0.0,2.0,Mayflower,Tri-Valley,,,0,2024,1500.0,1500.0,1500.0,1500.0,0.5714631174083814,0.4285368825916186,1.25,0.0
2024-08-30,41184,FINAL,Taunton,4388,2.0,2.0,Diman,4115,2.0,2.0,Hockomock,Mayflower,,,0,2024,1500.0,1500.0,1500.0,1500.0,0.5714631174083814,0.4285368825916186,1.25,0.0
2024-09-02,1887,FINAL,Reading,4328,4.0,1.0,Burlington,4065,1.0,0.0,Middlesex,Middlesex,4:15 P.M.,,0,2024,1500.0,1500.0,1511.881565277373,1488.118434722627,0.5714631174083814,0.4285368825916186,1.25,3.0
2024-09-02,11809,FINAL,Marblehead,4231,2.0,1.0,Andover,4009,0.0,0.0,Northeastern,Merrimack Valley,,,0,2024,1500.0,1500.0,1509.4159177072536,1490.5840822927464,0.5714631174083814,0.4285368825916186,1.25,2.0
2024-09-03,8615,FINAL,Quabbin,4325,2.0,0.0,Oakmont,4299,5.0,1.0,Mid-Wach,Mid-Wach,4:30 P.M.,,0,2024,1500.0,1500.0,1484.1556780549754,1515.8443219450246,0.5714631174083814,0.4285368825916186,1.25,-3.0
2024-09-03,8612,FINAL,Bay Path,4027,5.0,1.0,Douglas,4506,2.0,0.0,Colonial,Dual Valley,4:00 P.M.,,0,2024,1500.0,1500.0,1511.881565277373,1488.118434722627,0.5714631174083814,0.4285368825916186,1.25,3.0
2024-09-03,8604,FINAL,St. Paul,4954,4.0,1.0,Abby Kelley Foster,4503,1.0,0.0,Worcester County,Colonial,3:30 P.M.,,0,2024,1500.0,1500.0,1511.881565277373,1488.118434722627,0.5714631174083814,0.4285368825916186,1.25,3.0
2024-09-03,8603,FINAL,Assabet,4016,1.0,2.0,Hudson,4182,1.0,2.0,Colonial,Mid-Wach,3:30 P.M.,,0,2024,1500.0,1500.0,1500.0,1500.0,0.5714631174083814,0.4285368825916186,1.25,0.0
