team,elo
Chelmsford,1601.2975837831682
Xaverian,1592.9787554411594
Belmont,1566.706232198849
Westford,1565.84307270522
Martha’s Vineyard,1560.3684099111765
Tantasqua,1548.2530183117653
New Bedford,1546.9021197102177
Hingham,1546.1161968159388
Quincy/North Quincy,1545.3748809878466
Winchester,1535.4710293888693
Canton,1532.9826806442559
Foxborough,1531.7302585859063
Duxbury,1530.9465243126272
Concord-Carlisle,1530.192653261189
Sandwich,1527.661271386724
Wayland,1526.5464811434595
Seekonk,1526.0541419249944
Bishop Feehan,1525.7792976985102
Bishop Stang,1523.8780816637034
Bridgewater-Raynham,1522.67018624147
Nantucket,1519.9357609138192
Malden Catholic,1514.2691097064392
Mansfield,1507.937912874905
Apponequet/Old Colony,1501.1009186648078
Westborough,1495.67951344812
Natick,1494.0595046333224
Latin Academy,1489.0308902935608
Holliston/Medway,1476.7535188565405
Lincoln-Sudbury,1473.107346738811
Marshfield/Hanover,1472.3534756873728
Durfee,1471.0880080316037
BC High,1470.7770613499818
Lexington,1468.4500088097466
Melrose,1467.8289706111307
Nashoba,1461.0174682401146
Pembroke,1457.1838031840612
Barnstable,1451.5897389655836
Central Catholic,1449.9566878353698
Norwell,1446.188021657234
Stoughton,1440.8776866141945
Boston Latin,1437.4148553462092
Wellesley,1436.593767801151
St. John’s (Shrewsbury),1434.0724700958224
Plymouth North/South,1431.9138476254295
Taunton,1417.3167758976185
