team,elo
Westford,1597.3662551482983
Lexington,1592.8167674311799
Andover,1580.4814992041795
Duxbury,1578.509810672772
Sharon,1575.1090235105808
Dartmouth,1568.0684091745873
Falmouth,1567.3991262485977
Winchester,1567.2092416069406
Tyngsborough,1565.1138615769996
Central Catholic,1562.058769144839
Boston Latin,1561.7641975761433
Canton,1559.6202067601298
St. John’s Prep,1559.6128880678734
Manchester Essex,1558.37453853141
Somerset Berkley,1554.4842164754684
Hingham,1549.6718846421784
Gloucester,1545.1545024684824
Lowell,1543.8175093661725
Mystic Valley,1543.7581209349778
Walpole,1543.6368304293258
Franklin,1543.6024793959484
Hopkinton,1542.5660880200362
Xaverian,1540.0045702463472
Latin Academy,1539.8018463481249
Medway,1539.327515987455
Attleboro,1539.0115015294498
Cape Cod Academy,1536.3717670713863
Needham,1534.2483947252715
Foxborough,1534.0224179478407
Nobles,1533.277294149751
Cardinal Spellman,1532.4344871784372
Wakefield,1531.9204207528082
Sutton,1530.7177335579315
Wareham,1529.1415329444794
Bishop Stang,1528.9581273509036
Dover-Sherborn,1527.9961847800373
Plymouth North,1527.8409468285483
St. George’s,1526.7335218740895
Concord-Carlisle,1525.0079317941345
Mashpee,1524.8779597190157
Beverly,1524.850907393737
Newburyport,1523.766482917537
Hamilton-Wenham,1523.766482917537
Billerica,1523.7425200398982
Rockland/EB,1523.4165604310126
Carver,1523.03505051891
Lenox,1523.03505051891
Weston,1523.03505051891
Amherst-Pelham,1523.03505051891
Newton South,1522.5437016241913
Medfield,1521.5345404349969
Nantucket,1521.3157718058133
Pingree,1520.5322875731786
Falmouth Academy,1520.518930152634
Belmont,1520.096370264832
Mansfield,1520.0600122123699
Randolph,1519.5041625915546
Arlington,1519.2240824248179
Grafton,1518.834492099163
Wilmington,1518.685815839454
Nauset,1517.965249607528
Plymouth South,1517.088680984513
Marblehead,1515.4540588116595
BC High,1515.0306296461022
Scituate,1513.5237796611643
Westport,1512.512864537418
Lincoln-Sudbury,1511.8832414587685
Old Rochester,1511.8832414587685
St. Mary’s,1511.8832414587685
Winthrop,1511.8832414587685
Pentucket,1511.1807721292055
Dedham,1510.2707219971926
Norwell,1510.0959414749598
Wellesley,1509.4093019620461
Westwood,1508.9952243379244
Bishop Feehan,1508.4546955524434
St. John’s (Shrewsbury),1507.8639655719614
Marshfield,1506.9993335520599
Lynnfield,1506.508952081139
North Attleborough,1504.143779721553
Bridgewater-Raynham,1502.5686161150124
Wayland,1500.0
Wachusett,1500.0
Fairhaven,1500.0
Malden,1500.0
Brockton,1500.0
Northeast/Saugus,1500.0
Algonquin,1500.0
Arlington Catholic,1500.0
Newton North,1500.0
Shawsheen,1500.0
Shrewsbury,1500.0
Greater Lawrence,1500.0
Westborough,1500.0
Nashoba Valley Tech,1500.0
Maimonides,1500.0
Revere,1500.0
Greater Lowell,1500.0
Fellowship Christian,1500.0
Somerville,1500.0
Lynn English,1500.0
Sturgis West,1499.778226286707
Danvers,1498.9155755237998
Reading,1498.9059621180072
Natick,1498.6867042167812
Swampscott,1497.3778549857857
Bourne,1497.1074670203905
Bedford,1496.3799487219947
Melrose,1494.026368306452
Holliston,1493.6284951038804
Braintree,1493.0194747295352
Brookline,1492.6280562185261
Governor’s Academy,1491.0888260419702
Cohasset,1491.0888260419702
St. John Paul II,1491.0888260419702
Masconomet,1490.7596697313681
Quincy,1490.5567743230984
West Bridgewater,1490.4673245769852
Monomoy,1490.3615969511227
Joseph Case,1488.8498285396138
Berwick,1488.3788863848513
Martha’s Vineyard,1488.1167585412315
Acton-Boxborough,1488.1167585412315
Dighton-Rehoboth,1488.1167585412315
Seekonk,1484.0726787386807
Waltham,1482.7428767139747
Marlborough,1481.165507900837
Lowell Catholic,1480.3262546578153
Dennis-Yarmouth,1479.552103864946
Weymouth,1478.5505209317453
Medford,1478.3273124671741
Methuen,1477.6384557415888
Nashoba,1477.5949342840952
Norwood,1476.96494948109
Belchertown,1476.96494948109
West Boylston,1476.96494948109
Monument Mtn.,1476.96494948109
Diman,1476.233517082463
Lynn Classical,1476.233517082463
North Andover,1475.9315762695717
King Philip,1475.8623736880388
Haverhill,1475.8488244735952
Bishop Fenwick,1473.3444028832128
Bartlett,1469.2822664420685
Everett,1469.2721706629268
Burlington,1469.151738905512
Durfee,1468.8990559378635
Salem,1467.8138763720663
Framingham,1466.704990220087
North Quincy,1466.5122591283057
Amesbury,1465.0527449532576
North Reading,1462.250394910828
Apponequet,1460.5481697409375
Tewksbury,1457.5027149844143
Rising Tide Charter,1455.6571047765185
Hanover,1452.5577774643734
Pembroke,1451.9837087963926
Ashland,1449.981569429639
Milton,1448.7216902762425
Whitman-Hanson,1447.1857411186977
Oliver Ames,1446.6341783709565
Stoneham,1443.9362297914658
Sandwich,1443.3628935679126
Malden Catholic,1440.3928221201804
Rockport,1440.35527447621
Ipswich,1440.1346158485812
Thayer,1439.9891839761594
Cambridge,1439.9475728865368
Silver Lake,1438.7240681289209
Catholic Memorial,1437.0951243475354
Chelmsford,1434.7839033375992
Taunton,1432.6949690514125
Woburn,1431.3438838832626
Lawrence,1429.9936970421472
Watertown,1426.1262866353316
Milford,1424.3159850282318
Stoughton,1424.0358099154303
Norton,1419.8235364697186
Middleborough,1408.9104090265816
New Bedford,1407.5687222321717
