team,elo
Medford,1579.894475445218
O’Bryant,1572.2611870889264
Marblehead,1564.2926398849256
Latin Academy,1556.5841578258355
Archbishop Williams,1553.6519397880222
North Andover,1537.4161148345959
Methuen/Tewksbury,1534.9602720303994
Somerville,1531.298153261189
Catholic Memorial,1525.1070191875128
Peabody,1486.514173135485
Central Catholic,1486.4357713228621
Salem,1485.994225191501
Lowell,1483.4004119945992
Malden,1479.4294622392529
Bishop Fenwick,1478.9463275255002
Danvers,1474.2209617880885
Melrose,1471.5649298175435
Revere,1448.9425623155291
Arlington Catholic,1422.347607445525
East Boston,1381.8476078774893
