team,elo
Uxbridge,1797.2101675816948
Sandwich,1763.1357193289587
Somerset Berkley,1755.5401934054507
Walpole,1743.5106532163456
Franklin,1724.997073839676
Canton,1724.5766237460819
Watertown,1723.683292947432
Hingham,1720.7793561645021
Andover,1700.7074958626042
Belmont,1693.888008684198
Dennis-Yarmouth,1691.2503885039673
Monomoy,1685.5118739218642
Nashoba,1670.347662060294
Sutton,1668.7092961355588
Dover-Sherborn,1666.1871822859382
King Philip,1658.1241615292904
Newburyport,1656.3374378690235
Lincoln-Sudbury,1656.1819633229848
West Bridgewater,1646.3531048571983
Phillips Andover,1645.545023056537
Manchester Essex,1643.084971784056
Wellesley,1639.4550356154464
Doherty,1638.9988919745895
Frontier,1636.8341498324676
Cohasset,1629.4745980147388
Concord-Carlisle,1627.5989036690837
Winchester,1626.6184108447333
Medfield,1620.194079752582
East Longmeadow,1619.4177864307746
Lynnfield,1618.2819321712454
Attleboro,1617.7018418077978
Quabbin,1615.5412961773493
Reading,1614.165544650887
Belchertown,1607.053352653629
Norwood,1604.4706034484898
Longmeadow,1603.57681405786
Scituate,1602.4804284330266
Natick,1602.3304401321232
Ipswich,1596.7024915956185
Beverly,1592.7167307588381
Old Rochester,1587.3270701019226
Bishop Feehan,1583.6488518454303
Marlborough,1580.925222985176
Gloucester,1580.917297680448
Duxbury,1580.2261884337474
Milton,1580.1776831372706
St. Mary’s,1579.8510620192997
Masconomet,1579.7332574931318
Clinton,1578.1687475325018
Cushing,1577.4275460394697
Hanover,1574.981801517919
Dartmouth,1574.124910956774
Bedford,1571.093970119569
Nantucket,1569.3547214438497
Chelmsford,1565.1011267702972
Central Catholic,1564.3582646045627
St. Paul,1563.9457017055793
Hopkinton,1563.2034598948017
Malden Catholic,1561.9024698020341
Hopedale,1560.7382412964232
Groton-Dunstable,1559.218062995719
Durfee,1558.8845001259035
Rivers,1558.3285711323176
Narragansett,1555.5399008224983
Greenwich Academy (Conn.),1553.1670664572282
Acton-Boxborough,1552.6535121157972
Westport,1551.6788978748584
North Reading,1548.277294384014
Dedham,1547.951911192036
South Hadley,1546.8436616702506
Notre Dame (Hingham),1545.6865774646014
Algonquin,1543.156444062006
Quaboag,1542.51405185824
Greenfield,1541.920350306561
Foxborough,1540.771286032676
Bishop Fenwick,1540.2929391543119
Waltham,1540.2011468490039
Franklin County Tech,1537.1003384295457
