date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2024-08-27,42572,FINAL,Grafton,4153,9.0,1.0,Framingham,4143,0.0,0.0,SWCL,Bay State,,,0,2024,1500.0,1500.0,1529.602279129608,1470.397720870392,0.5714631174083814,0.4285368825916186,1.25,9.0
2024-08-29,1621,UPCOMING,Suffield Academy,4382,,,Minnechaug,4254,,,Independent,Suburban,5:00 P.M.,,0,2024,1483.9673384811554,1490.6890944645263,,,0.5619622539058685,0.4380377460941315,1.0819561004157265,
2024-08-30,1601,UPCOMING,Plymouth North,4315,,,Middleborough,4247,,,Patriot,South Shore,5:00 P.M.,,0,2024,1278.2803319768602,1386.970147801103,,,0.416332867889381,0.583667132110619,-1.4672453956060678,
2024-09-02,1572,FINAL,Masconomet,4236,0.0,0.0,Malden Catholic,4228,1.0,1.0,Northeastern,Independent,10:00 A.M.,,0,2024,1500.0,1500.0,1488.1167585412315,1511.8832414587685,0.5714631174083814,0.4285368825916186,1.25,-1.0
2024-09-02,2760,FINAL,Hampshire,4518,0.0,0.0,Belchertown,4032,7.0,1.0,County,County,4:30 P.M.,,0,2024,1500.0,1500.0,1464.3502756236944,1535.6497243763056,0.5714631174083814,0.4285368825916186,1.25,-7.0
2024-09-03,8626,FINAL,Danvers,4103,0.0,0.0,Andover,4009,6.0,1.0,Northeastern,Merrimack Valley,,,0,2024,1500.0,1500.0,1466.6395236007272,1533.3604763992728,0.5714631174083814,0.4285368825916186,1.25,-6.0
2024-09-03,5931,FINAL,Sutton,4512,4.0,1.0,Northbridge,4292,0.0,0.0,Dual Valley,SWCL,3:30 P.M.,,0,2024,1500.0,1500.0,1520.691105171578,1479.308894828422,0.5714631174083814,0.4285368825916186,1.25,4.0
2024-09-03,5739,FINAL,Mahar,4226,0.0,0.0,Smith Academy,4538,3.0,1.0,Valley,Valley,7:00 P.M.,,0,2024,1500.0,1500.0,1476.233517082463,1523.766482917537,0.5714631174083814,0.4285368825916186,1.25,-3.0
2024-09-03,5723,FINAL,Joseph Case,4078,1.0,1.0,Dighton-Rehoboth,4114,0.0,0.0,South Coast,South Coast,3:45 P.M.,,0,2024,1500.0,1500.0,1508.9111739580298,1491.0888260419702,0.5714631174083814,0.4285368825916186,1.25,1.0
2024-09-03,4876,FINAL,West Bridgewater,4415,6.0,1.0,Seekonk,4344,1.0,0.0,South Coast,South Coast,3:45 P.M.,,0,2024,1500.0,1500.0,1523.03505051891,1476.96494948109,0.5714631174083814,0.4285368825916186,1.25,5.0
2024-09-03,4868,FINAL,Sandwich,4340,7.0,1.0,Mashpee,4237,0.0,0.0,South Shore,South Shore,4:00 P.M.,,0,2024,1500.0,1500.0,1526.7335218740895,1473.2664781259105,0.5714631174083814,0.4285368825916186,1.25,7.0
2024-09-03,4862,FINAL,Swampscott,4383,0.0,0.0,St. Mary’s,4374,1.0,1.0,Northeastern,Catholic Central,4:30 P.M.,,0,2024,1500.0,1500.0,1488.1167585412315,1511.8832414587685,0.5714631174083814,0.4285368825916186,1.25,-1.0
2024-09-03,4834,FINAL,Notre Dame (Worcester),4451,1.0,0.0,Hopedale,4507,2.0,1.0,Central Mass.,Dual Valley,5:00 P.M.,,0,2024,1500.0,1500.0,1488.1167585412315,1511.8832414587685,0.5714631174083814,0.4285368825916186,1.25,-1.0
2024-09-03,4928,FINAL,Westport,4461,6.0,1.0,Carver,4077,1.0,0.0,Mayflower,South Shore,4:30 P.M.,,0,2024,1500.0,1500.0,1523.03505051891,1476.96494948109,0.5714631174083814,0.4285368825916186,1.25,5.0
2024-09-03,2803,FINAL,Southwick,4519,1.0,0.0,East Longmeadow,4127,7.0,1.0,Valley,Valley,4:00 P.M.,,0,2024,1500.0,1500.0,1466.6395236007272,1533.3604763992728,0.5714631174083814,0.4285368825916186,1.25,-6.0
2024-09-03,2799,FINAL,Oakmont,4299,3.0,0.0,Dover-Sherborn,4118,5.0,1.0,Mid-Wach,Tri-Valley,6:30 P.M.,,0,2024,1500.0,1500.0,1481.165507900837,1518.834492099163,0.5714631174083814,0.4285368825916186,1.25,-2.0
2024-09-03,2676,FINAL,Mohawk Trail,4258,0.0,0.0,Westfield,4419,4.0,1.0,Valley,Valley,4:00 P.M.,,0,2024,1500.0,1500.0,1472.407967798555,1527.592032201445,0.5714631174083814,0.4285368825916186,1.25,-4.0
2024-09-03,2579,FINAL,Somerset Berkley,4350,9.0,1.0,Old Rochester,4301,0.0,0.0,South Coast,South Coast,3:30 P.M.,,0,2024,1500.0,1500.0,1529.602279129608,1470.397720870392,0.5714631174083814,0.4285368825916186,1.25,9.0
2024-09-03,1630,FINAL,Turners Falls,4396,1.0,2.0,Northampton,4291,1.0,2.0,Valley,Valley,6:00 P.M.,,0,2024,1500.0,1500.0,1500.0,1500.0,0.5714631174083814,0.4285368825916186,1.25,0.0
2024-09-03,1602,FINAL,Cohasset,4094,4.0,1.0,Middleborough,4247,1.0,0.0,South Shore,South Shore,4:00 P.M.,,0,2024,1500.0,1500.0,1517.8223479160597,1482.1776520839403,0.5714631174083814,0.4285368825916186,1.25,3.0
2024-09-03,1573,FINAL,Bishop Fenwick,4043,0.0,0.0,Malden Catholic,4228,5.0,1.0,Catholic Central,Independent,4:00 P.M.,,0,2024,1500.0,1511.8832414587685,1470.186802947893,1541.6964385108754,0.554635402874908,0.445364597125092,0.9529189635307886,-5.0
2024-09-03,1549,FINAL,Leominster,4208,0.0,0.0,Blackstone Valley,4046,1.0,1.0,Mid-Wach,Colonial,7:00 P.M.,,0,2024,1500.0,1500.0,1488.1167585412315,1511.8832414587685,0.5714631174083814,0.4285368825916186,1.25,-1.0
2024-09-03,943,FINAL,Wellesley,4413,3.0,1.0,Weston,4423,0.0,0.0,Bay State,Dual County,4:00 P.M.,,0,2024,1500.0,1500.0,1517.8223479160597,1482.1776520839403,0.5714631174083814,0.4285368825916186,1.25,3.0
2024-09-03,905,FINAL,St. John Paul II,4689,4.0,1.0,Plymouth North,4315,0.0,0.0,Cape &#38; Islands,Patriot,5:30 P.M.,,0,2024,1500.0,1500.0,1520.691105171578,1479.308894828422,0.5714631174083814,0.4285368825916186,1.25,4.0
