date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2024-08-24,42337,FINAL,Duxbury,4123,20.0,1.0,Weymouth,4425,0.0,0.0,Patriot,Bay State,,,0,2024,1500.0,1500.0,1539.140704633267,1460.859295366733,0.5714631174083814,0.4285368825916186,5.0,20.0
2024-09-05,73,FINAL,Central Catholic,4081,21.0,1.0,Franklin,4144,14.0,0.0,Merrimack Valley,Hockomock,7:00 P.M.,,0,2024,1500.0,1500.0,1526.7335218740895,1473.2664781259105,0.5714631174083814,0.4285368825916186,5.0,7.0
2024-09-05,1655,FINAL,Atlantis,4818,6.0,0.0,St. John Paul II,4689,40.0,1.0,Mayflower,Cape &#38; Islands,6:00 P.M.,,0,2024,1500.0,1500.0,1439.0474913992825,1560.9525086007175,0.5714631174083814,0.4285368825916186,5.0,-34.0
2024-09-05,1684,FINAL,Bourne,4050,44.0,1.0,Upper Cape,4457,14.0,0.0,South Coast,Mayflower,6:30 P.M.,,0,2024,1500.0,1500.0,1544.1477051440872,1455.8522948559128,0.5714631174083814,0.4285368825916186,5.0,30.0
2024-09-05,3440,FINAL,Middleborough,4247,14.0,1.0,Apponequet,4011,7.0,0.0,South Shore,South Coast,7:00 P.M.,,0,2024,1500.0,1500.0,1526.7335218740895,1473.2664781259105,0.5714631174083814,0.4285368825916186,5.0,7.0
2024-09-05,42707,FINAL,Auburn,4019,28.0,1.0,Hopkinton,4180,7.0,0.0,SWCL,Tri-Valley,,,0,2024,1500.0,1500.0,1539.7387709076156,1460.2612290923844,0.5714631174083814,0.4285368825916186,5.0,21.0
2024-09-06,3389,FINAL,Duxbury,4123,38.0,1.0,Abington,4002,20.0,0.0,Patriot,South Shore,7:00 P.M.,,0,2024,1539.140704633267,1500.0,1572.2178427687893,1466.9228618644777,0.6255411373829148,0.37445886261708516,8.914070463326699,18.0
2024-09-06,3385,FINAL,Holliston,4174,16.0,0.0,Canton,4071,28.0,1.0,Tri-Valley,Hockomock,6:00 P.M.,,0,2024,1500.0,1500.0,1456.0267813257121,1543.9732186742879,0.5714631174083814,0.4285368825916186,5.0,-12.0
2024-09-06,3375,FINAL,Greater New Bedford,4156,34.0,1.0,Bristol-Plymouth,4057,3.0,0.0,South Coast,Mayflower,7:00 P.M.,,0,2024,1500.0,1500.0,1544.5558697901492,1455.4441302098508,0.5714631174083814,0.4285368825916186,5.0,31.0
2024-09-06,3362,FINAL,Ashland,4015,0.0,0.0,Grafton,4153,31.0,1.0,Tri-Valley,SWCL,7:00 P.M.,,0,2024,1500.0,1500.0,1440.5837927061575,1559.4162072938425,0.5714631174083814,0.4285368825916186,5.0,-31.0
2024-09-06,2293,FINAL,Murdock,4263,0.0,0.0,Southbridge,4357,32.0,1.0,Mid-Wach,SWCL,7:00 P.M.,,0,2024,1500.0,1500.0,1440.0562466664717,1559.9437533335283,0.5714631174083814,0.4285368825916186,5.0,-32.0
2024-09-06,2289,FINAL,Minuteman,4255,22.0,1.0,Roxbury Prep,4847,0.0,0.0,Commonwealth,Independent,7:00 P.M.,,0,2024,1500.0,1500.0,1540.3102475003498,1459.6897524996502,0.5714631174083814,0.4285368825916186,5.0,22.0
2024-09-06,1717,FINAL,Mahar,4226,44.0,1.0,Drury,4120,0.0,0.0,Intercounty,Tri-County,7:00 P.M.,,0,2024,1500.0,1500.0,1548.9388582933386,1451.0611417066614,0.5714631174083814,0.4285368825916186,5.0,44.0
2024-09-06,1676,FINAL,Bellingham,4033,35.0,1.0,Blackstone-Millville/Hopedale,4486,0.0,0.0,Tri-Valley,Dual Valley,7:00 P.M.,,0,2024,1500.0,1500.0,1546.0701010378202,1453.9298989621798,0.5714631174083814,0.4285368825916186,5.0,35.0
2024-09-06,1690,FINAL,Brighton,4055,6.0,0.0,Nashoba Valley Tech,4268,51.0,1.0,Boston City,Commonwealth,6:30 P.M.,,0,2024,1500.0,1500.0,1434.3621795637068,1565.6378204362932,0.5714631174083814,0.4285368825916186,5.0,-45.0
2024-09-06,3399,FINAL,North Middlesex,4286,42.0,1.0,Fitchburg,4139,0.0,0.0,Mid-Wach,Mid-Wach,7:00 P.M.,,0,2024,1500.0,1500.0,1548.3543891714767,1451.6456108285233,0.5714631174083814,0.4285368825916186,5.0,42.0
2024-09-06,1664,FINAL,Ayer Shirley,4022,24.0,1.0,Groton-Dunstable,4160,20.0,0.0,Mid-Wach,Mid-Wach,7:00 P.M.,,0,2024,1500.0,1500.0,1520.691105171578,1479.308894828422,0.5714631174083814,0.4285368825916186,5.0,4.0
2024-09-06,1318,FINAL,Seekonk,4344,30.0,1.0,Monomoy,4706,0.0,0.0,South Coast,Cape &#38; Islands,6:30 P.M.,,0,2024,1500.0,1500.0,1544.1477051440872,1455.8522948559128,0.5714631174083814,0.4285368825916186,5.0,30.0
2024-09-06,1301,FINAL,Dennis-Yarmouth,4111,14.0,1.0,Mashpee,4237,8.0,0.0,Cape &#38; Islands,South Shore,6:30 P.M.,,0,2024,1500.0,1500.0,1525.0168280723867,1474.9831719276133,0.5714631174083814,0.4285368825916186,5.0,6.0
2024-09-06,1293,FINAL,West Bridgewater,4415,15.0,0.0,Manchester Essex,4229,22.0,1.0,South Coast,Cape Ann,6:00 P.M.,,0,2024,1500.0,1500.0,1464.3502756236944,1535.6497243763056,0.5714631174083814,0.4285368825916186,5.0,-7.0
2024-09-06,1284,FINAL,Frontier,4146,0.0,0.0,Lunenburg,4219,18.0,1.0,Intercounty,Mid-Wach,7:00 P.M.,,0,2024,1500.0,1500.0,1449.520851658404,1550.479148341596,0.5714631174083814,0.4285368825916186,5.0,-18.0
2024-09-06,1699,FINAL,Carver,4077,39.0,1.0,Wareham,4407,0.0,0.0,South Shore,Independent,4:00 P.M.,,0,2024,1500.0,1500.0,1547.4246270456676,1452.5753729543324,0.5714631174083814,0.4285368825916186,5.0,39.0
2024-09-06,3424,FINAL,Bishop Fenwick,4043,25.0,1.0,Marblehead,4231,6.0,0.0,Catholic Central,Northeastern,7:00 P.M.,,0,2024,1500.0,1500.0,1538.5134530876378,1461.4865469123622,0.5714631174083814,0.4285368825916186,5.0,19.0
2024-09-06,3445,FINAL,Dighton-Rehoboth/Bristol Aggie,4114,15.0,0.0,Nauset,4271,36.0,1.0,South Coast,Cape &#38; Islands,6:30 P.M.,,0,2024,1500.0,1500.0,1447.007497306866,1552.992502693134,0.5714631174083814,0.4285368825916186,5.0,-21.0
2024-09-06,3433,FINAL,Greater Lowell,4155,20.0,1.0,Medford,4242,6.0,0.0,Commonwealth,Greater Boston,6:00 P.M.,,0,2024,1500.0,1500.0,1534.8149817324584,1465.1850182675416,0.5714631174083814,0.4285368825916186,5.0,14.0
2024-09-06,3592,POSTPONED,Dover-Sherborn,4118,,,Dedham,4108,,,Tri-Valley,Tri-Valley,6:00 P.M.,,0,2024,1371.382177744823,1381.646697837939,,,0.5569359275292772,0.44306407247072277,3.973547990688394,
2024-09-06,43766,FINAL,Boston Latin,4049,16.0,1.0,East Boston,4125,14.0,0.0,Dual County,Boston City,,,0,2024,1500.0,1485.8761234391197,1513.4718009885855,1472.4043224505342,0.5912479428959745,0.4087520571040255,6.412387656088026,2.0
2024-09-06,41739,FINAL,Chelmsford,4085,48.0,1.0,Wilmington,4432,6.0,0.0,Merrimack Valley,Middlesex,,,0,2024,1500.0,1500.0,1548.3543891714767,1451.6456108285233,0.5714631174083814,0.4285368825916186,5.0,42.0
2024-09-06,8807,FINAL,Tri-County,4392,34.0,1.0,Cape Cod Tech,4073,22.0,0.0,Mayflower,Mayflower,6:30 P.M.,,0,2024,1500.0,1500.0,1532.9752620495583,1467.0247379504417,0.5714631174083814,0.4285368825916186,5.0,12.0
2024-09-06,5327,FINAL,Latin Academy,4202,16.0,1.0,East Boston,4125,14.0,0.0,Boston City,Boston City,6:00 P.M.,,0,2024,1500.0,1500.0,1514.1238765608803,1485.8761234391197,0.5714631174083814,0.4285368825916186,5.0,2.0
2024-09-06,3702,FINAL,Shawsheen,4346,35.0,1.0,Bedford,4031,20.0,0.0,Commonwealth,Dual County,7:00 P.M.,,0,2024,1500.0,1500.0,1535.6446958321194,1464.3553041678806,0.5714631174083814,0.4285368825916186,5.0,15.0
2024-09-06,3687,FINAL,Swampscott,4383,12.0,0.0,St. Mary’s,4374,13.0,1.0,Northeastern,Catholic Central,7:00 P.M.,,0,2024,1500.0,1500.0,1488.1167585412315,1511.8832414587685,0.5714631174083814,0.4285368825916186,5.0,-1.0
2024-09-06,3666,FINAL,Methuen,4246,42.0,1.0,Lincoln-Sudbury,4211,14.0,0.0,Merrimack Valley,Dual County,7:00 P.M.,,0,2024,1500.0,1500.0,1543.290313732385,1456.709686267615,0.5714631174083814,0.4285368825916186,5.0,28.0
2024-09-06,3662,FINAL,Medfield,4241,6.0,0.0,Weston,4423,17.0,1.0,Tri-Valley,Dual County,6:30 P.M.,,0,2024,1500.0,1500.0,1457.3990249833,1542.6009750167,0.5714631174083814,0.4285368825916186,5.0,-11.0
2024-09-06,3607,FINAL,Falmouth,4134,12.0,0.0,Sandwich,4340,27.0,1.0,Cape &#38; Islands,South Shore,6:00 P.M.,,0,2024,1500.0,1500.0,1452.467034164926,1547.532965835074,0.5714631174083814,0.4285368825916186,5.0,-15.0
2024-09-06,3588,FINAL,Danvers,4103,24.0,1.0,Salem,4336,14.0,0.0,Northeastern,Northeastern,6:30 P.M.,,0,2024,1500.0,1500.0,1530.8275969495858,1469.1724030504142,0.5714631174083814,0.4285368825916186,5.0,10.0
2024-09-06,3475,FINAL,Greater Lawrence,4154,29.0,1.0,Wakefield,4402,22.0,0.0,Commonwealth,Middlesex,6:00 P.M.,,0,2024,1500.0,1500.0,1526.7335218740895,1473.2664781259105,0.5714631174083814,0.4285368825916186,5.0,7.0
2024-09-06,3461,FINAL,Worcester South,4444,26.0,1.0,Leicester,4207,7.0,0.0,Inter-High,SWCL,6:00 P.M.,,0,2024,1500.0,1500.0,1538.5134530876378,1461.4865469123622,0.5714631174083814,0.4285368825916186,5.0,19.0
2024-09-06,3455,FINAL,Somerset Berkley,4350,18.0,0.0,Hanover,4164,25.0,1.0,South Coast,Patriot,6:30 P.M.,,0,2024,1500.0,1500.0,1464.3502756236944,1535.6497243763056,0.5714631174083814,0.4285368825916186,5.0,-7.0
2024-09-06,1230,FINAL,Commerce,4361,6.0,0.0,Putnam,4362,36.0,1.0,Intercounty,Suburban,7:00 P.M.,,0,2024,1500.0,1500.0,1441.1280890095327,1558.8719109904673,0.5714631174083814,0.4285368825916186,5.0,-30.0
2024-09-06,3427,FINAL,Marlborough,4233,42.0,1.0,Sharon,4345,7.0,0.0,Mid-Wach,Hockomock,6:00 P.M.,,0,2024,1500.0,1500.0,1546.0701010378202,1453.9298989621798,0.5714631174083814,0.4285368825916186,5.0,35.0
2024-09-06,1222,FINAL,Triton,4395,37.0,1.0,Hamilton-Wenham,4163,6.0,0.0,Cape Ann,Cape Ann,6:30 P.M.,,0,2024,1500.0,1500.0,1544.5558697901492,1455.4441302098508,0.5714631174083814,0.4285368825916186,5.0,31.0
2024-09-06,3694,FINAL,Oakmont,4299,14.0,1.0,Norton,4295,6.0,0.0,Mid-Wach,Tri-Valley,7:00 P.M.,,0,2024,1500.0,1500.0,1528.2477531217605,1471.7522468782395,0.5714631174083814,0.4285368825916186,5.0,8.0
2024-09-06,1165,FINAL,Chelsea,4086,0.0,0.0,TechBoston,4117,28.0,1.0,Greater Boston,Boston City,6:00 P.M.,,0,2024,1500.0,1500.0,1442.2714388327906,1557.7285611672094,0.5714631174083814,0.4285368825916186,5.0,-28.0
2024-09-06,385,FINAL,Arlington,4013,38.0,1.0,Arlington Catholic,4014,0.0,0.0,Middlesex,Catholic Central,7:00 P.M.,,0,2024,1500.0,1500.0,1547.0991386104386,1452.9008613895614,0.5714631174083814,0.4285368825916186,5.0,38.0
2024-09-06,380,FINAL,Algonquin,4005,19.0,1.0,Nashoba,4267,7.0,0.0,Mid-Wach,Mid-Wach,7:00 P.M.,,0,2024,1500.0,1500.0,1532.9752620495583,1467.0247379504417,0.5714631174083814,0.4285368825916186,5.0,12.0
2024-09-06,240,FINAL,Xaverian,4446,35.0,1.0,Bishop Feehan,4042,14.0,0.0,Catholic Conference,Catholic Central,6:00 P.M.,,0,2024,1500.0,1500.0,1539.7387709076156,1460.2612290923844,0.5714631174083814,0.4285368825916186,5.0,21.0
