team,elo
Hudson,1638.8322873965333
Prospect Hill,1623.3519496223691
Minnechaug,1619.8457862274831
Tahanto,1616.4117188764567
St. Mary’s,1612.586390849915
Rockland,1611.5649408393786
Leominster,1605.3424830656713
Peabody,1603.9875227330353
Wachusett,1603.5703121465076
Neighborhood House Charter,1602.5425022665017
East Bridgewater,1595.8419076950067
Arlington Catholic,1595.2823908027215
Dighton-Rehoboth,1593.274096099427
Needham,1592.1787855986636
Rockport,1591.6565242571132
West Boylston,1589.8148804478765
Gardner,1589.4304658902201
Somerville,1587.0202840628892
Groton-Dunstable,1586.980593337435
Acton-Boxborough,1586.58431941588
Bishop Feehan,1585.0919712627017
Fenway,1584.5329355673703
Apponequet,1583.88585662899
Medway,1583.5756889883933
Lawrence Academy,1582.9918009746084
Hopedale,1581.8249532127768
Rivers,1581.1194430991452
Shawsheen,1579.8544433706063
Attleboro,1577.692334277811
Shepherd Hill,1577.0154138935845
Swampscott,1576.7003831908378
Middlesex,1576.4459229393121
Natick,1574.5402729121902
Newton North,1571.6778221225902
North Reading,1570.331540571713
Atlantis Charter,1570.0123204427412
Sandwich,1566.9501771663824
Cape Cod Tech,1565.315084098786
Dracut,1565.315084098786
Foxborough,1564.8917565777504
Duxbury,1564.0856813713733
Ursuline,1563.555192211963
Tri-County,1563.0441306749221
Greater Lowell,1562.0972993763614
Drury,1561.9484506974704
Melrose,1561.8500977716942
Medfield,1559.5410217549943
Blue Hills,1558.858645476699
Norwood,1558.5977938879346
Methuen,1557.468023818074
Billerica,1556.1342164754685
Holbrook,1554.642502693134
Leicester,1554.642502693134
Collegiate Charter,1552.1291483415962
Andover,1552.0585724021248
Pingree,1551.766377928287
Nauset,1551.6749211137494
Douglas,1551.2022256570947
Wayland,1551.2022256570947
Bancroft,1550.2999448656456
Maynard,1549.0444226776915
Georgetown Visitation (D.C.),1548.415194991427
Concord Academy,1548.3155110075768
Parker Charter,1548.076524300608
Rising Tide Charter,1547.774988496349
South Hadley,1547.357933243965
Arlington,1546.8937178580413
Northbridge,1546.4287052239179
Notre Dame (Tyngsborough),1545.9243384639733
O’Bryant,1545.710884111605
Walpole,1545.4267529482838
Danvers,1545.3761556904883
Ware,1545.3761556904883
Oliver Ames,1545.2341115791269
Wahconah,1544.940313732385
Haverhill,1544.3984156429422
North Quincy,1543.5364360075882
Hopkinton,1543.4974528949365
New Mission,1543.2972797083896
Tabor,1541.9602475003499
Burlington,1541.9602475003499
West Bridgewater,1541.8263052637142
St. Mary (Westfield),1541.3887709076157
Braintree,1541.3498856561557
Whitman-Hanson,1541.3067144631257
Manchester Essex,1541.2632176471657
McCann Tech,1541.1252736602135
Oakmont,1540.9720257687316
Saugus,1540.0354464649583
Woburn,1539.3189841983262
Salem Academy,1539.3189841983262
Sutton,1539.3189841983262
Falmouth Academy,1539.095499204053
Concord-Carlisle,1538.8089270797905
Keefe Tech,1538.0740924253648
Sharon,1537.8784715688269
Madison Park,1537.2997243763057
Sturgis West,1535.4671858739662
Pembroke,1535.3322524924802
Muniz,1534.676115092754
Millbury,1533.59622447694
Bridgewater-Raynham,1533.59622447694
Mount St. Charles (R.I.),1533.4970871094997
Whittier,1533.3468781525175
Pentucket,1532.968318645199
Codman Charter,1532.7454672525694
Brighton,1532.4775969495859
Baystate Academy,1532.0061149801575
Revere,1531.252279129608
Watertown,1531.252279129608
Phillips Exeter,1531.1120565117728
Monomoy,1530.6368632861022
Waltham,1529.2682415982015
Tilton,1529.242032201445
Somerset Berkley,1529.242032201445
Cushing,1529.1932050270248
Medford,1528.983834004402
Bedford,1528.5159748772671
Hanover,1528.007418879429
Brewster Academy,1527.0051253855563
Mahar,1526.6668280723868
Northeast,1526.5652574673193
Pioneer Valley Christian,1525.416482917537
Cathedral,1525.242503182162
Tantasqua,1524.6850505189102
Malden,1524.6850505189102
Falmouth,1524.636254225501
St. Paul,1524.323968828065
Central Catholic,1523.7314414091345
Minuteman,1522.6967138661942
South Shore Charter,1522.3411051715782
Plymouth South,1522.340349453816
Holderness,1521.1147633726384
North Attleborough,1520.4844920991632
BB&N,1520.173271600956
Grafton,1519.1626862083428
Plymouth North,1518.582894852956
Narragansett,1516.8665530004253
Lynnfield,1516.06273939023
Westborough,1515.537059403698
Canton,1514.906863930116
Seekonk,1514.46619742942
Northfield Mt. Hermon,1512.5899501773251
St. John Paul II,1512.024222173772
Westport,1511.7718885979034
Georgetown,1509.9716823305796
Hingham,1509.3499578506762
St. Mark’s,1509.2192348277133
Hamilton-Wenham,1509.0613049232072
Abington,1508.7585725775655
Fitchburg,1506.7149705042168
Westwood,1504.7808973782128
Old Rochester,1503.8212937430228
Milton,1503.1169649097576
Winchester,1502.0171964793092
Bay Path,1501.65
Snowden,1501.65
Worcester South,1501.65
Boston Collegiate,1501.65
Bishop Guertin (N.H.),1501.65
Nipmuc,1501.65
Sturgis East,1501.65
Cristo Rey,1501.65
Norwell,1501.65
Lowell,1501.65
Quabbin,1501.65
Carver,1501.65
Wareham,1501.65
Lunenburg,1501.65
Londonderry (N.H.),1501.65
Bishop Fenwick,1501.65
Mohawk Trail,1501.65
Pioneer Valley Chinese Immersion,1501.65
Gateway,1501.65
Latin Academy,1501.65
TechBoston/Henderson Inclusion School,1501.65
Newton South,1501.65
Salem,1501.65
Nashoba Valley Tech,1501.65
Diman,1501.65
Westford,1501.65
New Heights Charter,1501.65
Mansfield,1501.2261492765151
Littleton,1501.0207723137355
Calvary Chapel,1500.3813592497922
Barnstable,1500.2340474277792
Lee,1499.080110469739
Newburyport,1496.2102160060376
Clinton,1495.3137977641513
Stoughton,1495.1183864880732
Lynn Tech,1494.9387954803633
Chelsea,1494.8260362865144
Wilmington,1494.5327448494734
New Bedford,1494.473240238213
Shrewsbury,1494.0545661132346
Martha’s Vineyard,1493.354241885476
Brooke Charter,1492.7388260419702
Stoneham,1492.6418093063485
Maimonides,1492.617250384292
Whitinsville Christian,1491.3184770997393
Marblehead,1491.2713461999663
Algonquin,1489.7875163381907
Boston Latin,1489.7667585412316
Monty Tech,1489.7667585412316
Bristol-Plymouth,1489.7667585412316
Millis,1488.893717849054
Governor’s Academy,1488.687991990745
Roxbury Prep,1487.7893310342768
Malden Catholic,1487.567936211198
Durfee,1487.4647458404322
Randolph,1487.0183060951633
Chelmsford,1486.142223682276
Dover-Sherborn,1484.216412744207
Milford,1482.815507900837
MATCH Charter,1480.958894828422
Argosy Collegiate,1480.958894828422
Quincy,1480.3235798629921
Everett,1478.61494948109
Auburn,1478.61494948109
Renaissance,1477.8835170824632
Upper Cape,1477.801830922574
Dana Hall,1477.76805379248
Pioneer Charter I,1476.734742532681
Bristol Aggie,1476.1268555457054
Tyngsborough,1476.039977758909
Notre Dame (Hingham),1475.6993020903394
Ashland,1475.4199396699971
Ayer Shirley,1474.3072193042308
Nobles,1474.0579677985552
Greater New Bedford,1474.0579677985552
