team,elo
Framingham,1702.2059522493103
Georgetown,1663.193606133222
Walpole,1653.9650537182442
Salem,1649.4353239533202
Medway,1638.5201370579357
Keefe Tech,1633.8536927623147
Lawrence,1621.0889156114215
Chelsea,1611.848947395178
Dedham,1609.0580754121643
Methuen,1608.7989272844732
Rockland,1607.9807861031923
Dracut,1607.3211981631623
Ipswich,1604.3188942183726
Tewksbury,1603.3839661238837
Lincoln-Sudbury,1602.3668829956073
Bishop Stang,1598.0829650611981
Lynn Classical,1594.0346555656122
Milford,1593.0951109031532
Pentucket,1588.7500255449793
Whitman-Hanson,1586.5319004362766
Martha’s Vineyard,1584.8443060096763
Stoughton,1584.46700593425
Watertown,1583.6754033034626
Assabet,1583.5897479728783
Mansfield,1583.2546482148905
Acton-Boxborough,1582.8120910080054
Braintree,1580.8952414266894
Haverhill,1580.6714401250122
Plymouth North,1580.5116843900128
Thayer,1577.401843704239
Dighton-Rehoboth,1577.1573857332053
Belmont,1576.353936864243
Woburn,1576.2689756545021
Taunton,1576.065764750062
Cardinal Spellman,1574.375914188413
Milton,1573.7691082530196
Nantucket,1571.9220895918318
Pembroke,1569.4173206397502
North Middlesex,1569.3051612618867
Brookline,1569.247608498253
Chelmsford,1568.9486281004624
Beaver Country Day,1568.9215350415313
Fairhaven,1568.777209117743
Wilmington,1565.469273005193
Greater Lawrence,1564.190967115863
Nashoba Valley Tech,1559.810223355076
Falmouth Academy,1559.0508464073685
Burlington,1558.5419365281962
Reading,1558.4749637153566
Foxborough,1557.9947089796337
Putnam,1557.7910890766852
Wakefield,1557.475846909209
Lowell Catholic,1554.7397078365766
Masconomet,1553.693640405909
Gardner,1553.2775940322838
Hingham,1553.141017070659
Joseph Case,1552.5132037285964
Weston,1551.5522634532665
Smith Voc.,1550.139807806907
Bristol Aggie,1548.7919001600924
Upper Cape,1548.5103333096065
Norwood,1548.2502458057938
Cape Cod Academy,1547.0511956965652
Plymouth South,1546.9814826909287
McCann Tech,1546.9791425511107
Rising Tide Charter,1546.4798923829203
Fontbonne,1545.615073333582
Mashpee,1545.3609413496233
Worcester Tech,1544.7326667839397
Brockton,1543.1644322227576
Springfield International,1542.7632690458447
Hanover,1542.627421916444
