team,elo
Hopkinton,1599.59123525715
Duxbury,1593.5835667511235
Bishop Feehan,1584.3446130899702
Wellesley,1573.756033225805
Malden Catholic,1548.869184395945
Nauset,1525.0168280723867
Hingham,1524.044025461194
Quabbin,1511.280917912002
Braintree,1509.7207986544875
Walpole,1508.9111739580298
Nashoba,1500.8784306284183
Quincy,1490.8060224854983
Wachusett,1490.104440499133
Marshfield,1489.6951840874647
Ursuline,1481.6533963967008
Cohasset,1477.6832417194753
Auburn,1477.2807092190383
Archbishop Williams,1477.065956995408
North Quincy/Quincy,1476.5266955671816
Falmouth,1474.9831719276133
Framingham,1474.9831719276133
Fontbonne,1474.064858608647
Dennis-Yarmouth,1469.2022746405773
Notre Dame (Worcester),1469.1724030504142
Weymouth,1450.9754258373637
Silver Lake,1447.6612639280627
Worcester,1398.144975703297
