date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2026-04-01,95645,FINAL,Silver Lake,4349,2.5,0,Marshfield,4234,3.5,1,Patriot,Independent,,,0,2026,1500.0,1500.0,1488.1167585412315,1511.8832414587685,0.5714631174083814,0.4285368825916186,2.0,-1.0
2026-04-02,96304,FINAL,Worcester,4066,4.5,0,Hopkinton,4180,27.5,1,Independent,Independent,,,0,2026,1500.0,1500.0,1445.5157835245316,1554.4842164754684,0.5714631174083814,0.4285368825916186,2.0,-23.0
2026-04-06,98022,FINAL,Hingham,4171,6.0,1,Silver Lake,4349,0.0,0,Patriot,Patriot,,,0,2026,1500.0,1488.1167585412315,1524.044025461194,1464.0727330800376,0.588127172386545,0.411872827613455,2.4753296583507383,6.0
2026-04-06,98034,FINAL,Quabbin,4325,17.5,0,Nashoba,4267,18.5,1,Mid-Wach,Independent,,,0,2026,1500.0,1500.0,1488.1167585412315,1511.8832414587685,0.5714631174083814,0.4285368825916186,2.0,-1.0
2026-04-07,98542,FINAL,North Quincy/Quincy,4287,0.0,0,Duxbury,4123,6.0,1,Patriot,Patriot,,,0,2026,1500.0,1500.0,1466.6395236007272,1533.3604763992728,0.5714631174083814,0.4285368825916186,2.0,-6.0
2026-04-07,98560,FINAL,Nashoba,4267,12.0,0,Hopkinton,4180,30.0,1,Independent,Independent,,,0,2026,1511.8832414587685,1554.4842164754684,1466.776222677087,1599.59123525715,0.510646443468959,0.48935355653104096,0.29596099933200093,-18.0
2026-04-08,99188,FINAL,Duxbury,4123,6.0,1,Cohasset,4094,0.0,0,Patriot,Patriot,,,0,2026,1533.3604763992728,1500.0,1555.6772346797975,1477.6832417194753,0.617715163752399,0.382284836247601,3.3344190559709115,6.0
2026-04-09,99435,FINAL,Duxbury,4123,6.0,1,Marshfield,4234,0.0,0,Patriot,Independent,,,0,2026,1555.6772346797975,1511.8832414587685,1577.1720975991486,1490.3883785394173,0.6317941858760143,0.3682058141239857,3.7517597288411615,6.0
2026-04-09,99473,FINAL,Malden Catholic,4228,4.0,1,Fontbonne,4447,2.0,0,Catholic Conference,Catholic Conference,,,0,2026,1500.0,1500.0,1514.1238765608803,1485.8761234391197,0.5714631174083814,0.4285368825916186,2.0,2.0
2026-04-13,101247,FINAL,Bishop Feehan,4042,30.0,1,Notre Dame (Worcester),4451,20.0,0,Independent,Independent,,,0,2026,1500.0,1500.0,1530.8275969495858,1469.1724030504142,0.5714631174083814,0.4285368825916186,2.0,10.0
2026-04-13,101417,FINAL,Nashoba,4267,22.5,1,Wachusett,4400,21.5,0,Independent,Mid-Wach,,,0,2026,1466.776222677087,1500.0,1476.671782177954,1490.104440499133,0.5241241793759213,0.47587582062407874,0.6710489070834774,1.0
2026-04-13,101515,FINAL,Walpole,4404,3.5,1,Wellesley,4413,2.5,0,Bay State,Bay State,,,0,2026,1500.0,1500.0,1508.9111739580298,1491.0888260419702,0.5714631174083814,0.4285368825916186,2.0,1.0
2026-04-14,101797,FINAL,Nauset,4271,6.0,1,Falmouth,4134,0.0,0,Cape & Islands,Cape & Islands,,,0,2026,1500.0,1500.0,1525.0168280723867,1474.9831719276133,0.5714631174083814,0.4285368825916186,2.0,6.0
