date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2025-12-17,70301,FINAL,Newton North,4279,146.75,1,Newton South,4280,129.7,0,Bay State,Dual County,,,0,2025,1500.0,1500.0,1537.1945889791562,1462.8054110208438,0.5714631174083814,0.4285368825916186,2.0,17.05000000000001
2025-12-17,70344,FINAL,Central Catholic,4081,138.6,1,Methuen,4246,115.87,0,Merrimack Valley,Merrimack Valley,,,0,2025,1500.0,1500.0,1540.7119475330283,1459.2880524669717,0.5714631174083814,0.4285368825916186,2.0,22.72999999999999
2025-12-19,71665,FINAL,Hingham/Hull,4171,130.4,1,Marshfield,4234,121.3,0,Patriot,Patriot,,,0,2025,1500.0,1500.0,1529.7302016425451,1470.2697983574549,0.5714631174083814,0.4285368825916186,2.0,9.100000000000009
2025-12-21,71849,FINAL,Andover,4009,134.4,1,Chelmsford/B/T,4085,127.5,0,Merrimack Valley,Merrimack Valley,,,0,2025,1500.0,1500.0,1526.5718077106778,1473.4281922893222,0.5714631174083814,0.4285368825916186,2.0,6.900000000000006
2025-12-21,71851,FINAL,Andover,4009,134.4,1,Haverhill,4167,129.05,0,Merrimack Valley,Merrimack Valley,,,0,2025,1526.5718077106778,1500.0,1548.2849300281143,1478.2868776825635,0.6084455303631465,0.3915544696368535,3.062872308427113,5.349999999999994
2025-12-21,71854,FINAL,Haverhill,4167,129.05,1,Chelmsford/B/T,4085,127.55,0,Merrimack Valley,Merrimack Valley,,,0,2025,1478.2868776825635,1473.4281922893222,1489.8789161525426,1461.836153819343,0.5782983840267593,0.42170161597324074,2.1943474157296534,1.5000000000000142
2025-12-23,72792,FINAL,North Andover,4283,129.55,1,Methuen,4246,117.85,0,Merrimack Valley,Merrimack Valley,,,0,2026,1497.406000427633,1455.351425011416,1525.658817348878,1427.098608090171,0.6294618250760189,0.3705381749239811,3.6821830166486778,11.700000000000017
2025-12-23,72792,FINAL,North Andover,4283,129.55,1,Methuen,4246,117.85,0,Merrimack Valley,Merrimack Valley,,,0,2025,1500.0,1459.2880524669717,1528.3904031962015,1430.8976492707702,0.6276573689979201,0.37234263100207987,3.62847790132113,11.700000000000017
2025-12-27,74566,FINAL,North Andover,4283,125.15,0,Tewksbury,4389,130.8,1,Merrimack Valley,Merrimack Valley,3:00 P.M.,,0,2025,1528.3904031962015,1500.0,1493.6656722800492,1534.7247309161523,0.6109367325043615,0.38906326749563847,3.135616127848061,-5.650000000000006
2025-12-27,74566,FINAL,North Andover,4283,125.15,0,Tewksbury,4389,130.8,1,Merrimack Valley,Merrimack Valley,3:00 P.M.,,0,2026,1525.658817348878,1524.9155697138222,1493.1181723829573,1557.456214679743,0.5725105647922168,0.42748943520778315,2.029729905402237,-5.650000000000006
2025-12-30,75290,FINAL,North Andover,4283,132.85,1,Dracut,4119,117.4,0,Merrimack Valley,Merrimack Valley,,,0,2026,1493.1181723829573,1501.65,1530.133233945778,1464.6349384371792,0.5593957218658588,0.44060427813414116,1.6587268953182865,15.449999999999989
2026-01-03,77309,FINAL,Chelmsford/B/T,4085,130.75,0,North Andover,4283,133.9,1,Merrimack Valley,Merrimack Valley,,,0,2026,1476.0802230589597,1530.133233945778,1454.9826058695628,1551.230851135175,0.4941675130358292,0.5058324869641708,-0.16212043547273425,-3.1500000000000057
2026-01-03,77324,FINAL,Bridgewater-Raynham/West Bridgewater,4053,140.35,1,Cohasset/Norwell,4094,128.65,0,Cranberry,Cranberry,,,0,2026,1501.65,1501.65,1534.3251058520382,1468.974894147962,0.5714631174083814,0.4285368825916186,2.0,11.699999999999989
2026-01-03,77325,FINAL,Brockton/Spellman/Stoughton,4058,141.15,1,Cohasset/Norwell,4094,128.65,0,Cranberry,Cranberry,,,0,2026,1501.65,1468.974894147962,1531.5718422034167,1439.0530519445454,0.6167830741821262,0.3832169258178738,3.3070042340815236,12.5
2026-01-03,77328,FINAL,Bridgewater-Raynham/West Bridgewater,4053,140.35,0,Brockton/Spellman/Stoughton,4058,141.15,1,Cranberry,Cranberry,,,0,2026,1534.3251058520382,1531.5718422034167,1524.1797909988848,1541.7171570565702,0.5753399693545169,0.4246600306454831,2.1101305459448576,-0.8000000000000114
2026-01-04,77334,FINAL,Norton,4295,131.1,1,Middleborough,4247,130.5,0,Tri-Valley,Cranberry,,,0,2026,1501.65,1501.65,1507.6924167025115,1495.6075832974886,0.5714631174083814,0.4285368825916186,2.0,0.5999999999999943
2026-01-05,77441,FINAL,Westford,4421,135.7,1,Newton South,4280,126.45,0,Dual County,Dual County,,,0,2026,1501.65,1476.7296253839654,1529.1459664384495,1449.233658945516,0.6061784064636063,0.3938215935363937,2.996814984641387,9.249999999999986
2026-01-06,78077,FINAL,Newton South,4280,90.65,0,Newton North,4279,142.35,1,Dual County,Bay State,,,0,2026,1449.233658945516,1526.5703746160345,1394.4339171582174,1581.3701164033332,0.46074028617851237,0.5392597138214876,-1.0934686268207405,-51.69999999999999
