team,elo
Walpole,1762.9824131169516
Beverly,1742.793663843055
Franklin,1734.354712555758
Cohasset,1726.9101682346572
Notre Dame (Hingham),1716.775196197773
Sandwich,1716.1955981866818
Norwell,1713.9909882771735
Reading,1710.8805265501326
Concord-Carlisle,1694.3971730791743
Phillips Andover,1692.9685008231718
Lexington,1689.2926180236266
St. Mary’s,1688.9932774627155
Dover-Sherborn,1686.9067573138168
Hingham,1685.220498926882
Chelmsford,1673.80464939084
Tri-County,1667.4156954736218
Ipswich,1666.5514631333608
Nantucket,1664.9173151622228
Bishop Feehan,1663.8111005030182
Hamilton-Wenham,1661.2061226725582
North Andover,1655.0679799476359
Duxbury,1654.999557014064
Westford,1654.2033619688464
Swampscott,1647.2236577358055
Nobles,1642.4471563060865
Mt. Greylock,1640.790191172788
Newburyport,1639.5985484594971
Nauset,1638.6678319709297
Dartmouth,1637.1097889985256
Wahconah,1636.3638302544387
Fairhaven,1631.3532592034485
Wellesley,1627.5414446874258
Grafton,1626.0653907501821
Pingree,1625.6256239988713
Westborough,1625.2061453163892
Old Colony,1623.9642290084762
Hudson,1623.6247986175588
Foxborough,1622.5360631718572
Peabody,1622.3468630272457
Natick,1620.0790847903938
Canton,1618.771958462352
Shawsheen,1615.6119871688827
Newton North,1615.3195302931474
Hopkinton,1614.501324047444
Dighton-Rehoboth,1612.1182531008221
Wakefield,1610.966447526301
Northbridge,1609.0706177795132
Bridgewater-Raynham,1604.719098665796
Minnechaug,1604.6476889746157
Bromfield,1603.2764017045922
Shepherd Hill,1601.724999376166
Tantasqua,1601.0006200931261
Medfield,1597.7594476833488
East Longmeadow,1595.3958631103424
Nipmuc,1594.299039608054
Falmouth,1590.1152424818563
Bay Path,1587.0397349971352
Westwood,1585.2565085592316
Lincoln-Sudbury,1584.7495676787353
Seekonk,1584.1862528598713
Scituate,1583.2300395174498
Smith Voc.,1581.8562177932615
Medford,1580.0360431710496
Hull,1579.8343209486814
Apponequet,1577.8690039333285
Tabor,1576.29466627924
Ursuline,1575.5499549174888
Nashoba Valley Tech,1574.1617603716631
Masconomet,1570.135430481198
Acton-Boxborough,1564.7723030556765
Algonquin,1562.789709521183
Rivers,1559.5210519988766
Bristol-Plymouth,1557.1385018510844
King Philip,1556.4248309328345
Archbishop Williams,1555.5069472721127
Longmeadow,1553.2015368286218
Falmouth Academy,1550.640113879846
Hopedale,1549.8771109174745
Bedford,1549.7897340252575
Mashpee,1547.9219968745335
Shrewsbury,1544.6944497395934
Woburn,1544.0303273585969
Haverhill,1543.553180096613
North Reading,1542.978672384228
Somerville,1542.3668326644888
Bishop Stang,1542.004143493096
Worcester,1541.9167586874548
Lynnfield,1541.648244912682
Portsmouth (N.H.),1538.1815177668254
Arlington Catholic,1537.4934336501317
Milton Academy,1536.7243877079868
McCann Tech,1536.4371123705682
Chicopee,1536.307155220452
Nashoba,1532.4710166289692
Amherst-Pelham,1531.1698260597796
Saugus,1530.0791891269048
Auburn,1525.9015652627613
Sacred Heart (Conn.),1525.0300534727537
Moses Brown (R.I.),1524.727823209455
Brookline,1523.9248219397352
Dexter Southfield,1522.3908913935622
North Quincy,1519.3705227628118
Pittsfield,1517.45282443588
Belchertown,1515.3701942377113
Old Rochester,1515.0993248046705
Dana Hall,1512.2721842022731
Malden Catholic,1510.3079727496297
Greater Lowell,1510.2483085965955
Martha’s Vineyard,1509.9867683914965
Lunenburg,1508.1101041745867
West Springfield,1507.0657097127594
Central Catholic,1506.230118015527
Marblehead,1505.1054639864058
Granby,1504.8422154093125
Oakmont,1504.3334044415676
Attleboro,1502.090486213466
Weston,1501.7775649942923
Austin Prep,1501.5743437346807
Latin Academy,1501.060249953485
