team,elo
Norwell,1744.8136547706263
Masconomet,1730.548060896607
Bishop Feehan,1729.904328730649
Medfield,1717.7339216361718
Nipmuc,1716.8352597800279
Hamilton-Wenham,1701.750545706056
Wellesley,1700.4560895305679
Somerset Berkley,1698.5968782634516
Duxbury,1692.6988079798248
Nashoba Valley Tech,1681.7670332621885
Cohasset,1679.990965773783
Lunenburg,1671.3428672368293
Cardinal Spellman,1670.9578944364587
Hopkinton,1668.9218883072406
Central Catholic,1666.4418122188397
Natick,1665.6704209749978
Sutton,1664.7547254383824
Winchester,1662.1876979934248
Newburyport,1652.1007843679768
Norfolk Aggie,1650.4261118816862
Lynnfield,1649.7403925003455
Hull,1647.637589094227
Douglas,1647.4510106983319
Blue Hills,1643.6142089552413
Marblehead,1640.0553951167133
Apponequet,1636.5633656111609
Needham,1634.6278516540087
St. John Paul II,1632.6335209795006
Dexter Southfield,1627.0155406943504
North Reading,1623.92884004178
Franklin,1623.756179938737
Lincoln-Sudbury,1623.4302663899
Mansfield,1622.8365522715678
Smith Voc.,1621.8280822040924
Bristol-Plymouth,1620.4378198355682
Pingree,1617.5663396838313
Braintree,1615.8129037767085
St. Mary’s,1614.4765517165602
Advanced Math and Science,1609.2321051141334
Belmont,1607.0513361436049
Pope Francis,1606.4692302584922
Hingham,1605.5094842975652
Martha’s Vineyard,1601.966606175747
Longmeadow,1600.5446361990519
Beverly,1597.5463883416867
Northampton,1597.1890772166716
Danvers,1596.911121592801
Arlington,1595.8418718926346
Oliver Ames,1593.3841990405397
Loomis Chaffee (Conn.),1593.2606201940305
McCann Tech,1591.6172050346897
Bridgewater-Raynham,1589.8986778118149
Westford,1589.6791974771754
Austin Prep,1588.643063106839
Mt. Greylock,1588.3354995337852
King Philip,1588.1327974642634
Acton-Boxborough,1587.0712322452987
Worcester Academy,1586.174667630461
Auburn,1586.0536734144698
Old Rochester,1585.9713279239286
Phillips Andover,1584.5443768500268
Frontier,1581.839398113625
Northbridge,1581.1098175563
Berwick,1581.0182380824276
Dover-Sherborn,1580.2058865707227
Georgetown,1580.0384738525254
Athol,1576.840929892051
Newton Country Day,1575.9048657898927
Holderness,1575.606791506081
Rising Tide Charter,1573.9829915786152
Dighton-Rehoboth,1573.8354464598021
Westwood,1573.4876892392567
Littleton,1573.179449761272
Concord-Carlisle,1572.2190576892563
Tewksbury,1572.1246289226808
Bay Path,1571.8508166381816
Quaboag,1570.7595985706264
South Hadley,1570.7019041329809
Easthampton,1568.0421774777858
Saugus,1565.2848324315628
Wilmington,1563.769198314573
Tyngsborough,1557.2609545937405
Somerville,1556.7390429465415
North Quincy,1556.6487530315317
Holliston,1556.1913569259943
Notre Dame (Tyngsborough),1556.0857386481714
Leicester,1555.6007958947234
Silver Lake,1554.583077191047
Mystic Valley,1554.3804772280857
Manchester Essex,1553.7023847473504
Southwick,1553.4450016610087
Hopkins,1552.8258763302397
Chelmsford,1552.6386182063354
Weston,1552.1507080491072
Lexington,1552.092054296553
Bishop Stang,1551.7296881144207
Tahanto,1550.713162332022
East Longmeadow,1550.659361450754
Hopedale,1550.2583894477125
Westport,1547.7243661589398
Greater Lowell,1547.5929134649227
Dracut,1547.3620095137433
North Middlesex,1546.3672489992684
Oxford,1544.135437518105
Brookline,1542.3552871931086
East Bridgewater,1541.3014447287908
Westborough,1540.9277366755114
BB&N,1540.0670325415124
Seekonk,1538.5873758697965
Medford,1538.4335728706703
Parker Charter,1538.358436276472
Nauset,1537.7869470511882
Swampscott,1536.9093526257095
Notre Dame (Hingham),1536.8118969909913
West Springfield,1536.2977683826996
Haverhill,1535.8267670992486
Norton,1534.6560063121096
Hanover,1534.1469192443242
Newton South,1534.1376830592783
Gardner,1533.2591655883282
Granby,1533.1049049296105
Latin Academy,1533.0245417827718
Clinton,1531.9755947074445
Ludlow,1531.6060902310714
Thayer,1531.384719067744
Hampshire,1530.5827457444702
Dedham,1530.1761276778936
Deerfield,1529.6817068480436
Rockland,1529.5703855924842
Wahconah,1529.506863247581
Dana Hall,1528.9520652269678
Nantucket,1528.8395248404404
