team,elo
Sharon,1643.3433220218637
Winchester,1634.8746204671625
Newton South,1625.0981089466432
Westford,1624.0982248307855
Central Catholic,1622.6076956897618
Manchester Essex,1621.2861568457708
Andover,1620.9887263522378
Martha’s Vineyard,1618.530599243227
Monomoy,1615.8778143435427
Duxbury,1603.106661794583
Lexington,1600.0183132817897
Notre Dame (Hingham),1599.4217387111598
Dover-Sherborn,1599.0815521504694
Bishop Stang,1597.8580459023715
Hingham,1596.0505940847265
Lynnfield,1587.5922034582507
Hanover,1582.5456555853245
Wellesley,1580.8078362869717
Ursuline,1578.689144558837
Randolph,1577.8862101721095
Peabody,1577.2222347791103
Nashoba,1575.4561634364802
Westwood,1574.30970071214
Boston Latin,1573.6654955374468
North Quincy,1573.446775483188
Swampscott,1572.8985704460702
Hopkinton,1572.5710616285742
Needham,1572.0211362694229
Old Rochester,1570.8440557219708
Ipswich,1568.5058571452616
Natick,1566.9380996844352
Franklin,1564.7973026833242
Beverly,1564.7883084691628
Falmouth,1560.1210883234362
Thayer,1558.351518238741
St. Mark’s,1557.4006230446055
Methuen,1555.2657879731084
Seekonk,1554.8860002376828
Sturgis East,1554.0637097474776
Bedford,1549.379392792419
Norwell,1548.1741273746052
Hamilton-Wenham,1547.3020171158505
Arlington,1547.2658436540682
Billerica,1542.0444391348253
Scituate,1540.77845659484
Groton,1539.2405620928973
Holliston,1536.1297185317094
Oliver Ames,1535.6700947756894
Watertown,1533.0728874300898
Bishop Fenwick,1532.9707837959581
East Longmeadow,1530.7177335579315
Berwick,1530.7177335579315
Latin Academy/East Boston/O’Bryant,1530.5542745995065
Uxbridge,1528.3680818657906
Phillips Andover,1527.983137589297
Dighton-Rehoboth,1527.609072407867
Millis,1527.3350446939803
Mount St. Charles (R.I.),1527.2834341778416
Acton-Boxborough,1527.2605306314153
Wilbraham & Monson,1526.1771172163694
Medford,1526.0649476597387
Pope Francis,1525.9246700672013
Cape Cod Academy,1525.4277559743116
Bourne,1525.0484507858557
Nobles,1524.0224334921434
Bishop Feehan,1523.9853191378863
Bromfield,1523.7180520445465
Chelmsford,1523.4325238933325
Brockton,1523.3628442329841
Somerset Berkley,1522.0873648396762
Taunton,1521.1714397155927
Advanced Math and Science,1520.8582563436505
Wayland,1519.2009436638239
North Reading,1518.2741606508089
Lowell Catholic,1518.0681129970037
Frontier,1517.8223479160597
North Middlesex,1517.8223479160597
Dedham,1516.3396341818639
Westborough,1515.5144201973746
Hopedale,1512.213761996722
King Philip,1512.1294793302175
Diman,1511.8832414587685
Pingree,1511.8832414587685
Milton,1510.6695877361965
Westport,1510.495736169654
Worcester Academy,1509.983268276432
Leominster,1508.9111739580298
