team,elo
Newton North,1723.358131606676
Wellesley,1720.5447344206448
Cardinal Spellman,1671.5117535345205
Ipswich,1646.3423634489804
Hopkinton,1642.2797233653173
Masconomet,1639.8905015816456
Weston,1639.5849442164954
Advanced Math and Science,1631.55028761327
Natick,1624.7791084061218
Nashoba,1605.3490276181626
Greater New Bedford,1594.607941701091
Arlington Catholic,1589.1320431271029
Peabody,1582.9677913446976
Uxbridge,1573.8740390992693
Central Catholic,1567.4614564494116
Sharon,1566.7209527985456
Hingham,1564.909558915801
Ayer Shirley,1555.3335191253937
Norwell,1554.2464403414244
Seekonk,1553.7545789775247
Somerville,1553.2645811941472
Dover-Sherborn,1551.6504215055302
Keefe Tech,1550.2049814970549
Canton,1550.0336561447734
Nauset,1548.3543891714767
Marshfield,1546.04910855658
Westwood,1544.67802139855
Needham,1540.237418871136
Archbishop Williams,1535.703559043144
Tri-County,1530.8275969495858
Dighton-Rehoboth,1527.592032201445
Blue Hills,1526.9637489519193
North Attleborough,1507.050947489259
Bishop Feehan,1506.1079074640177
Somerset Berkley,1502.079907432251
Silver Lake,1498.4893182694584
West Bridgewater,1495.551786612897
Norton,1495.1147734858966
Attleboro,1486.8411450467233
North Andover,1485.1758731991065
Lynnfield,1482.6774494808828
Waltham,1476.233517082463
Apponequet,1475.7952461196764
Boston Latin,1472.0327315282498
Hamilton-Wenham,1470.2067953061141
Blackstone Valley,1468.05377552306
Parker Charter,1467.839466559832
Norwood,1464.0738581484625
Marblehead,1463.024910068682
Holliston,1461.053218481705
Swampscott,1459.6897524996502
Notre Dame (Worcester),1458.0721853776706
Bishop Fenwick,1457.9829709379492
Danvers,1457.3424561556521
Millis,1453.2348050085732
Braintree,1452.985256045312
Marlborough,1451.916535511344
Amesbury,1451.652330768005
Sandwich,1451.6456108285233
Salem,1450.3491695438197
Oliver Ames,1449.9663438552266
Essex Tech,1449.1210609960176
Andover,1447.362670351482
Beverly,1446.7354188058528
Everett,1446.7354188058528
Joseph Case,1446.2454210224753
Middleborough,1445.7535596585756
Tyngsborough,1444.6664808746063
North Middlesex,1442.7344368704935
Weymouth,1442.4964793740696
Bristol-Plymouth,1442.208654098495
Milford,1433.2790472014544
Hudson,1427.1642499405139
Milton,1424.6872622278875
Assabet,1423.2410143893292
Wayland,1412.1488071727917
Bourne,1404.3730859326395
Bishop Stang,1393.9400685131393
Whitman-Hanson,1390.5520142581606
Ashland,1387.9151786059651
Framingham,1382.3891090365985
Brookline,1374.1918735928132
Cristo Rey,1351.7296048441442
Walpole,1314.3306264187406
