team,elo
Oliver Ames,1739.8792048889402
Franklin,1715.5622716457513
Bellingham,1703.8248024822576
Winchester,1703.6028822483486
East Bridgewater,1695.1487551125106
Newton North,1693.9229550565512
Joseph Case,1682.1428143498363
Central Catholic,1673.2230887987314
Carver,1667.297278990194
Brookline,1661.1734567821904
Old Rochester,1660.2572962600996
Lynnfield,1657.3728969732526
Andover,1642.2034624958453
Duxbury,1641.9856134362124
Hopkinton,1638.6305938693824
Canton,1637.2762448711421
Newburyport,1636.6023362856652
Westborough,1634.6694288377628
Greater Lawrence,1630.733506810578
Bishop Feehan,1629.8226015317925
Needham,1627.9850837293152
Calvary Chapel,1627.86227736658
Chelmsford,1627.7924524461976
Ursuline,1624.1432541948823
South Shore Voc-Tech,1623.1196969988127
Barnstable,1622.8932798074675
Dartmouth,1622.491013845655
Attleboro,1618.0278787230798
Wayland,1616.8160198460248
Marblehead,1616.118708036659
BB&N,1614.7789322877866
Lynn Classical,1613.6155400541256
Bourne,1612.7395600259563
O’Bryant,1609.8212571795104
Reading,1606.6851103820811
Medfield,1600.238742961712
Quincy,1599.9795190318875
King Philip,1598.074592460422
Blackstone Valley,1588.6953063532922
Nipmuc,1588.2771632876663
Lincoln-Sudbury,1588.0465399755108
Newton South,1582.7098899365099
Burlington,1580.5385432922512
Whitinsville Christian,1578.427084888118
Wakefield,1572.9938019089157
Lenox,1572.9761376366341
Hanover,1571.3414832815656
Acton-Boxborough,1570.2815326413238
Arlington Catholic,1569.94165315471
Natick,1569.8329757719794
Shawsheen,1569.2711709561697
Westford,1568.637600142629
Longmeadow,1567.5079982164154
King (Conn.),1567.2810734191567
Madison Park,1564.4954133215565
Somerville,1563.8896928820998
Baystate Academy,1563.827364564993
Groton-Dunstable,1563.1436044646189
Belmont,1562.9539047504377
Melrose,1560.214513283923
Putnam,1560.0492902671906
Smith Voc.,1560.0225262423528
Hopedale,1558.680079323155
Holbrook,1558.3097879271602
Swampscott,1556.1369222174146
Hamden Hall Country Day,1555.992029220067
Woburn,1553.7042507677274
St. John Paul II,1553.4529971173931
Lexington,1552.2851664476786
Billerica,1550.7817716887416
Norwood,1550.6588030997384
Weston,1548.4915964386323
Mt. Greylock,1547.2635773459756
Monty Tech,1546.3817489236344
Somerset Berkley,1545.238501391973
Notre Dame (Worcester),1544.8109160003132
Northeast,1544.6177943015903
Rockland,1543.6795606032747
Braintree,1542.8247495773924
Cushing,1542.706742720848
Groton,1541.9624209047897
Minnechaug,1541.5283458517779
Wachusett,1541.438559433868
Archbishop Williams,1541.2717537644035
Brockton,1539.8054525331265
Methuen,1539.210911420601
Whitman-Hanson,1538.806101333483
Shrewsbury,1537.2742931059413
South Hadley,1536.7641955895717
Charlestown,1536.7317190900585
Greenwich CD (Conn.),1536.2212742344086
Ashland,1535.5685790372936
