team,elo
Central Catholic,1817.1764220043322
Taunton,1776.2938636893862
Medford,1767.345895332047
Joseph Case,1764.9485247998296
Tyngsborough,1762.0657185899072
Phillips Andover,1761.038552093849
Chicopee,1758.8010442392876
Hoosac Valley,1754.8213361379535
Norton,1749.8786727479715
Advanced Math and Science,1747.268933662739
Wakefield,1735.6221262240758
Marshfield,1733.5043318307307
Cardinal Spellman,1727.1042636700302
Sandwich,1726.8149426706857
Hopkinton,1726.2668847802463
Muniz,1721.0324004890854
West Boylston,1720.8706877013985
Reading,1719.6378579363468
Apponequet,1717.5420071950807
Oxford,1716.3987955065074
McCann Tech,1712.15386903392
Frontier,1711.3542999578926
East Bridgewater,1708.0824820141372
Georgetown,1708.007684415001
Tri-County,1704.1988417838652
Walpole,1703.6602108441189
Newton North,1703.6297121182374
Granby,1699.0683712398725
Minuteman,1698.7392980958368
Shepherd Hill,1697.7531365988089
Auburn,1696.9056585621802
Rising Tide Charter,1692.0892932270976
East Boston,1689.323588813172
Plymouth South,1688.0979978585474
Shrewsbury,1686.7824626428353
Attleboro,1681.6596159074193
Monomoy,1678.0891694636587
Needham,1678.015125223022
Lunenburg,1677.8215540476817
Brooks,1676.2685116370633
English High/CASH,1676.1418899062876
Malden Catholic,1675.5808351505561
Old Colony,1673.9885450544589
King Philip,1673.8277048799766
Manchester Essex,1673.0471068075017
Silver Lake,1672.0370061835715
Gloucester,1671.9218387572348
Wahconah,1668.8404636272176
Hampshire,1667.6737434889444
Andover,1667.5794771280605
St. Mary’s,1663.1294100546727
Revere,1662.0065507384359
Bridgewater-Raynham,1661.1773135501378
Essex Tech,1660.894084712929
Monty Tech,1660.4144041972886
Dighton-Rehoboth,1655.4904386039677
Pentucket,1652.7103461153743
Acton-Boxborough,1652.106570619856
Middleborough,1651.4344368155698
Latin Academy,1649.5037730376796
Wilmington,1647.9847118518544
Narragansett,1646.5283137854356
Longmeadow,1643.6420500526563
Peabody,1642.8846412425198
Somerset Berkley,1640.6323382927562
Greater Lowell,1638.657839788788
Bellingham,1637.8500157357257
Roxbury Prep,1637.7286140007013
Milton Academy,1636.9862912251317
Tantasqua,1636.895878806468
Holbrook,1636.7978067091465
Nauset,1634.867279415353
Wareham,1633.6291962704547
Milton,1631.0021118601728
Fairhaven,1629.9386541685194
East Longmeadow,1628.079692976713
Marblehead,1624.962655375445
Pioneer Valley,1623.3605334320905
Maynard,1623.1260282106973
Abington,1623.0824826038117
Lynn Classical,1621.8758563921144
Ashland,1615.8060351716986
Whitinsville Christian,1611.3881423615844
Danvers,1611.384374301287
Millbury,1610.1238384652022
Wachusett,1607.6694415292618
Boston International,1607.3382885747274
Bristol-Plymouth,1605.476840011543
Oakmont,1604.9271608983265
Burncoat,1603.3479408374
Rockport,1602.5137711704606
Chelmsford,1598.5789128131366
Minnechaug,1595.6012481977941
Whitman-Hanson,1593.8314645873234
Northbridge,1593.0622424050507
Northampton,1589.792020621108
Lincoln-Sudbury,1588.9184584297616
Ludlow,1587.3606758647957
Nashoba,1586.653047530371
Agawam,1586.2922833677333
Archbishop Williams,1585.5721296006402
St. Bernard’s,1583.495407332651
David Prouty,1577.5650656665332
Kennedy Academy,1577.0654728762056
Bedford,1574.4737173226622
La Salle (R.I.),1572.7821541728908
New Bedford,1569.9046993425088
Notre Dame (Worcester),1569.7518220487914
North Reading,1569.1003128847412
O’Bryant,1567.9423725031368
Haverhill,1566.8466140270943
Douglas,1565.9844861980705
Tahanto,1564.4635689615789
Smith Academy/Pioneer Valley Chinese Immersion,1563.8549686453907
Lexington,1563.0346378129227
Westford,1558.2665927004302
Mahar,1558.0123702234068
Chicopee Comprehensive,1557.3804590573275
Cohasset,1556.1677571190528
Mohawk Trail,1554.010271775844
Bristol Aggie,1552.2736861243884
Braintree,1552.244979857351
Westport,1550.6355116334698
Ursuline,1550.5363808321465
Southwick,1545.652597506946
Newton South,1545.1260093725132
Monson,1543.8062491174808
Billerica,1542.9797747866469
Lynnfield,1542.7858632059647
Nobles,1540.0811056829514
Diman,1539.3855122625391
Lenox,1538.144199742371
Cranston West (R.I.),1537.3284393905474
Methuen,1535.5282799934746
Clinton,1535.5197305746037
Nipmuc,1535.4944292122238
Beverly,1533.6684166401772
Greater Lawrence,1532.6346679661874
Dedham,1530.7028382355297
Tewksbury,1530.2880696131595
Winchendon,1528.408040376867
Stoughton,1527.1643459723591
North Attleborough,1527.1077324805137
Cushing,1526.4428899442225
Belchertown,1525.3786913787014
TechBoston,1525.1127178392107
Turners Falls,1524.974275570844
Wellesley,1524.006709818788
Easthampton,1521.931089221147
Algonquin,1521.7784241265501
West Bridgewater,1521.4172924106128
Blackstone Valley,1519.2560410055166
Lowell Catholic,1518.953611289007
Lawrence Academy,1518.3872278470408
Madison Park,1518.3099505116136
NDA-Tyngsboro/Innovation,1516.3925433380177
Groton-Dunstable,1514.3661756358485
Dartmouth,1514.0064786703342
Putnam/Duggan Academy/Springfield Sci-Tech,1513.8059436137523
Hopkins,1512.4266629182289
Hopedale,1512.0204161855456
Sturgis,1510.5731185822185
Masconomet,1508.8738788870082
Upper Cape,1507.5307027583483
Westfield,1507.232474977567
Holyoke,1506.4867089049465
St. Paul,1503.231964660776
Lowell,1501.4352285459045
Milford,1500.9483002957045
Assabet,1500.5289531928995
Woburn,1500.4680202841491
Dover-Sherborn,1500.0
St. John Paul II,1500.0
Tiverton (R.I.),1500.0
Woodward,1500.0
Prospect Hill,1500.0
Sutton,1499.9634880190679
Duxbury,1499.1646827431514
Greater New Bedford,1497.642660729922
Quabbin,1495.8763068114285
Choate,1491.7760859500593
Bishop Stang,1491.662872872303
Cape Cod Tech,1491.289687279863
Westfield Tech/St. Mary (Westfield),1489.857580162296
Arlington,1489.5587282667964
Medfield,1489.150836908108
Foxborough,1489.0447172622328
Mount St. Charles (R.I.),1488.9701650228074
Mount Anthony (Vt.),1488.5684783814
Phillips Exeter,1487.8224247244452
Dexter Southfield,1487.1235988388098
Hamilton-Wenham,1483.297076624592
Excel Academy,1482.4894057470513
Blue Hills,1482.0961067554304
Austin Prep,1481.6153235573213
Leominster,1479.1661897430401
Monument Mtn.,1478.9391297328636
Winchester,1477.523459262316
Coventry (R.I.),1475.8100309585793
Brooke Charter,1475.219654211934
Smith Voc.,1475.013666229984
Dana Hall,1474.358455317334
Weymouth,1474.175179677985
Wayland,1471.622394126755
Worcester Academy,1470.2477257170594
Mt. Greylock,1469.5450568888887
Beaver Country Day,1469.1724030504142
Pembroke,1467.2012008255565
BB&N,1467.1515927103076
Greenfield,1465.3372855233551
Seekonk,1463.5546737032078
Bishop Feehan,1463.3695735420195
Brattleboro (Vt.),1463.1316983003808
Palmer,1463.0222447398999
Franklin,1462.5855253210814
Pingree,1462.5462765483908
North Andover,1462.380745519069
Hingham,1461.6674773504944
Ethel Walker,1461.374540258974
Bay Path,1460.9957389836818
Mansfield,1459.574984112638
Commerce,1458.0150042281741
Plymouth North,1456.8905443096126
Quaboag,1456.7561405971358
Neighborhood House Charter/Codman Charter,1455.241442503133
Deerfield,1455.2255314490642
Miss Porter’s,1455.159015693887
Housatonic Regional (Conn.),1454.9682585805963
Boston Collegiate,1453.8576286153816
North Brookfield,1451.4322026358668
Boston Prep,1451.1673200721796
Franklin County Tech,1451.0211164829968
Marlborough,1450.5431349944577
Gardner,1450.4818320604427
Everett,1450.0813202074644
Canton,1448.5064359181836
Ruth Batson Academy,1448.2249360546573
Salem Academy,1448.0345110715182
Springfield International,1447.2348692392293
Charlestown,1446.9373545940778
Norwell,1443.7038275294349
Keefe Tech,1439.5212480512926
Saugus,1438.0447038795285
Thayer,1433.4935629024144
Rivers,1431.5220274848264
St. Mark’s,1428.8985280339923
Cambridge,1428.0327582763637
Renaissance,1428.0239656305887
Fontbonne,1427.8605126062025
Ipswich,1427.8319603589591
Rockland,1424.968565892641
Whittier,1420.1114106385317
Notre Dame Cristo Rey,1419.5799422617536
Fitchburg,1419.4946098506878
Salem,1415.391468890121
Nashoba Valley Tech,1414.2841442541167
Uxbridge,1412.754399773175
Foxborough Charter,1412.7189410271303
Ware,1412.3085494036388
Falmouth,1411.6361299896002
Ayer Shirley,1410.818773164015
Winthrop,1410.7326399388394
Triton,1408.4736841877473
Leicester,1406.908496856468
Brighton,1406.6180978645789
Natick,1402.506109586131
Westwood,1402.313848411075
Bishop Fenwick,1397.8758927615177
North Middlesex,1397.643236936112
