team,elo
Shawsheen,1890.6558000433424
Roxbury Latin,1851.3842939958404
Methuen,1795.945704257526
Wayland,1777.4393056108502
St. John’s Prep,1714.3416833841222
St. John’s (Shrewsbury),1708.555042769544
Greater Lawrence,1705.6474912233853
Westford,1703.2166805324157
Watertown,1688.8538033689786
Pentucket,1681.7687331201025
Cambridge,1669.8590051989877
Lynnfield/North Reading,1666.0159394011564
Winchester,1665.968054580134
Mt. Hope (R.I.),1659.865367771763
New Bedford,1650.4307892595616
Chelmsford,1641.0528131088029
West Springfield,1640.3984325117403
Holliston,1639.4092351277995
Bristol-Plymouth,1623.7261081666377
Rockland,1619.4235440761422
Whittier,1619.3621907449767
Leominster,1616.3364167148952
Arlington,1611.0622224050803
Natick,1610.4682263937525
Cohasset,1603.6599945521916
Middleborough,1601.1564256131837
Springfield Central,1591.9215618050814
Saugus/Peabody,1585.3248498723412
Andover,1582.6196260859292
Woburn,1581.957494069632
Melrose,1579.1788289350372
Duxbury,1575.9616533934457
St. Mark’s,1571.6604826994626
Lowell,1569.0544254167944
Central (R.I.),1567.6338326081284
Taunton,1564.8599901404407
Burlington,1563.7216146064236
Wellesley,1562.5530755984566
Sharon,1561.7264435088912
Scituate (R.I.),1561.5336809983673
Wakefield,1558.3250730647267
Tewksbury,1557.8052920499642
Dedham,1555.9339593897585
Salem (N.H.),1553.3573767085295
Weymouth,1552.8988619291804
Silver Lake,1549.3115515757747
Nauset,1549.054993423074
Walpole,1548.1623077026002
Martha’s Vineyard,1546.9032051440872
Scituate,1544.9452996732598
Choate,1542.1537641011657
Avon Old Farms,1541.2157056279482
Atlantis Charter,1537.8594410640035
Eagle Hill,1537.730496752578
Upper Cape,1534.8782454962875
Milton Academy,1524.7309478066131
Milton,1523.9703254329427
Tyngsborough/Dracut,1522.887927781854
Norwood,1522.2480131654363
Newton North,1521.934311059614
Needham,1521.6814945915796
Greens Farms,1521.6702448956867
Bridgewater-Raynham,1514.648279234425
Oliver Ames,1512.7709884711633
Greater Lowell,1510.2188927680245
Trinity-Pawling,1508.5049858185675
Bedford / A-B,1507.1834872795343
Marblehead/Swampscott,1502.8283003757444
Pomfret,1502.8059546954078
North Reading,1502.7555
Latin Academy,1502.185761889013
Hope (R.I.),1497.39171192741
Phillips Andover,1496.2106832945422
Newton South,1496.1263491764641
Agawam,1493.926501665502
Northbridge,1493.8376856206419
Foxborough,1492.2674285725598
Beaver Country Day,1491.6808140683088
Governor’s Academy,1487.6702855194317
Milford,1485.3402150808477
Brooks,1483.263127005602
Somerset Berkley,1482.6020714473825
Salem,1480.6981661049442
Essex Tech / Masco,1478.4765957107106
Holyoke,1478.2836201337545
Marshfield,1477.676879198437
Beverly,1476.8625628305015
Nashoba,1475.6186015449498
Xaverian,1474.441337456968
Bellingham,1473.5022074709923
St. Sebastian’s,1472.191452672667
Whitman-Hanson,1471.5370506644506
Canton,1471.287240904349
Londonderry (N.H.),1470.3611845212024
Brockton,1470.171222484804
Keene (N.H.),1470.0354414277765
Maimonides,1469.6610859667194
Northeast/Bishop Fenwick,1467.780503247422
Mansfield,1466.057264093686
Deerfield,1464.8706245549772
Belchertown,1464.8413419508736
Framingham,1464.3315837350194
Lexington Christian,1463.7789277506865
Keefe Tech,1463.5806895611138
East Longmeadow,1463.0432382883332
Thayer,1462.296894236772
Phillips Exeter,1461.6987912568754
Marlborough,1460.9408877638366
Mount Anthony (Vt.),1460.8479350273014
Malden/Everett,1458.7780873879237
Pathfinder,1458.641846286539
Falmouth/Mashpee,1458.6077948559127
Landmark,1456.4425124244976
Belmont,1455.567167549918
Worcester Tech,1454.822002877297
Nashoba Valley Tech,1454.5940940781563
Franklin,1453.5357368321816
BB&N,1452.5355784108158
North Middlesex,1452.4042756419144
Middlesex,1452.1072659153651
Reading,1451.802270644947
Weston,1451.121786239671
Carver,1450.9208719974574
Pioneer Valley,1449.6227794122547
Ashland,1449.397802030387
Lincoln-Sudbury,1449.1682998475485
Athol,1448.1620505477854
Westfield/Westfield Tech,1446.6090200834426
Concord-Carlisle,1444.966836257168
Hanover,1444.4998789416663
Marianapolis,1444.251684122619
Durfee,1443.854733112355
King Philip,1443.5947460495042
Mahar,1437.4944836002292
Middlebury (Vt.),1436.6680562184386
Hopkinton,1434.3928274550997
Braintree,1434.2108208311563
Excel Academy,1432.342496754225
Hyde,1432.3391856379124
Quincy/North Quincy,1431.4786701685623
Plymouth South,1428.5187302327292
Pembroke,1427.794154043184
Boston Latin,1427.0154189899797
Lynn Tech,1426.717536251359
Norton,1426.561735383518
Quincy Upper,1424.846571497529
Nobles,1424.5809259288405
North Andover,1423.1140085151526
Haverhill,1415.8762761411526
Monty Tech/Fitchburg,1409.6972807848194
North Attleborough,1409.428724148893
Triton,1405.822175243067
Lawrence,1405.7982752835603
Plymouth North,1398.9636334454447
Lexington,1396.3676853553882
Gloucester,1392.4411158643675
Frontier,1392.1160499236557
BC High,1388.61101614824
Malden Catholic,1386.8391019245864
Catholic Memorial,1382.9928819743573
Barnstable,1382.6100701687235
Hingham,1376.69098857649
Wilmington,1353.272654426988
Billerica,1351.1560973915932
Stoughton,1334.7469325676316
Algonquin,1315.40782362571
Portland/So. Portland (Maine),1308.2721845674891
East Boston,1302.9553713861503
Brookline,1266.5441657659244
Danvers,1233.2776956518237
